vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有A股及其申万一级行业,1,智能选股,,,"智能选股工具共筛选出 5901 个符合条件标的，以下列出前 500 条
|证券代码|证券简称|所属申万行业名称<[等级]:一级>|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|
|---|---|---|---|
|688801.SH|C燧原|电子|179.22|
|300563.SZ|神宇股份|通信|19.98|
|920268.BJ|百迈科|医药生物|18.78|
|688260.SH|昀冢科技|电子|18.68|
|300290.SZ|ST荣科|计算机|15.62|
|688143.SH|长盈通|通信|15.49|
|920821.BJ|则成电子|电子|15.16|
|688367.SH|工大高科|机械设备|12.74|
|920008.BJ|成电光信|国防军工|10.54|
|002560.SZ|通达股份|电力设备|10.08|
|002585.SZ|双星新材|基础化工|10.06|
|002242.SZ|九阳股份|家用电器|10.06|
|605069.SH|正和生态|环保|10.05|
|002790.SZ|瑞尔特|轻工制造|10.05|
|002848.SZ|高斯贝尔|家用电器|10.04|
|002815.SZ|崇达技术|电子|10.03|
|601199.SH|江南水务|环保|10.03|
|603386.SH|骏亚科技|电子|10.03|
|603466.SH|风语筑|传媒|10.03|
|603336.SH|宏辉果蔬|农林牧渔|10.03|
|600237.SH|铜峰电子|电子|10.02|
|002902.SZ|铭普光磁|通信|10.02|
|600184.SH|光电股份|国防军工|10.02|
|002201.SZ|九鼎新材|建筑材料|10.02|
|600207.SH|安彩高科|电力设备|10.02|
|600088.SH|中视传媒|传媒|10.02|
|603936.SH|博敏电子|电子|10.01|
|603421.SH|鼎信通讯|通信|10.01|
|605058.SH|澳弘电子|电子|10.01|
|603938.SH|三孚股份|基础化工|10.01|
|002912.SZ|中新赛克|计算机|10.01|
|000823.SZ|超声电子|电子|10.0|
|000636.SZ|风华高科|电子|10.0|
|603439.SH|三力制药|医药生物|10.0|
|605011.SH|杭州热电|公用事业|10.0|
|605258.SH|协和电子|电子|10.0|
|001232.SZ|嘉立创|电子|10.0|
|002161.SZ|远望谷|电子|9.99|
|600967.SH|内蒙一机|国防军工|9.99|
|600876.SH|凯盛新能|建筑材料|9.99|
|600410.SH|华胜天成|计算机|9.99|
|000993.SZ|闽东电力|公用事业|9.98|
|603136.SH|天目湖|社会服务|9.98|
|605088.SH|冠盛股份|汽车|9.98|
|002218.SZ|拓日新能|公用事业|9.98|
|603693.SH|江苏新能|公用事业|9.97|
|002519.SZ|银河电子|国防军工|9.93|
|000980.SZ|众泰汽车|汽车|9.84|
|920045.BJ|蘅东光|通信|9.81|
|688581.SH|安杰思|医药生物|9.79|
|002514.SZ|*ST宝馨|机械设备|9.54|
|300183.SZ|东软载波|通信|9.2|
|002973.SZ|侨银股份|环保|8.97|
|600734.SH|*ST实达|通信|8.96|
|601869.SH|长飞光纤|通信|8.78|
|300352.SZ|ST信源|计算机|8.7|
|300913.SZ|兆龙互连|通信|8.63|
|300196.SZ|长海股份|建筑材料|8.36|
|603601.SH|再升科技|建筑材料|8.33|
|002856.SZ|*ST美芝|建筑装饰|8.24|
|601086.SH|国芳集团|商贸零售|8.21|
|603377.SH|ST东时|社会服务|8.09|
|300991.SZ|创益通|电子|8.0|
|002636.SZ|金安国纪|电子|7.86|
|001319.SZ|铭科精技|汽车|7.69|
|688151.SH|华强科技|医药生物|7.61|
|002297.SZ|博云新材|国防军工|7.44|
|603226.SH|菲林格尔|轻工制造|7.41|
|301176.SZ|逸豪新材|电子|7.28|
|300252.SZ|金信诺|国防军工|7.12|
|688835.SH|高凯技术|机械设备|6.86|
|300410.SZ|正业科技|电力设备|6.79|
|688655.SH|迅捷兴|电子|6.75|
|301053.SZ|远信工业|机械设备|6.73|
|603533.SH|掌阅科技|传媒|6.64|
|605006.SH|山东玻纤|建筑材料|6.64|
|603328.SH|依顿电子|电子|6.59|
|003006.SZ|百亚股份|美容护理|6.43|
|300739.SZ|明阳电路|电子|6.31|
|003013.SZ|地铁设计|建筑装饰|6.12|
|000070.SZ|特发信息|通信|6.06|
|603678.SH|火炬电子|国防军工|6.04|
|301682.SZ|宏明电子|国防军工|6.02|
|603679.SH|华体科技|电子|6.0|
|920394.BJ|民士达|轻工制造|5.99|
|920225.BJ|利通科技|基础化工|5.95|
|002735.SZ|王子新材|轻工制造|5.84|
|002265.SZ|建设工业|汽车|5.78|
|300862.SZ|蓝盾光电|机械设备|5.76|
|920117.BJ|龙鑫智能|电力设备|5.75|
|002443.SZ|金洲管道|钢铁|5.73|
|601595.SH|上海电影|传媒|5.71|
|300408.SZ|三环集团|电子|5.66|
|603285.SH|键邦股份|基础化工|5.65|
|688519.SH|南亚新材|电子|5.65|
|300922.SZ|天秦装备|国防军工|5.64|
|301566.SZ|达利凯普|电子|5.56|
|600468.SH|百利电气|电力设备|5.56|
|600032.SH|浙江新能|公用事业|5.53|
|002194.SZ|武汉凡谷|通信|5.52|
|688020.SH|方邦股份|电子|5.51|
|002181.SZ|粤传媒|传媒|5.42|
|603267.SH|鸿远电子|国防军工|5.31|
|300319.SZ|麦捷科技|电子|5.3|
|300061.SZ|旗天科技|传媒|5.29|
|688279.SH|峰岹科技|电子|5.27|
|002487.SZ|大金重工|电力设备|5.25|
|002383.SZ|合众思壮|国防军工|5.24|
|688593.SH|新相微|电子|5.19|
|600869.SH|远东股份|电力设备|5.19|
|300711.SZ|广哈通信|通信|5.18|
|301539.SZ|宏鑫科技|汽车|5.16|
|600104.SH|上汽集团|汽车|5.11|
|300068.SZ|ST南都|电力设备|5.08|
|300292.SZ|吴通控股|通信|5.03|
|605277.SH|新亚电子|电子|4.97|
|301183.SZ|东田微|电子|4.93|
|301456.SZ|盘古智能|电力设备|4.73|
|601606.SH|长城军工|国防军工|4.73|
|920640.BJ|富士达|通信|4.65|
|300486.SZ|东杰智能|机械设备|4.64|
|300237.SZ|ST美晨|汽车|4.64|
|688813.SH|泰金新能|机械设备|4.59|
|002617.SZ|露笑科技|公用事业|4.57|
|920028.BJ|新恒泰|基础化工|4.55|
|002296.SZ|辉煌科技|通信|4.54|
|688156.SH|路德科技|农林牧渔|4.51|
|600105.SH|永鼎股份|通信|4.51|
|002531.SZ|天顺风能|电力设备|4.49|
|603186.SH|华正新材|电子|4.47|
|600371.SH|万向德农|农林牧渔|4.45|
|002130.SZ|沃尔核材|电子|4.43|
|600682.SH|南京新百|综合|4.37|
|003002.SZ|壶化股份|基础化工|4.35|
|301526.SZ|国际复材|建筑材料|4.32|
|688277.SH|天智航|医药生物|4.31|
|600936.SH|北投科技|传媒|4.29|
|301220.SZ|亚香股份|基础化工|4.24|
|301357.SZ|北方长龙|国防军工|4.22|
