vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万交通运输行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 164 个符合条件标的，以下列出前 164 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|000582.SZ|北部湾港|000582|2.93|交通运输|
|600676.SH|久事动娱|600676|2.09|汽车|
|600180.SH|*ST瑞茂|600180|1.78|交通运输|
|600233.SH|圆通速递|600233|1.42|交通运输|
|600753.SH|ST海钦|600753|0.56|交通运输|
|000429.SZ|粤高速A|000429|0.48|交通运输|
|001965.SZ|招商公路|001965|0.41|交通运输|
|600350.SH|山东高速|600350|0.3|交通运输|
|603813.SH|原尚股份|603813|0.18|交通运输|
|603167.SH|渤海轮渡|603167|0.0|交通运输|
|601298.SH|青岛港|601298|0.0|交通运输|
|600377.SH|宁沪高速|600377|-0.08|交通运输|
|601598.SH|中国外运|601598|-0.15|交通运输|
|001228.SZ|永泰运|001228|-0.2|交通运输|
|600179.SH|安通控股|600179|-0.22|交通运输|
|600153.SH|建发股份|600153|-0.35|交通运输|
|601006.SH|大秦铁路|601006|-0.41|交通运输|
|601816.SH|京沪高铁|601816|-0.41|交通运输|
|000906.SZ|浙商中拓|000906|-0.48|交通运输|
|600012.SH|皖通高速|600012|-0.5|交通运输|
|600018.SH|上港集团|600018|-0.54|交通运输|
|600106.SH|重庆路桥|600106|-0.65|交通运输|
|601111.SH|中国国航|601111|-0.68|交通运输|
|601156.SH|东航物流|601156|-0.68|交通运输|
|600221.SH|海航控股|600221|-0.77|交通运输|
|600033.SH|福建高速|600033|-0.82|交通运输|
|001872.SZ|招商港口|001872|-0.85|交通运输|
|601018.SH|宁波港|601018|-0.85|交通运输|
|600428.SH|中远海特|600428|-0.88|交通运输|
|002183.SZ|怡亚通|002183|-0.89|商贸零售|
|002352.SZ|顺丰控股|002352|-0.92|交通运输|
|002485.SZ|ST雪发|002485|-1.01|交通运输|
|600009.SH|上海机场|600009|-1.02|交通运输|
|600004.SH|白云机场|600004|-1.02|交通运输|
|601518.SH|吉林高速|601518|-1.05|交通运输|
|300538.SZ|同益股份|300538|-1.08|基础化工|
|601000.SH|唐山港|601000|-1.09|交通运输|
|601919.SH|中远海控|601919|-1.16|交通运输|
|000755.SZ|山西高速|000755|-1.23|交通运输|
|601333.SH|广深铁路|601333|-1.27|交通运输|
|601228.SH|广州港|601228|-1.27|交通运输|
|002210.SZ|飞马国际|002210|-1.33|环保|
|000507.SZ|珠海港|000507|-1.35|公用事业|
|600119.SH|*ST长投|600119|-1.35|交通运输|
|600717.SH|天津港|600717|-1.36|交通运输|
|600741.SH|华域汽车|600741|-1.36|汽车|
|001213.SZ|中铁特货|001213|-1.4|交通运输|
|600029.SH|南方航空|600029|-1.4|交通运输|
|002120.SZ|韵达股份|002120|-1.46|交通运输|
|600611.SH|大众交通|600611|-1.5|交通运输|
|601022.SH|宁波远洋|601022|-1.52|交通运输|
|600269.SH|赣粤高速|600269|-1.52|交通运输|
|600548.SH|深高速|600548|-1.56|交通运输|
|603648.SH|畅联股份|603648|-1.58|交通运输|
|600368.SH|五洲交通|600368|-1.6|交通运输|
|601326.SH|秦港股份|601326|-1.65|交通运输|
|600386.SH|北巴传媒|600386|-1.66|汽车|
|000088.SZ|盐田港|000088|-1.72|交通运输|
|600017.SH|日照港|600017|-1.72|交通运输|
|600115.SH|中国东航|600115|-1.73|交通运输|
|600755.SH|厦门国贸|600755|-1.73|交通运输|
|603209.SH|兴通股份|603209|-1.74|交通运输|
|603329.SH|上海雅仕|603329|-1.76|交通运输|
|000828.SZ|东莞控股|000828|-1.76|交通运输|
|603836.SH|海程邦达|603836|-1.79|交通运输|
|600125.SH|铁龙物流|600125|-1.83|交通运输|
|002468.SZ|申通快递|002468|-1.84|交通运输|
|601021.SH|春秋航空|601021|-1.85|交通运输|
