vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万传媒行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 210 个符合条件标的，以下列出前 210 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|603466.SH|风语筑|603466|10.03|传媒|
|600088.SH|中视传媒|600088|10.02|传媒|
|603533.SH|掌阅科技|603533|6.64|传媒|
|601595.SH|上海电影|601595|5.71|传媒|
|002181.SZ|粤传媒|002181|5.42|传媒|
|300061.SZ|旗天科技|300061|5.29|传媒|
|300292.SZ|吴通控股|300292|5.03|通信|
|600936.SH|北投科技|600936|4.29|传媒|
|300788.SZ|中信出版|300788|3.65|传媒|
|300027.SZ|ST华谊|300027|3.3|传媒|
|603230.SH|内蒙新华|603230|3.08|传媒|
|600229.SH|城市传媒|600229|2.91|传媒|
|001330.SZ|博纳影业|001330|2.45|传媒|
|301025.SZ|读客文化|301025|1.97|传媒|
|300654.SZ|世纪天鸿|300654|1.96|传媒|
|300051.SZ|琏升科技|300051|1.29|电力设备|
|600880.SH|博瑞传播|600880|1.27|社会服务|
|603721.SH|中广天择|603721|1.21|传媒|
|603888.SH|新华网|603888|1.02|传媒|
|601929.SH|吉视传媒|601929|0.81|传媒|
|600228.SH|返利科技|600228|0.63|传媒|
|002640.SZ|跨境通|002640|0.58|商贸零售|
|300071.SZ|福石控股|300071|0.47|传媒|
|600996.SH|贵广网络|600996|0.43|传媒|
|002175.SZ|*ST东智|002175|0.39|机械设备|
|603103.SH|横店影视|603103|0.36|传媒|
|002261.SZ|拓维信息|002261|0.32|计算机|
|300031.SZ|宝通科技|300031|0.15|传媒|
|300413.SZ|芒果超媒|300413|0.11|传媒|
|002517.SZ|恺英网络|002517|0.06|传媒|
|601811.SH|新华文轩|601811|0.0|传媒|
|002712.SZ|思美传媒|002712|0.0|传媒|
|600358.SH|国旅联合|600358|0.0|传媒|
|002602.SZ|世纪华通|002602|0.0|传媒|
|301102.SZ|兆讯传媒|301102|0.0|传媒|
|002148.SZ|北纬科技|002148|0.0|通信|
|300987.SZ|川网传媒|300987|-0.07|传媒|
|301262.SZ|海看股份|301262|-0.1|传媒|
|603598.SH|引力传媒|603598|-0.11|传媒|
|300528.SZ|幸福蓝海|300528|-0.14|传媒|
|002174.SZ|游族网络|002174|-0.15|传媒|
|601900.SH|南方传媒|601900|-0.16|传媒|
|300291.SZ|百纳千成|300291|-0.18|传媒|
|300182.SZ|捷成股份|300182|-0.2|传媒|
|301551.SZ|无线传媒|301551|-0.23|传媒|
|300364.SZ|中文在线|300364|-0.24|传媒|
|600381.SH|*ST春天|600381|-0.26|食品饮料|
|600986.SH|浙文互联|600986|-0.27|传媒|
|600373.SH|中文传媒|600373|-0.27|传媒|
|002445.SZ|中南文化|002445|-0.32|机械设备|
|002306.SZ|ST云网|002306|-0.42|社会服务|
|600037.SH|歌华有线|600037|-0.43|传媒|
|600637.SH|东方明珠|600637|-0.47|传媒|
|000802.SZ|北京文化|000802|-0.48|传媒|
|601019.SH|山东出版|601019|-0.57|传媒|
|000156.SZ|华数传媒|000156|-0.57|传媒|
|600661.SH|昂立教育|600661|-0.58|社会服务|
