vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万公用事业行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 255 个符合条件标的，以下列出前 255 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|605069.SH|正和生态|605069|10.05|环保|
|601199.SH|江南水务|601199|10.03|环保|
|605011.SH|杭州热电|605011|10.0|公用事业|
|002218.SZ|拓日新能|002218|9.98|公用事业|
|000993.SZ|闽东电力|000993|9.98|公用事业|
|603693.SH|江苏新能|603693|9.97|公用事业|
|002973.SZ|侨银股份|002973|8.97|环保|
|600032.SH|浙江新能|600032|5.53|公用事业|
|002617.SZ|露笑科技|002617|4.57|公用事业|
|003039.SZ|顺控发展|003039|3.73|环保|
|600982.SH|宁波能源|600982|3.56|公用事业|
|000722.SZ|湖南发展|000722|3.19|公用事业|
|000720.SZ|新能泰山|000720|3.11|电力设备|
|003035.SZ|南网能源|003035|3.1|公用事业|
|603105.SH|芯能科技|603105|2.74|公用事业|
|605162.SH|新中港|605162|1.88|公用事业|
|600236.SH|桂冠电力|600236|1.72|公用事业|
|601330.SH|绿色动力|601330|1.7|环保|
|600310.SH|广西能源|600310|1.66|公用事业|
|600163.SH|中闽能源|600163|1.65|公用事业|
|000826.SZ|*ST启环|000826|1.59|环保|
|600803.SH|新奥股份|600803|1.49|公用事业|
|000862.SZ|银星能源|000862|1.44|公用事业|
|000595.SZ|新能股份|000595|1.28|公用事业|
|600900.SH|长江电力|600900|1.28|公用事业|
|600979.SH|广安爱众|600979|1.22|公用事业|
|600025.SH|华能水电|600025|1.13|公用事业|
|000531.SZ|穗恒运A|000531|1.03|公用事业|
|000791.SZ|甘肃能源|000791|0.95|公用事业|
|600795.SH|国电电力|600795|0.95|公用事业|
|600021.SH|上海电力|600021|0.95|公用事业|
|300317.SZ|珈伟新能|300317|0.92|公用事业|
|600744.SH|华银电力|600744|0.86|公用事业|
|300125.SZ|聆达股份|300125|0.86|公用事业|
|600023.SH|浙能电力|600023|0.8|公用事业|
|001286.SZ|陕西能源|001286|0.72|公用事业|
|000967.SZ|盈峰环境|000967|0.5|环保|
|003816.SZ|中国广核|003816|0.46|公用事业|
|600868.SH|梅雁吉祥|600868|0.35|公用事业|
|000669.SZ|ST金鸿|000669|0.24|公用事业|
|000966.SZ|长源电力|000966|0.24|公用事业|
|000591.SZ|太阳能|000591|0.23|公用事业|
|600461.SH|洪城环境|600461|0.22|环保|
|600483.SH|福能股份|600483|0.18|公用事业|
|002039.SZ|黔源电力|002039|0.15|公用事业|
|600027.SH|华电国际|600027|0.0|公用事业|
|600719.SH|大连热电|600719|0.0|公用事业|
|600011.SH|华能国际|600011|0.0|公用事业|
|600886.SH|国投电力|600886|0.0|公用事业|
|000690.SZ|宝新能源|000690|0.0|公用事业|
|000543.SZ|皖能电力|000543|-0.13|公用事业|
|000875.SZ|电投绿能|000875|-0.2|公用事业|
|300334.SZ|津膜科技|300334|-0.24|环保|
|001376.SZ|百通能源|001376|-0.26|公用事业|
|601985.SH|中国核电|601985|-0.33|公用事业|
|600674.SH|川投能源|600674|-0.37|公用事业|
|002310.SZ|东方新能|002310|-0.42|公用事业|
|000598.SZ|兴蓉环境|000598|-0.42|环保|
|000899.SZ|赣能股份|000899|-0.5|公用事业|
|600930.SH|华电新能|600930|-0.51|公用事业|
|600452.SH|涪陵电力|600452|-0.54|公用事业|
|000767.SZ|晋控电力|000767|-0.56|公用事业|
|601016.SH|节能风电|601016|-0.58|公用事业|
|600642.SH|申能股份|600642|-0.58|公用事业|
|300056.SZ|中创环保|300056|-0.59|环保|
|600283.SH|钱江水利|600283|-0.6|环保|
|000027.SZ|深圳能源|000027|-0.62|公用事业|
|600863.SH|华能蒙电|600863|-0.62|公用事业|
|600098.SH|广州发展|600098|-0.63|公用事业|
|600995.SH|南网储能|600995|-0.64|公用事业|
|001289.SZ|龙源电力|001289|-0.65|公用事业|
|000600.SZ|建投能源|000600|-0.66|公用事业|
|600956.SH|新天绿能|600956|-0.68|公用事业|
|000037.SZ|深南电A|000037|-0.73|公用事业|
|600292.SH|电投水电|600292|-0.74|公用事业|
|300190.SZ|维尔利|300190|-0.74|环保|
|600821.SH|金开新能|600821|-0.78|公用事业|
