vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万农林牧渔行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 159 个符合条件标的，以下列出前 159 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|603336.SH|宏辉果蔬|603336|10.03|农林牧渔|
|688156.SH|路德科技|688156|4.51|农林牧渔|
|600371.SH|万向德农|600371|4.45|农林牧渔|
|605198.SH|安德利|605198|4.19|农林牧渔|
|000722.SZ|湖南发展|000722|3.19|公用事业|
|600180.SH|*ST瑞茂|600180|1.78|交通运输|
|601952.SH|苏垦农发|601952|1.21|农林牧渔|
|001201.SZ|东瑞股份|001201|0.89|农林牧渔|
|600359.SH|新农开发|600359|0.83|农林牧渔|
|000576.SZ|甘化科工|000576|0.82|国防军工|
|000639.SZ|ST西王|000639|0.58|食品饮料|
|600962.SH|国投中鲁|600962|0.48|农林牧渔|
|000034.SZ|神州数码|000034|0.26|计算机|
|600298.SH|安琪酵母|600298|0.15|食品饮料|
|300498.SZ|温氏股份|300498|-0.07|农林牧渔|
|002714.SZ|牧原股份|002714|-0.09|农林牧渔|
|600893.SH|航发动力|600893|-0.24|国防军工|
|688098.SH|申联生物|688098|-0.37|农林牧渔|
|002310.SZ|东方新能|002310|-0.42|公用事业|
|000672.SZ|上峰材料|000672|-0.54|建筑材料|
|603477.SH|巨星农牧|603477|-0.7|农林牧渔|
|002311.SZ|海大集团|002311|-0.81|农林牧渔|
|300087.SZ|ST荃银|300087|-0.84|农林牧渔|
|605296.SH|神农集团|605296|-0.85|农林牧渔|
|603363.SH|傲农生物|603363|-0.96|农林牧渔|
|603609.SH|禾丰股份|603609|-1.02|农林牧渔|
|002141.SZ|贤丰控股|002141|-1.09|电子|
|000876.SZ|新希望|000876|-1.18|农林牧渔|
|600265.SH|*ST景谷|600265|-1.2|农林牧渔|
|000829.SZ|天音控股|000829|-1.22|商贸零售|
|002157.SZ|正邦科技|002157|-1.25|农林牧渔|
|300999.SZ|金龙鱼|300999|-1.27|农林牧渔|
|600543.SH|*ST莫高|600543|-1.41|食品饮料|
|603231.SH|索宝蛋白|603231|-1.43|农林牧渔|
|002567.SZ|唐人神|002567|-1.5|农林牧渔|
|600703.SH|三安光电|600703|-1.51|电子|
|600226.SH|亨通股份|600226|-1.54|公用事业|
|600975.SH|新五丰|600975|-1.6|农林牧渔|
|300175.SZ|朗源股份|300175|-1.73|农林牧渔|
|300761.SZ|立华股份|300761|-1.75|农林牧渔|
|002385.SZ|大北农|002385|-1.75|农林牧渔|
|600537.SH|*ST亿晶|600537|-1.79|电力设备|
|600559.SH|老白干酒|600559|-1.86|食品饮料|
|000626.SZ|远大控股|000626|-1.89|交通运输|
|605016.SH|百龙创园|605016|-1.95|基础化工|
|300138.SZ|晨光生物|300138|-2.06|农林牧渔|
|600873.SH|梅花生物|600873|-2.07|基础化工|
|300189.SZ|神农种业|300189|-2.08|农林牧渔|
|000557.SZ|西部创业|000557|-2.09|交通运输|
|688526.SH|科前生物|688526|-2.12|农林牧渔|
|300143.SZ|盈康生命|300143|-2.15|医药生物|
|603718.SH|*ST海利|603718|-2.19|医药生物|
|002299.SZ|圣农发展|002299|-2.23|农林牧渔|
|300829.SZ|金丹科技|300829|-2.35|基础化工|
|600248.SH|陕建股份|600248|-2.38|建筑装饰|
|300972.SZ|万辰集团|300972|-2.38|商贸零售|
|002100.SZ|天康生物|002100|-2.43|农林牧渔|
|600965.SH|*ST福成|600965|-2.46|农林牧渔|
|603566.SH|普莱柯|603566|-2.47|农林牧渔|
|002173.SZ|创新医疗|002173|-2.48|医药生物|
|002069.SZ|獐子岛|002069|-2.54|农林牧渔|
|600538.SH|国发股份|600538|-2.55|医药生物|
|300149.SZ|睿智医药|300149|-2.56|医药生物|
|600195.SH|中牧股份|600195|-2.57|农林牧渔|
|000860.SZ|顺鑫农业|000860|-2.59|食品饮料|
|000998.SZ|隆平高科|000998|-2.61|农林牧渔|
|300967.SZ|晓鸣股份|300967|-2.7|农林牧渔|
|002556.SZ|辉隆股份|002556|-2.71|农林牧渔|
|000713.SZ|国投丰乐|000713|-2.73|农林牧渔|
|000663.SZ|永安林业|000663|-2.74|农林牧渔|
|002086.SZ|东方海洋|002086|-2.74|农林牧渔|
|002688.SZ|金河生物|002688|-2.78|农林牧渔|
|301498.SZ|乖宝宠物|301498|-2.83|农林牧渔|
|002234.SZ|民和股份|002234|-2.88|农林牧渔|
|002124.SZ|天邦食品|002124|-2.9|农林牧渔|
|600201.SH|生物股份|600201|-2.91|农林牧渔|
|002458.SZ|益生股份|002458|-2.97|农林牧渔|
|300106.SZ|西部牧业|300106|-3.03|食品饮料|
|600598.SH|北大荒|600598|-3.05|农林牧渔|
|600257.SH|大湖股份|600257|-3.09|农林牧渔|
|603182.SH|嘉华股份|603182|-3.1|农林牧渔|
|300673.SZ|佩蒂股份|300673|-3.17|农林牧渔|
|600127.SH|金健米业|600127|-3.21|农林牧渔|
|002321.SZ|华英农业|002321|-3.24|农林牧渔|
|000893.SZ|亚钾国际|000893|-3.29|基础化工|
|300119.SZ|瑞普生物|300119|-3.31|农林牧渔|
|002041.SZ|登海种业|002041|-3.32|农林牧渔|
|002548.SZ|金新农|002548|-3.33|农林牧渔|
|600883.SH|博闻科技|600883|-3.37|农林牧渔|
|002982.SZ|湘佳股份|002982|-3.4|农林牧渔|
|600313.SH|农发种业|600313|-3.42|农林牧渔|
|300268.SZ|佳沃食品|300268|-3.42|农林牧渔|
|000702.SZ|正虹科技|000702|-3.46|农林牧渔|
|002200.SZ|交投生态|002200|-3.49|建筑装饰|
|000061.SZ|农产品|000061|-3.5|商贸零售|
|603739.SH|蔚蓝生物|603739|-3.54|基础化工|
|300511.SZ|雪榕生物|300511|-3.58|农林牧渔|
|603151.SH|邦基科技|603151|-3.59|农林牧渔|
|002215.SZ|诺普信|002215|-3.63|农林牧渔|
|002772.SZ|众兴菌业|002772|-3.78|农林牧渔|
|300871.SZ|回盛生物|300871|-3.8|农林牧渔|
|600189.SH|泉阳泉|600189|-3.82|食品饮料|
|000735.SZ|罗牛山|000735|-3.83|农林牧渔|
|002746.SZ|仙坛股份|002746|-3.87|农林牧渔|
|600467.SH|好当家|600467|-3.88|农林牧渔|
|002696.SZ|百洋股份|002696|-3.89|农林牧渔|
|600438.SH|通威股份|600438|-3.91|电力设备|
|002679.SZ|福建金森|002679|-3.95|农林牧渔|
|300021.SZ|大禹节水|300021|-3.98|农林牧渔|
|600097.SH|开创国际|600097|-4.06|农林牧渔|
|603668.SH|天马科技|603668|-4.11|农林牧渔|
|002868.SZ|绿康生化|002868|-4.12|农林牧渔|
|600354.SH|敦煌种业|600354|-4.19|农林牧渔|
|002852.SZ|道道全|002852|-4.23|农林牧渔|
|600251.SH|冠农股份|600251|-4.32|农林牧渔|
|002481.SZ|双塔食品|002481|-4.38|农林牧渔|
|002891.SZ|中宠股份|002891|-4.43|农林牧渔|
|300094.SZ|国联水产|300094|-4.55|农林牧渔|
|000019.SZ|深粮控股|000019|-4.56|农林牧渔|
|600191.SH|华资实业|600191|-4.64|农林牧渔|
|603717.SH|天域生物|603717|-4.74|农林牧渔|
|301116.SZ|益客食品|301116|-4.75|农林牧渔|
|003030.SZ|祖名股份|003030|-4.76|农林牧渔|
|300970.SZ|华绿生物|300970|-4.77|农林牧渔|
|002286.SZ|保龄宝|002286|-4.82|农林牧渔|
|600506.SH|统一股份|600506|-5.23|石油石化|
|001338.SZ|永顺泰|001338|-5.3|农林牧渔|
|000505.SZ|京粮控股|000505|-5.38|农林牧渔|
