vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万医药生物行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 560 个符合条件标的，以下列出前 500 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|603439.SH|三力制药|603439|10.0|医药生物|
|688581.SH|安杰思|688581|9.79|医药生物|
|688151.SH|华强科技|688151|7.61|医药生物|
|600869.SH|远东股份|600869|5.19|电力设备|
|600682.SH|南京新百|600682|4.37|综合|
|688277.SH|天智航|688277|4.31|医药生物|
|000078.SZ|ST海王|000078|3.29|医药生物|
|600706.SH|曲江文旅|600706|2.62|社会服务|
|300430.SZ|*ST益通|300430|2.42|医药生物|
|301087.SZ|可孚医疗|301087|2.07|医药生物|
|002099.SZ|海翔药业|002099|1.54|医药生物|
|600803.SH|新奥股份|600803|1.49|公用事业|
|688712.SH|北芯生命|688712|1.47|医药生物|
|688617.SH|惠泰医疗|688617|1.23|医药生物|
|603205.SH|健尔康|603205|1.22|医药生物|
|600529.SH|山东药玻|600529|1.2|医药生物|
|600855.SH|航天长峰|600855|1.16|国防军工|
|000516.SZ|国际医学|000516|1.16|医药生物|
|002102.SZ|ST能特|002102|1.12|医药生物|
|600976.SH|健民集团|600976|0.82|医药生物|
|688271.SH|联影医疗|688271|0.73|医药生物|
|300142.SZ|沃森生物|300142|0.69|医药生物|
|688029.SH|南微医学|688029|0.68|医药生物|
|600624.SH|ST复华|600624|0.65|医药生物|
|000813.SZ|德展健康|000813|0.6|医药生物|
|688331.SH|荣昌生物|688331|0.57|医药生物|
|600436.SH|片仔癀|600436|0.56|医药生物|
|603139.SH|康惠股份|603139|0.44|医药生物|
|300966.SZ|共同药业|300966|0.35|医药生物|
|603351.SH|威尔药业|603351|0.28|医药生物|
|000669.SZ|ST金鸿|000669|0.24|公用事业|
|000591.SZ|太阳能|000591|0.23|公用事业|
|300497.SZ|富祥股份|300497|0.2|医药生物|
|301263.SZ|泰恩康|301263|0.2|医药生物|
|000668.SZ|荣丰控股|000668|0.19|房地产|
|000766.SZ|通化金马|000766|0.12|医药生物|
|000538.SZ|云南白药|000538|0.0|医药生物|
|300832.SZ|新产业|300832|0.0|医药生物|
|002653.SZ|海思科|002653|-0.02|医药生物|
|601607.SH|上海医药|601607|-0.12|医药生物|
|000908.SZ|石药景峰|000908|-0.16|医药生物|
|300006.SZ|莱美药业|300006|-0.19|医药生物|
|300439.SZ|美康生物|300439|-0.22|医药生物|
|300453.SZ|三鑫医疗|300453|-0.22|医药生物|
|002223.SZ|鱼跃医疗|002223|-0.24|医药生物|
|600851.SH|海欣股份|600851|-0.36|医药生物|
|688602.SH|康鹏科技|688602|-0.44|基础化工|
|300878.SZ|维康药业|300878|-0.48|医药生物|
|002275.SZ|桂林三金|002275|-0.49|医药生物|
|300765.SZ|石药创新|300765|-0.54|医药生物|
|688139.SH|海尔生物|688139|-0.58|医药生物|
|000423.SZ|东阿阿胶|000423|-0.61|医药生物|
|688105.SH|诺唯赞|688105|-0.61|医药生物|
|600276.SH|恒瑞医药|600276|-0.61|医药生物|
|600556.SH|天下秀|600556|-0.63|传媒|
|002675.SZ|东诚药业|002675|-0.64|医药生物|
|603882.SH|金域医学|603882|-0.73|医药生物|
|600332.SH|白云山|600332|-0.75|医药生物|
|300003.SZ|乐普医疗|300003|-0.8|医药生物|
|002693.SZ|双成药业|002693|-0.82|医药生物|
|605199.SH|ST葫芦娃|605199|-0.84|医药生物|
|603939.SH|益丰药房|603939|-0.84|医药生物|
|600535.SH|天士力|600535|-0.85|医药生物|
|000739.SZ|普洛药业|000739|-0.86|医药生物|
|301096.SZ|百诚医药|301096|-0.87|医药生物|
|002551.SZ|尚荣医疗|002551|-0.91|医药生物|
|002932.SZ|*ST明德|002932|-0.98|医药生物|
|688426.SH|康为世纪|688426|-1.02|医药生物|
|000607.SZ|华媒控股|000607|-1.03|传媒|
|300685.SZ|艾德生物|300685|-1.07|医药生物|
|600521.SH|华海药业|600521|-1.09|医药生物|
|603014.SH|威高血净|603014|-1.09|医药生物|
|001367.SZ|海森药业|001367|-1.1|医药生物|
|000509.SZ|华塑控股|000509|-1.13|电子|
|300677.SZ|英科医疗|300677|-1.13|医药生物|
|300705.SZ|九典制药|300705|-1.13|医药生物|
|000503.SZ|国新健康|000503|-1.16|计算机|
|688221.SH|前沿生物|688221|-1.18|医药生物|
|600380.SH|健康元|600380|-1.18|医药生物|
|300122.SZ|智飞生物|300122|-1.18|医药生物|
|600062.SH|华润双鹤|600062|-1.19|医药生物|
|002872.SZ|ST天圣|002872|-1.2|医药生物|
|600673.SH|东阳光|600673|-1.2|综合|
|002737.SZ|葵花药业|002737|-1.21|医药生物|
|600750.SH|华润江中|600750|-1.24|医药生物|
|300558.SZ|贝达药业|300558|-1.24|医药生物|
|300676.SZ|华大基因|300676|-1.24|医药生物|
|600568.SH|ST中珠|600568|-1.25|医药生物|
|600085.SH|同仁堂|600085|-1.27|医药生物|
|688468.SH|科美诊断|688468|-1.28|医药生物|
|600196.SH|复星医药|600196|-1.28|医药生物|
|603858.SH|步长制药|603858|-1.3|医药生物|
|688613.SH|奥精医疗|688613|-1.31|医药生物|
|600645.SH|中源协和|600645|-1.33|医药生物|
|300896.SZ|爱美客|300896|-1.34|美容护理|
|300015.SZ|爱尔眼科|300015|-1.35|医药生物|
|688566.SH|吉贝尔|688566|-1.35|医药生物|
|600079.SH|ST人福|600079|-1.35|医药生物|
|000963.SZ|华东医药|000963|-1.35|医药生物|
|600285.SH|羚锐制药|600285|-1.35|医药生物|
|600329.SH|达仁堂|600329|-1.37|医药生物|
|603233.SH|大参林|603233|-1.39|医药生物|
|600998.SH|九州通|600998|-1.39|医药生物|
|300255.SZ|常山药业|300255|-1.4|医药生物|
|600511.SH|国药股份|600511|-1.42|医药生物|
|600518.SH|康美药业|600518|-1.43|医药生物|
|600666.SH|奥瑞德|600666|-1.44|计算机|
|300326.SZ|ST凯利|300326|-1.44|医药生物|
|600056.SH|中国医药|600056|-1.44|医药生物|
|002758.SZ|浙农股份|002758|-1.45|基础化工|
|688690.SH|纳微科技|688690|-1.46|医药生物|
|600129.SH|太极集团|600129|-1.47|医药生物|
|688805.SH|健信超导|688805|-1.47|医药生物|
|688621.SH|阳光诺和|688621|-1.49|医药生物|
|002603.SZ|以岭药业|002603|-1.49|医药生物|
|002382.SZ|蓝帆医疗|002382|-1.51|医药生物|
|688189.SH|ST南新|688189|-1.52|医药生物|
|603387.SH|基蛋生物|603387|-1.52|医药生物|
|600226.SH|亨通股份|600226|-1.54|公用事业|
|600530.SH|ST交昂|600530|-1.55|食品饮料|
|688799.SH|华纳药厂|688799|-1.56|医药生物|
|605116.SH|奥锐特|605116|-1.56|医药生物|
|002022.SZ|科华生物|002022|-1.57|医药生物|
|300341.SZ|麦克奥迪|300341|-1.58|医药生物|
|000931.SZ|中关村|000931|-1.58|医药生物|
|002432.SZ|九安医疗|002432|-1.59|医药生物|
|688289.SH|圣湘生物|688289|-1.61|医药生物|
|600211.SH|西藏药业|600211|-1.61|医药生物|
|002728.SZ|特一药业|002728|-1.62|医药生物|
|000915.SZ|华特达因|000915|-1.63|医药生物|
|600351.SH|亚宝药业|600351|-1.63|医药生物|
|600993.SH|马应龙|600993|-1.64|医药生物|
|300529.SZ|健帆生物|300529|-1.64|医药生物|
|600867.SH|通化东宝|600867|-1.65|医药生物|
|300406.SZ|九强生物|300406|-1.66|医药生物|
|688180.SH|君实生物|688180|-1.67|医药生物|
|301267.SZ|华厦眼科|301267|-1.68|医药生物|
|688796.SH|百奥赛图|688796|-1.71|医药生物|
|002727.SZ|一心堂|002727|-1.71|医药生物|
|688389.SH|普门科技|688389|-1.72|医药生物|
|300358.SZ|楚天科技|300358|-1.72|医药生物|
|002038.SZ|双鹭药业|002038|-1.74|医药生物|
|600216.SH|浙江医药|600216|-1.75|医药生物|
|688767.SH|博拓生物|688767|-1.75|医药生物|
|688687.SH|凯因科技|688687|-1.75|医药生物|
|688710.SH|益诺思|688710|-1.76|医药生物|
|688085.SH|三友医疗|688085|-1.76|医药生物|
|300519.SZ|新光药业|300519|-1.77|医药生物|
|300049.SZ|福瑞医科|300049|-1.77|医药生物|
|600252.SH|中恒集团|600252|-1.78|医药生物|
|300760.SZ|迈瑞医疗|300760|-1.79|医药生物|
|000028.SZ|国药一致|000028|-1.79|医药生物|
|688198.SH|佰仁医疗|688198|-1.79|医药生物|
|300314.SZ|戴维医疗|300314|-1.8|医药生物|
|300194.SZ|福安药业|300194|-1.8|医药生物|
|300146.SZ|汤臣倍健|300146|-1.8|食品饮料|
|000952.SZ|广济药业|000952|-1.83|医药生物|
|688266.SH|泽璟制药|688266|-1.83|医药生物|
|002950.SZ|奥美医疗|002950|-1.83|医药生物|
|600587.SH|新华医疗|600587|-1.84|医药生物|
|300573.SZ|兴齐眼药|300573|-1.84|医药生物|
|300009.SZ|安科生物|300009|-1.84|医药生物|
|300244.SZ|迪安诊断|300244|-1.85|医药生物|
|300233.SZ|金城医药|300233|-1.86|医药生物|
|002219.SZ|新里程|002219|-1.86|医药生物|
