vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,上交所所有属于申万医药生物行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 2763 个符合条件标的，以下列出前 500 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|688801.SH|C燧原|688801|179.22|电子|
|688260.SH|昀冢科技|688260|18.68|电子|
|688143.SH|长盈通|688143|15.49|通信|
|688367.SH|工大高科|688367|12.74|机械设备|
|605069.SH|正和生态|605069|10.05|环保|
|603386.SH|骏亚科技|603386|10.03|电子|
|601199.SH|江南水务|601199|10.03|环保|
|603466.SH|风语筑|603466|10.03|传媒|
|603336.SH|宏辉果蔬|603336|10.03|农林牧渔|
|600237.SH|铜峰电子|600237|10.02|电子|
|600184.SH|光电股份|600184|10.02|国防军工|
|600207.SH|安彩高科|600207|10.02|电力设备|
|600088.SH|中视传媒|600088|10.02|传媒|
|603421.SH|鼎信通讯|603421|10.01|通信|
|603936.SH|博敏电子|603936|10.01|电子|
|605058.SH|澳弘电子|605058|10.01|电子|
|603938.SH|三孚股份|603938|10.01|基础化工|
|603439.SH|三力制药|603439|10.0|医药生物|
|605011.SH|杭州热电|605011|10.0|公用事业|
|605258.SH|协和电子|605258|10.0|电子|
|600967.SH|内蒙一机|600967|9.99|国防军工|
|600876.SH|凯盛新能|600876|9.99|建筑材料|
|600410.SH|华胜天成|600410|9.99|计算机|
|603136.SH|天目湖|603136|9.98|社会服务|
|605088.SH|冠盛股份|605088|9.98|汽车|
|603693.SH|江苏新能|603693|9.97|公用事业|
|688581.SH|安杰思|688581|9.79|医药生物|
|600734.SH|*ST实达|600734|8.96|通信|
|601869.SH|长飞光纤|601869|8.78|通信|
|603601.SH|再升科技|603601|8.33|建筑材料|
|601086.SH|国芳集团|601086|8.21|商贸零售|
|603377.SH|ST东时|603377|8.09|社会服务|
|688151.SH|华强科技|688151|7.61|医药生物|
|603226.SH|菲林格尔|603226|7.41|轻工制造|
|688835.SH|高凯技术|688835|6.86|机械设备|
|688655.SH|迅捷兴|688655|6.75|电子|
|603533.SH|掌阅科技|603533|6.64|传媒|
|605006.SH|山东玻纤|605006|6.64|建筑材料|
|603328.SH|依顿电子|603328|6.59|电子|
|603678.SH|火炬电子|603678|6.04|国防军工|
|603679.SH|华体科技|603679|6.0|电子|
|601595.SH|上海电影|601595|5.71|传媒|
|603285.SH|键邦股份|603285|5.65|基础化工|
|688519.SH|南亚新材|688519|5.65|电子|
|600468.SH|百利电气|600468|5.56|电力设备|
|600032.SH|浙江新能|600032|5.53|公用事业|
|688020.SH|方邦股份|688020|5.51|电子|
|603267.SH|鸿远电子|603267|5.31|国防军工|
|688279.SH|峰岹科技|688279|5.27|电子|
|688593.SH|新相微|688593|5.19|电子|
|600869.SH|远东股份|600869|5.19|电力设备|
|600104.SH|上汽集团|600104|5.11|汽车|
|605277.SH|新亚电子|605277|4.97|电子|
|601606.SH|长城军工|601606|4.73|国防军工|
|688813.SH|泰金新能|688813|4.59|机械设备|
|688156.SH|路德科技|688156|4.51|农林牧渔|
|600105.SH|永鼎股份|600105|4.51|通信|
|603186.SH|华正新材|603186|4.47|电子|
|600371.SH|万向德农|600371|4.45|农林牧渔|
|600682.SH|南京新百|600682|4.37|综合|
|688277.SH|天智航|688277|4.31|医药生物|
|600936.SH|北投科技|600936|4.29|传媒|
|603989.SH|艾华集团|603989|4.2|电子|
|605198.SH|安德利|605198|4.19|农林牧渔|
|688820.SH|盛合晶微|688820|4.18|电子|
|600776.SH|东方通信|600776|4.02|通信|
|600255.SH|鑫科材料|600255|4.02|有色金属|
|603390.SH|通达电气|603390|3.95|汽车|
|600596.SH|新安股份|600596|3.91|基础化工|
|603002.SH|宏昌电子|603002|3.87|电子|
|603959.SH|ST百利|603959|3.81|建筑装饰|
|688543.SH|国科军工|688543|3.79|国防军工|
|600084.SH|*ST尼雅|600084|3.76|食品饮料|
|601218.SH|吉鑫科技|601218|3.67|电力设备|
|603618.SH|杭电股份|603618|3.59|电力设备|
|600522.SH|中天科技|600522|3.57|通信|
|600982.SH|宁波能源|600982|3.56|公用事业|
|603376.SH|大明电子|603376|3.52|汽车|
|601112.SH|振石股份|601112|3.4|建筑材料|
|603606.SH|东方电缆|603606|3.36|电力设备|
|600360.SH|华微电子|600360|3.33|电子|
|603838.SH|*ST四通|603838|3.31|轻工制造|
|688122.SH|西部超导|688122|3.31|国防军工|
|000078.SZ|ST海王|000078|3.29|医药生物|
|688011.SH|新光光电|688011|3.29|国防军工|
|605319.SH|无锡振华|605319|3.27|汽车|
|603353.SH|和顺石油|603353|3.15|石油石化|
|603486.SH|科沃斯|603486|3.15|家用电器|
|600391.SH|航发科技|600391|3.12|国防军工|
|603230.SH|内蒙新华|603230|3.08|传媒|
|603920.SH|世运电路|603920|3.03|电子|
|600229.SH|城市传媒|600229|2.91|传媒|
