vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万商贸零售行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 185 个符合条件标的，以下列出前 185 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|601086.SH|国芳集团|601086|8.21|商贸零售|
|600682.SH|南京新百|600682|4.37|综合|
|600084.SH|*ST尼雅|600084|3.76|食品饮料|
|000151.SZ|中成股份|000151|3.39|商贸零售|
|000056.SZ|*ST皇庭|000056|2.36|房地产|
|301381.SZ|赛维时代|301381|1.85|商贸零售|
|000516.SZ|国际医学|000516|1.16|医药生物|
|002102.SZ|ST能特|002102|1.12|医药生物|
|000586.SZ|汇源通信|000586|0.99|通信|
|600710.SH|苏美达|600710|0.78|商贸零售|
|002640.SZ|跨境通|002640|0.58|商贸零售|
|000010.SZ|*ST美丽|000010|0.58|建筑装饰|
|600753.SH|ST海钦|600753|0.56|交通运输|
|300464.SZ|星徽股份|300464|0.5|商贸零售|
|000007.SZ|全新好|000007|0.18|商贸零售|
|300413.SZ|芒果超媒|300413|0.11|传媒|
|600735.SH|ST新华锦|600735|-0.15|纺织服饰|
|300022.SZ|吉峰科技|300022|-0.25|商贸零售|
|600153.SH|建发股份|600153|-0.35|交通运输|
|000906.SZ|浙商中拓|000906|-0.48|交通运输|
|600857.SH|宁波中百|600857|-0.49|商贸零售|
|000679.SZ|大连友谊|000679|-0.74|商贸零售|
|600821.SH|金开新能|600821|-0.78|公用事业|
|002024.SZ|ST易购|002024|-0.85|商贸零售|
|002183.SZ|怡亚通|002183|-0.89|商贸零售|
|600278.SH|东方创业|600278|-0.91|商贸零售|
|002127.SZ|南极电商|002127|-0.99|商贸零售|
|600539.SH|狮头股份|600539|-1.04|商贸零售|
|600500.SH|中化国际|600500|-1.04|基础化工|
|002315.SZ|焦点科技|002315|-1.22|商贸零售|
|000829.SZ|天音控股|000829|-1.22|商贸零售|
|600822.SH|上海物贸|600822|-1.3|汽车|
|002091.SZ|江苏国泰|002091|-1.31|商贸零售|
|600082.SH|ST海泰|600082|-1.33|房地产|
|002803.SZ|吉宏股份|002803|-1.37|商贸零售|
|600415.SH|小商品城|600415|-1.4|商贸零售|
|600056.SH|中国医药|600056|-1.44|医药生物|
|603682.SH|锦和商管|603682|-1.48|商贸零售|
|601888.SH|中国中免|601888|-1.73|商贸零售|
|600755.SH|厦门国贸|600755|-1.73|交通运输|
|600683.SH|京投发展|600683|-1.75|房地产|
|300755.SZ|华致酒行|300755|-1.77|商贸零售|
|600729.SH|重百集团|600729|-1.82|商贸零售|
|002419.SZ|天虹股份|002419|-1.86|商贸零售|
|000626.SZ|远大控股|000626|-1.89|交通运输|
|600712.SH|南宁百货|600712|-1.9|商贸零售|
|300592.SZ|华凯易佰|300592|-1.91|商贸零售|
|000882.SZ|华联股份|000882|-1.92|商贸零售|
|002264.SZ|新华都|002264|-1.94|传媒|
|002344.SZ|海宁皮城|002344|-1.94|商贸零售|
|600287.SH|苏豪时尚|600287|-1.96|商贸零售|
|605136.SH|丽人丽妆|605136|-1.98|商贸零售|
|600704.SH|物产中大|600704|-1.98|交通运输|
|601010.SH|ST文峰|601010|-2.0|商贸零售|
|601113.SH|华鼎股份|601113|-2.0|基础化工|
|000155.SZ|川能动力|000155|-2.0|公用事业|
|600738.SH|丽尚国潮|600738|-2.03|商贸零售|
|002818.SZ|富森美|002818|-2.08|商贸零售|
|600128.SH|苏豪弘业|600128|-2.08|商贸零售|
|000701.SZ|厦门信达|000701|-2.1|商贸零售|
|600234.SH|科新发展|600234|-2.1|建筑装饰|
|600861.SH|北京人力|600861|-2.14|社会服务|
|600365.SH|ST通葡|600365|-2.14|商贸零售|
|600241.SH|时代万恒|600241|-2.14|电力设备|
|600626.SH|申达股份|600626|-2.18|汽车|
|600826.SH|兰生股份|600826|-2.19|社会服务|
|000411.SZ|英特集团|000411|-2.2|医药生物|
|000419.SZ|通程控股|000419|-2.28|商贸零售|
|603977.SH|国泰集团|603977|-2.29|基础化工|
|600824.SH|益民集团|600824|-2.37|商贸零售|
|603613.SH|国联股份|603613|-2.37|商贸零售|
|002416.SZ|爱施德|002416|-2.38|商贸零售|
|000889.SZ|中嘉博创|000889|-2.38|通信|
|300972.SZ|万辰集团|300972|-2.38|商贸零售|
|002356.SZ|鹏飞绿能|002356|-2.43|商贸零售|
|000062.SZ|深圳华强|000062|-2.43|电子|
|600858.SH|银座股份|600858|-2.5|商贸零售|
|000058.SZ|深赛格|000058|-2.5|商贸零售|
|000501.SZ|武商集团|000501|-2.52|商贸零售|
|000685.SZ|中山公用|000685|-2.53|环保|
|600807.SH|济高发展|600807|-2.57|综合|
|600790.SH|轻纺城|600790|-2.6|商贸零售|
|003010.SZ|若羽臣|003010|-2.64|商贸零售|
|600694.SH|大商股份|600694|-2.68|商贸零售|
|301001.SZ|凯淳股份|301001|-2.7|商贸零售|
|603708.SH|家家悦|603708|-2.71|商贸零售|
|002556.SZ|辉隆股份|002556|-2.71|农林牧渔|
|600628.SH|新世界|600628|-2.75|商贸零售|
|600859.SH|王府井|600859|-2.75|商贸零售|
|000301.SZ|东方盛虹|000301|-2.76|石油石化|
|600655.SH|豫园股份|600655|-2.77|商贸零售|
|600774.SH|汉商集团|600774|-2.8|医药生物|
|000715.SZ|中兴商业|000715|-2.82|商贸零售|
|301110.SZ|青木科技|301110|-2.83|商贸零售|
|600605.SH|汇通能源|600605|-2.83|商贸零售|
|600515.SH|海南机场|600515|-2.83|房地产|
|601366.SH|利群股份|601366|-2.86|商贸零售|
|301558.SZ|三态股份|301558|-2.88|商贸零售|
|002697.SZ|红旗连锁|002697|-2.89|商贸零售|
|000785.SZ|居然智家|000785|-3.0|商贸零售|
|600827.SH|百联股份|600827|-3.0|商贸零售|
|002277.SZ|友阿股份|002277|-3.08|商贸零售|
|300947.SZ|德必集团|300947|-3.2|商贸零售|
|002561.SZ|徐家汇|002561|-3.23|商贸零售|
|600616.SH|金枫酒业|600616|-3.24|食品饮料|
|600058.SH|五矿发展|600058|-3.25|商贸零售|
|600739.SH|辽宁成大|600739|-3.25|医药生物|
|000753.SZ|漳州发展|000753|-3.26|综合|
|600361.SH|创新新材|600361|-3.26|有色金属|
|603101.SH|汇嘉时代|603101|-3.32|商贸零售|
|300622.SZ|博士眼镜|300622|-3.45|商贸零售|
|300792.SZ|壹网壹创|300792|-3.49|商贸零售|
|000061.SZ|农产品|000061|-3.5|商贸零售|
|002177.SZ|御银股份|002177|-3.54|商贸零售|
|600981.SH|苏豪汇鸿|600981|-3.56|商贸零售|
|301078.SZ|孩子王|301078|-3.58|商贸零售|
|600301.SH|华锡有色|600301|-3.61|有色金属|
