vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万家用电器行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 132 个符合条件标的，以下列出前 132 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|002242.SZ|九阳股份|002242|10.06|家用电器|
|002848.SZ|高斯贝尔|002848|10.04|家用电器|
|002519.SZ|银河电子|002519|9.93|国防军工|
|002508.SZ|老板电器|002508|3.92|家用电器|
|000921.SZ|海信家电|000921|3.41|家用电器|
|002139.SZ|拓邦股份|002139|3.34|电子|
|603486.SH|科沃斯|603486|3.15|家用电器|
|605117.SH|德业股份|605117|2.88|电力设备|
|000909.SZ|*ST数源|000909|2.57|房地产|
|002138.SZ|顺络电子|002138|2.49|电子|
|002413.SZ|雷科防务|002413|2.06|国防军工|
|603355.SH|莱克电气|603355|2.06|家用电器|
|000561.SZ|烽火电子|000561|1.4|国防军工|
|600060.SH|海信视像|600060|1.34|家用电器|
|002005.SZ|德豪润达|002005|1.28|家用电器|
|002011.SZ|盾安环境|002011|1.14|家用电器|
|001326.SZ|联域股份|001326|0.88|家用电器|
|000533.SZ|顺钠股份|000533|0.69|电力设备|
|600753.SH|ST海钦|600753|0.56|交通运输|
|002429.SZ|兆驰股份|002429|0.38|家用电器|
|688696.SH|极米科技|688696|0.28|家用电器|
|000007.SZ|全新好|000007|0.18|商贸零售|
|002366.SZ|融发核电|002366|0.17|电力设备|
|000333.SZ|美的集团|000333|0.07|家用电器|
|603868.SH|飞科电器|603868|-0.23|家用电器|
|002668.SZ|TCL智家|002668|-0.33|家用电器|
|603075.SH|热威股份|603075|-0.4|家用电器|
|600637.SH|东方明珠|600637|-0.47|传媒|
|000651.SZ|格力电器|000651|-0.54|家用电器|
|600690.SH|海尔智家|600690|-0.76|家用电器|
|002677.SZ|浙江美大|002677|-0.79|家用电器|
|002032.SZ|苏泊尔|002032|-0.83|家用电器|
|603311.SH|金海高科|603311|-0.86|家用电器|
|603578.SH|三星新材|603578|-0.87|家用电器|
|002705.SZ|新宝股份|002705|-0.89|家用电器|
|002638.SZ|勤上股份|002638|-0.96|家用电器|
|000100.SZ|TCL科技|000100|-1.07|电子|
|002681.SZ|奋达科技|002681|-1.08|电子|
|001387.SZ|雪祺电气|001387|-1.09|家用电器|
|000801.SZ|四川九洲|000801|-1.13|家用电器|
|301362.SZ|民爆光电|301362|-1.23|家用电器|
|603219.SH|富佳股份|603219|-1.24|家用电器|
|003023.SZ|彩虹集团|003023|-1.24|家用电器|
|002402.SZ|和而泰|002402|-1.27|电子|
|000951.SZ|中国重汽|000951|-1.29|汽车|
|002676.SZ|顺威股份|002676|-1.33|家用电器|
|603519.SH|立霸股份|603519|-1.34|家用电器|
|605555.SH|德昌股份|605555|-1.41|家用电器|
|000541.SZ|佛山照明|000541|-1.41|家用电器|
|603657.SH|春光科技|603657|-1.42|家用电器|
|600619.SH|海立股份|600619|-1.42|家用电器|
|600854.SH|春兰股份|600854|-1.48|家用电器|
|002290.SZ|禾盛新材|002290|-1.53|家用电器|
|600633.SH|浙数文化|600633|-1.55|传媒|
|600983.SH|惠而浦|600983|-1.61|家用电器|
|002052.SZ|同洲电子|002052|-1.62|电力设备|
|002959.SZ|小熊电器|002959|-1.65|家用电器|
|002050.SZ|三花智控|002050|-1.66|家用电器|
|300342.SZ|天银机电|300342|-1.69|家用电器|
|001259.SZ|利仁科技|001259|-1.73|家用电器|
|002724.SZ|海洋王|002724|-1.74|家用电器|
|605336.SH|*ST帅电|605336|-1.75|家用电器|
|600839.SH|四川长虹|600839|-1.76|家用电器|
|300160.SZ|秀强股份|300160|-1.77|家用电器|
|603215.SH|比依股份|603215|-1.78|家用电器|
|603515.SH|欧普照明|603515|-1.79|家用电器|
|688169.SH|石头科技|688169|-1.79|家用电器|
|002616.SZ|长青集团|002616|-1.8|公用事业|
|300543.SZ|朗科智能|300543|-1.85|家用电器|
|688609.SH|九联科技|688609|-1.88|家用电器|
|300272.SZ|开能健康|300272|-1.9|家用电器|
|300279.SZ|和晶科技|300279|-1.94|家用电器|
|000555.SZ|神州信息|000555|-1.96|计算机|
|002614.SZ|奥佳华|002614|-1.96|家用电器|
|002055.SZ|ST得润|002055|-2.0|电子|
|300894.SZ|火星人|300894|-2.0|家用电器|
|600234.SH|科新发展|600234|-2.1|建筑装饰|
|003028.SZ|振邦智能|003028|-2.1|家用电器|
|301280.SZ|珠城科技|301280|-2.12|家用电器|
|002035.SZ|华帝股份|002035|-2.13|家用电器|
|301578.SZ|辰奕智能|301578|-2.13|家用电器|
|600261.SH|阳光照明|600261|-2.14|家用电器|
|300217.SZ|东方电热|300217|-2.15|家用电器|
|600724.SH|宁波富达|600724|-2.15|房地产|
|002543.SZ|万和电气|002543|-2.15|家用电器|
|300249.SZ|依米康|300249|-2.22|计算机|
|603551.SH|奥普科技|603551|-2.31|家用电器|
|301332.SZ|德尔玛|301332|-2.31|家用电器|
|002076.SZ|星光股份|002076|-2.34|家用电器|
|000404.SZ|长虹华意|000404|-2.4|家用电器|
|603579.SH|荣泰健康|603579|-2.42|家用电器|
|000062.SZ|深圳华强|000062|-2.43|电子|
|300403.SZ|汉宇集团|300403|-2.44|家用电器|
|002723.SZ|小崧股份|002723|-2.47|家用电器|
|301135.SZ|瑞德智能|301135|-2.54|家用电器|
|300625.SZ|三雄极光|300625|-2.6|家用电器|
