vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万建筑材料行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 114 个符合条件标的，以下列出前 114 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|002201.SZ|九鼎新材|002201|10.02|建筑材料|
|600876.SH|凯盛新能|600876|9.99|建筑材料|
|300196.SZ|长海股份|300196|8.36|建筑材料|
|603601.SH|再升科技|603601|8.33|建筑材料|
|605006.SH|山东玻纤|605006|6.64|建筑材料|
|301526.SZ|国际复材|301526|4.32|建筑材料|
|002613.SZ|北玻股份|002613|3.68|建筑材料|
|601112.SH|振石股份|601112|3.4|建筑材料|
|600176.SH|中国巨石|600176|2.76|建筑材料|
|002088.SZ|鲁阳节能|002088|2.24|建筑材料|
|600293.SH|三峡新材|600293|1.94|建筑材料|
|002323.SZ|*ST雅博|002323|1.59|建筑装饰|
|000789.SZ|万年青|000789|1.41|建筑材料|
|002080.SZ|中材科技|002080|1.32|建筑材料|
|000012.SZ|南玻A|000012|1.32|建筑材料|
|002694.SZ|*ST顾地|002694|1.22|建筑材料|
|600753.SH|ST海钦|600753|0.56|交通运输|
|603256.SH|宏和科技|603256|0.54|建筑材料|
|002233.SZ|塔牌集团|002233|0.28|建筑材料|
|002346.SZ|柘中股份|002346|0.28|电力设备|
|600819.SH|耀皮玻璃|600819|-0.17|建筑材料|
|002785.SZ|万里石|002785|-0.25|建筑材料|
|300547.SZ|川环科技|300547|-0.31|汽车|
|000672.SZ|上峰材料|000672|-0.54|建筑材料|
|002718.SZ|友邦吊顶|002718|-0.61|建筑材料|
|600586.SH|金晶科技|600586|-0.72|建筑材料|
|002043.SZ|兔宝宝|002043|-0.89|建筑材料|
|605318.SH|法狮龙|605318|-0.94|建筑材料|
|002671.SZ|龙泉股份|002671|-0.98|建筑材料|
|600539.SH|狮头股份|600539|-1.04|商贸零售|
|000509.SZ|华塑控股|000509|-1.13|电子|
|600552.SH|凯盛科技|600552|-1.19|电子|
|601636.SH|旗滨集团|601636|-1.22|建筑材料|
|600449.SH|宁夏建材|600449|-1.28|建筑材料|
|600720.SH|中交设计|600720|-1.31|建筑装饰|
|605158.SH|华达新材|605158|-1.38|有色金属|
|002392.SZ|北京利尔|002392|-1.41|建筑材料|
|600425.SH|青松建化|600425|-1.6|建筑材料|
|002066.SZ|瑞泰科技|002066|-1.65|建筑材料|
|003037.SZ|三和管桩|003037|-1.69|建筑材料|
|600801.SH|华新建材|600801|-1.76|建筑材料|
|002372.SZ|伟星新材|002372|-1.79|建筑材料|
|600585.SH|海螺水泥|600585|-1.81|建筑材料|
|000877.SZ|天山股份|000877|-1.83|建筑材料|
|002468.SZ|申通快递|002468|-1.84|交通运输|
|300374.SZ|中铁装配|300374|-1.85|建筑材料|
|600678.SH|ST金顶|600678|-1.89|建筑材料|
|002624.SZ|完美世界|002624|-1.9|传媒|
|002225.SZ|濮耐股份|002225|-1.92|建筑材料|
|300093.SZ|金刚光伏|300093|-1.92|电力设备|
|000055.SZ|方大集团|000055|-1.94|建筑材料|
|001212.SZ|中旗新材|001212|-2.03|建筑材料|
|688119.SH|中钢洛耐|688119|-2.04|建筑材料|
|300599.SZ|雄塑科技|300599|-2.12|建筑材料|
|601992.SH|金隅集团|601992|-2.13|建筑材料|
|300198.SZ|*ST纳川|300198|-2.13|建筑材料|
|600724.SH|宁波富达|600724|-2.15|房地产|
|603856.SH|东宏股份|603856|-2.22|建筑材料|
|002652.SZ|扬子新材|002652|-2.24|建筑材料|
|601865.SH|福莱特|601865|-2.27|电力设备|
|002302.SZ|西部建设|002302|-2.28|建筑材料|
|002082.SZ|ST万邦|002082|-2.29|医药生物|
|002798.SZ|帝欧水华|002798|-2.34|轻工制造|
|000546.SZ|金圆股份|000546|-2.35|环保|
|002623.SZ|亚玛顿|002623|-2.37|电力设备|
|301429.SZ|森泰股份|301429|-2.37|建筑材料|
|002247.SZ|聚力文化|002247|-2.43|建筑材料|
|000401.SZ|金隅冀东|000401|-2.47|建筑材料|
|002641.SZ|公元股份|002641|-2.51|建筑材料|
|002398.SZ|垒知集团|002398|-2.57|建筑材料|
|600562.SH|国睿科技|600562|-2.59|国防军工|
|603725.SH|天安新材|603725|-2.6|轻工制造|
|603378.SH|*ST亚士|603378|-2.64|建筑材料|
|603937.SH|丽岛新材|603937|-2.64|有色金属|
|002314.SZ|南山控股|002314|-2.67|房地产|
|000885.SZ|城发环境|000885|-2.7|环保|
|002742.SZ|冀衡医药|002742|-2.75|医药生物|
|600668.SH|尖峰集团|600668|-2.81|建筑材料|
|000786.SZ|北新建材|000786|-2.83|建筑材料|
|002205.SZ|国统股份|002205|-2.85|建筑材料|
|300715.SZ|凯伦股份|300715|-2.86|建筑材料|
|600217.SH|中再资环|600217|-2.93|环保|
|600326.SH|西藏天路|600326|-2.93|建筑材料|
|000619.SZ|海螺新材|000619|-2.95|建筑材料|
|003012.SZ|东鹏控股|003012|-2.97|轻工制造|
|300234.SZ|开尔新材|300234|-3.15|建筑材料|
|603616.SH|韩建河山|603616|-3.2|建筑材料|
|002333.SZ|罗普斯金|002333|-3.27|建筑材料|
|605122.SH|四方新材|605122|-3.28|建筑材料|
|600883.SH|博闻科技|600883|-3.37|农林牧渔|
|002163.SZ|海南发展|002163|-3.54|建筑装饰|
|002271.SZ|东方雨虹|002271|-3.64|建筑材料|
|000935.SZ|四川双马|000935|-3.73|非银金融|
|301010.SZ|晶雪节能|301010|-3.82|建筑材料|
|002795.SZ|永和智控|002795|-4.01|机械设备|
|002457.SZ|青龙管业|002457|-4.01|建筑材料|
|600881.SH|亚泰集团|600881|-4.1|综合|
|002791.SZ|坚朗五金|002791|-4.17|建筑材料|
|603038.SH|华立股份|603038|-4.26|建筑材料|
|300395.SZ|菲利华|300395|-4.38|国防军工|
|300737.SZ|科顺股份|300737|-4.55|建筑材料|
|600802.SH|福建水泥|600802|-4.99|建筑材料|
|002918.SZ|蒙娜丽莎|002918|-5.34|轻工制造|
|603737.SH|三棵树|603737|-5.4|建筑材料|
|002596.SZ|海南瑞泽|002596|-5.51|建筑材料|
|600629.SH|华建集团|600629|-8.71|建筑装饰|
|600318.SH|新力金融|600318|-10.01|非银金融|
|002162.SZ|悦心健康|002162|-10.02|轻工制造|
|300344.SZ|立方退|300344|-||
|300117.SZ|*ST嘉寓|300117|-||
|000023.SZ|*ST深天|000023|-||
|002619.SZ|*ST艾格|002619|-||
|600145.SH|退市新亿|600145|-||
|600321.SH|正源股份|600321|-||",2026-09-13T08:41:59.670125+08:00
