vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,申万钢铁和建筑装饰行业的全部A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 268 个符合条件标的，以下列出前 268 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|603466.SH|风语筑|603466|10.03|传媒|
|002856.SZ|*ST美芝|002856|8.24|建筑装饰|
|003013.SZ|地铁设计|003013|6.12|建筑装饰|
|002443.SZ|金洲管道|002443|5.73|钢铁|
|300237.SZ|ST美晨|300237|4.64|汽车|
|300649.SZ|杭州园林|300649|3.95|建筑装饰|
|002743.SZ|ST富煌|002743|3.89|建筑装饰|
|603959.SH|ST百利|603959|3.81|建筑装饰|
|002298.SZ|中电鑫龙|002298|3.05|计算机|
|002478.SZ|常宝股份|002478|2.56|钢铁|
|600491.SH|ST龙元|600491|1.73|建筑装饰|
|300746.SZ|汉嘉数智|300746|1.65|建筑装饰|
|002323.SZ|*ST雅博|002323|1.59|建筑装饰|
|601611.SH|中国核建|601611|1.45|建筑装饰|
|603257.SH|中国瑞林|603257|1.18|建筑装饰|
|300536.SZ|农尚环境|300536|0.78|计算机|
|600545.SH|卓郎智能|600545|0.72|机械设备|
|605167.SH|利柏特|605167|0.68|建筑装饰|
|002713.SZ|东易日盛|002713|0.63|建筑装饰|
|300506.SZ|名家汇|300506|0.63|建筑装饰|
|000010.SZ|*ST美丽|000010|0.58|建筑装饰|
|002542.SZ|*ST中岩|002542|0.56|建筑装饰|
|603828.SH|*ST利达|603828|0.53|建筑装饰|
|603458.SH|勘设股份|603458|0.45|建筑装饰|
|600868.SH|梅雁吉祥|600868|0.35|公用事业|
|000928.SZ|中钢国际|000928|0.0|建筑装饰|
|000628.SZ|高新发展|000628|-0.11|建筑装饰|
|000708.SZ|中信特钢|000708|-0.22|钢铁|
|600986.SH|浙文互联|600986|-0.27|传媒|
|600674.SH|川投能源|600674|-0.37|公用事业|
|002310.SZ|东方新能|002310|-0.42|公用事业|
|000906.SZ|浙商中拓|000906|-0.48|交通运输|
|002586.SZ|围海股份|002586|-0.51|建筑装饰|
|002051.SZ|中工国际|002051|-0.57|建筑装饰|
|000890.SZ|法尔胜|000890|-0.59|环保|
|301027.SZ|华蓝集团|301027|-0.62|建筑装饰|
|300983.SZ|尤安设计|300983|-0.63|建筑装饰|
|002318.SZ|久立特材|002318|-0.7|钢铁|
|002431.SZ|ST棕榈|002431|-0.72|建筑装饰|
|603843.SH|*ST正平|603843|-0.73|建筑装饰|
|301365.SZ|矩阵股份|301365|-0.77|建筑装饰|
|605289.SH|罗曼股份|605289|-0.85|建筑装饰|
|002061.SZ|浙江交科|002061|-0.88|建筑装饰|
|601668.SH|中国建筑|601668|-0.91|建筑装饰|
|601186.SH|中国铁建|601186|-0.97|建筑装饰|
|600282.SH|南钢股份|600282|-1.04|钢铁|
|601226.SH|华电科工|601226|-1.05|建筑装饰|
|002717.SZ|*ST岭南|002717|-1.08|建筑装饰|
|600516.SH|方大炭素|600516|-1.14|钢铁|
|601618.SH|中国中冶|601618|-1.15|建筑装饰|
|002811.SZ|郑中设计|002811|-1.2|建筑装饰|
|600673.SH|东阳光|600673|-1.2|综合|
