vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万房地产行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 214 个符合条件标的，以下列出前 214 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|600734.SH|*ST实达|600734|8.96|通信|
|000720.SZ|新能泰山|000720|3.11|电力设备|
|000909.SZ|*ST数源|000909|2.57|房地产|
|000056.SZ|*ST皇庭|000056|2.36|房地产|
|000670.SZ|盈方微|000670|1.94|电子|
|600745.SH|*ST闻泰|600745|0.59|电子|
|600753.SH|ST海钦|600753|0.56|交通运输|
|000668.SZ|荣丰控股|000668|0.19|房地产|
|000007.SZ|全新好|000007|0.18|商贸零售|
|002148.SZ|北纬科技|002148|0.0|通信|
|000628.SZ|高新发展|000628|-0.11|建筑装饰|
|600177.SH|雅戈尔|600177|-0.12|纺织服饰|
|600381.SH|*ST春天|600381|-0.26|食品饮料|
|000691.SZ|亚太实业|000691|-0.4|基础化工|
|000802.SZ|北京文化|000802|-0.48|传媒|
|600158.SH|中体产业|600158|-0.69|社会服务|
|600777.SH|新潮能源|600777|-0.73|石油石化|
|000679.SZ|大连友谊|000679|-0.74|商贸零售|
|600007.SH|中国国贸|600007|-0.79|房地产|
|000615.SZ|*ST美谷|000615|-0.9|美容护理|
|600340.SH|*ST华幸|600340|-0.93|房地产|
|000711.SZ|京蓝科技|000711|-0.99|环保|
|600648.SH|外高桥|600648|-1.18|房地产|
|600759.SH|ST洲际|600759|-1.19|石油石化|
|000838.SZ|*ST发展|000838|-1.23|房地产|
|600568.SH|ST中珠|600568|-1.25|医药生物|
|600157.SH|永泰能源|600157|-1.27|公用事业|
|600082.SH|ST海泰|600082|-1.33|房地产|
|600239.SH|ST云城|600239|-1.35|房地产|
|002305.SZ|*ST南置|002305|-1.43|房地产|
|600510.SH|黑牡丹|600510|-1.48|房地产|
|600854.SH|春兰股份|600854|-1.48|家用电器|
|600376.SH|首开股份|600376|-1.55|房地产|
|000931.SZ|中关村|000931|-1.58|医药生物|
|000632.SZ|ST三木|000632|-1.65|综合|
|600064.SH|南京高科|600064|-1.66|房地产|
|000009.SZ|中国宝安|000009|-1.71|电力设备|
|000608.SZ|阳光股份|000608|-1.73|房地产|
|001979.SZ|招商蛇口|001979|-1.74|房地产|
|000863.SZ|三湘印象|000863|-1.74|房地产|
|600683.SH|京投发展|600683|-1.75|房地产|
|000558.SZ|天府文旅|000558|-1.75|社会服务|
|600252.SH|中恒集团|600252|-1.78|医药生物|
|600639.SH|浦东金桥|600639|-1.79|房地产|
|600872.SH|中炬高新|600872|-1.84|食品饮料|
|000975.SZ|山金国际|000975|-1.86|有色金属|
|002077.SZ|大港股份|002077|-1.92|电子|
|600846.SH|同济科技|600846|-1.93|建筑装饰|
|000506.SZ|招金黄金|000506|-1.93|有色金属|
|600679.SH|上海凤凰|600679|-1.96|汽车|
|000631.SZ|顺发恒能|000631|-2.0|公用事业|
|000526.SZ|学大教育|000526|-2.03|社会服务|
|000036.SZ|华联控股|000036|-2.04|房地产|
|600794.SH|保税科技|600794|-2.1|交通运输|
|600463.SH|空港股份|600463|-2.15|房地产|
|600724.SH|宁波富达|600724|-2.15|房地产|
|600053.SH|*ST九鼎|600053|-2.19|非银金融|
|000572.SZ|海马汽车|000572|-2.23|汽车|
|000981.SZ|山子高科|000981|-2.26|汽车|
|000042.SZ|中洲控股|000042|-2.27|房地产|
|000809.SZ|和展能源|000809|-2.27|电力设备|
|600246.SH|万通发展|600246|-2.28|房地产|
|600173.SH|卧龙新能|600173|-2.28|房地产|
|600149.SH|廊坊发展|600149|-2.32|公用事业|
|000546.SZ|金圆股份|000546|-2.35|环保|
|600604.SH|市北高新|600604|-2.36|房地产|
|000889.SZ|中嘉博创|000889|-2.38|通信|
|000656.SZ|金科股份|000656|-2.42|房地产|
|600208.SH|衢州发展|600208|-2.43|房地产|
|600067.SH|冠城新材|600067|-2.45|电力设备|
|600641.SH|先导基电|600641|-2.46|电子|
|600223.SH|福瑞达|600223|-2.47|美容护理|
|600094.SH|大名城|600094|-2.48|房地产|
|000609.SZ|*ST中迪|000609|-2.48|房地产|
|600665.SH|天地源|600665|-2.51|房地产|
|000620.SZ|盈新发展|000620|-2.51|房地产|
|002968.SZ|新大正|002968|-2.51|房地产|
|600159.SH|大龙地产|600159|-2.52|房地产|
|600684.SH|珠江股份|600684|-2.54|房地产|
|000029.SZ|深深房A|000029|-2.56|房地产|
|600807.SH|济高发展|600807|-2.57|综合|
|600790.SH|轻纺城|600790|-2.6|商贸零售|
|600136.SH|ST明诚|600136|-2.63|房地产|
|600848.SH|上海临港|600848|-2.63|房地产|
|000014.SZ|沙河股份|000014|-2.65|房地产|
|000886.SZ|海南高速|000886|-2.66|交通运输|
|002314.SZ|南山控股|002314|-2.67|房地产|
|600716.SH|凤凰股份|600716|-2.68|房地产|
|600576.SH|祥源文旅|600576|-2.74|社会服务|
|600649.SH|城投控股|600649|-2.76|房地产|
|601155.SH|新城控股|601155|-2.76|房地产|
|600325.SH|华发股份|600325|-2.77|房地产|
|000090.SZ|天健集团|000090|-2.81|房地产|
|600743.SH|华远控股|600743|-2.82|房地产|
|600515.SH|海南机场|600515|-2.83|房地产|
|600603.SH|广汇物流|600603|-2.84|交通运输|
|600052.SH|东望时代|600052|-2.84|公用事业|
|000537.SZ|绿发电力|000537|-2.86|公用事业|
|600048.SH|保利发展|600048|-2.88|房地产|
|000573.SZ|粤宏远A|000573|-2.89|房地产|
|600615.SH|鑫源智造|600615|-2.89|有色金属|
|600895.SH|张江高科|600895|-2.91|房地产|
|600133.SH|东湖高新|600133|-2.93|环保|
|600663.SH|陆家嘴|600663|-2.96|房地产|
|002016.SZ|世荣兆业|002016|-2.97|房地产|
|600051.SH|宁波联合|600051|-2.99|综合|
|000049.SZ|德赛电池|000049|-3.01|电力设备|
|600606.SH|绿地控股|600606|-3.03|房地产|
|601512.SH|中新集团|601512|-3.06|房地产|
|002208.SZ|合肥城建|002208|-3.07|房地产|
|600533.SH|栖霞建设|600533|-3.08|房地产|
|000897.SZ|津滨发展|000897|-3.11|房地产|
|000006.SZ|深振业A|000006|-3.11|房地产|
|600733.SH|北汽蓝谷|600733|-3.12|汽车|
|600620.SH|天宸股份|600620|-3.13|综合|
|000002.SZ|万科A|000002|-3.16|房地产|
|000011.SZ|深物业A|000011|-3.18|房地产|
|600503.SH|华丽家族|600503|-3.18|房地产|
|001914.SZ|招商积余|001914|-3.2|房地产|
|600708.SH|光明地产|600708|-3.22|房地产|
|000926.SZ|福星股份|000926|-3.23|房地产|
|000069.SZ|华侨城A|000069|-3.28|房地产|
|002146.SZ|荣盛发展|002146|-3.33|房地产|
|600076.SH|康欣新材|600076|-3.33|轻工制造|
|600638.SH|新黄浦|600638|-3.4|房地产|
|601588.SH|北辰实业|601588|-3.41|房地产|
|002133.SZ|广宇集团|002133|-3.45|房地产|
|000514.SZ|渝开发|000514|-3.48|房地产|
|600675.SH|中华企业|600675|-3.49|房地产|
|000718.SZ|苏宁环球|000718|-3.5|房地产|
|000402.SZ|金融街|000402|-3.53|房地产|
|600736.SH|苏州高新|600736|-3.56|房地产|
|300917.SZ|特发服务|300917|-3.56|房地产|
|600748.SH|上实发展|600748|-3.59|房地产|
|600692.SH|亚通股份|600692|-3.6|房地产|
|600658.SH|电子城|600658|-3.6|房地产|
|600622.SH|光大嘉宝|600622|-3.64|房地产|
|000534.SZ|万泽股份|000534|-3.69|医药生物|
|002188.SZ|中天服务|002188|-3.74|房地产|
|600383.SH|金地集团|600383|-3.91|房地产|
|600215.SH|派斯林|600215|-3.95|机械设备|
|000031.SZ|大悦城|000031|-3.96|房地产|
|600322.SH|津投城开|600322|-3.99|房地产|
|600490.SH|鹏欣资源|600490|-4.02|有色金属|
|600185.SH|珠免集团|600185|-4.05|商贸零售|
|000803.SZ|山高环能|000803|-4.09|环保|
|600881.SH|亚泰集团|600881|-4.1|综合|
|000736.SZ|中交发展|000736|-4.12|房地产|
|600732.SH|爱旭股份|600732|-4.15|电力设备|
|600266.SH|城建发展|600266|-4.16|房地产|
|600791.SH|京能置业|600791|-4.31|房地产|
|603506.SH|南都物业|603506|-4.4|房地产|
|000965.SZ|天保基建|000965|-4.45|房地产|
|000517.SZ|荣安地产|000517|-4.69|房地产|
|000797.SZ|中国武夷|000797|-4.94|房地产|
|600621.SH|华鑫股份|600621|-5.14|非银金融|
|002244.SZ|滨江集团|002244|-5.21|房地产|
|600657.SH|信达地产|600657|-5.21|房地产|
|000505.SZ|京粮控股|000505|-5.38|农林牧渔|
|002285.SZ|世联行|002285|-5.86|房地产|
|000048.SZ|京基智农|000048|-5.95|农林牧渔|
|600095.SH|湘财股份|600095|-6.13|非银金融|
|000567.SZ|海德股份|000567|-6.21|非银金融|
|000592.SZ|平潭发展|000592|-6.29|农林牧渔|
|000560.SZ|我爱我家|000560|-6.48|房地产|
|600162.SH|香江控股|600162|-6.68|房地产|
|600773.SH|西藏城投|600773|-7.08|房地产|
|600113.SH|浙江东日|600113|-7.99|商贸零售|
|002377.SZ|国创高新|002377|-8.65|石油石化|
|000712.SZ|锦龙股份|000712|-9.5|非银金融|
|002059.SZ|云南旅游|002059|-9.98|社会服务|
|000040.SZ|*ST旭蓝|000040|-||
|000979.SZ|中弘退|000979|-||
|600823.SH|*ST世茂|600823|-||
|600634.SH|退市富控|600634|-||
|600766.SH|退市园城|600766|-||
|000005.SZ|ST星源|000005|-||
|600687.SH|退市刚泰|600687|-||
|000046.SZ|*ST泛海|000046|-||
|002147.SZ|新光退|002147|-||
|000004.SZ|国华退|000004|-||
|600840.SH|新湖创业|600840|-||
|600565.SH|ST迪马|600565|-||
|600240.SH|退市华业|600240|-||
|000732.SZ|ST泰禾|000732|-||
|000836.SZ|ST富通|000836|-||
|600175.SH|退市美都|600175|-||
|000961.SZ|ST中南|000961|-||
|600555.SH|退市海创|600555|-||
|000671.SZ|ST阳光城|000671|-||
|600225.SH|退市卓朗|600225|-||
|600193.SH|退市创兴|600193|-||
|600275.SH|退市昌鱼|600275|-||
|600077.SH|*ST宋都|600077|-||
|600247.SH|*ST成城|600247|-||
|600614.SH|退市鹏起|600614|-||
|000638.SZ|*ST万方|000638|-||
|600890.SH|退市中房|600890|-||
|000667.SZ|ST美置|000667|-||
|000760.SZ|斯太退|000760|-||
|000511.SZ|烯碳退|000511|-||
|000018.SZ|神城A退|000018|-||
|600466.SH|*ST蓝光|600466|-||
|000024.SZ|招商地产|000024|-||
|000918.SZ|*ST嘉凯|000918|-||
|000502.SZ|绿景退|000502|-||
|600647.SH|退市同达|600647|-||
|600393.SH|ST粤泰|600393|-||
|000038.SZ|大通退|000038|-||
|000616.SZ|*ST海投|000616|-||
|000540.SZ|*ST中天|000540|-||
|600696.SH|退市岩石|600696|-||
|600767.SH|退市运盛|600767|-||
|000150.SZ|*ST宜康|000150|-||",2026-09-13T08:40:18.936476+08:00
