vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万有色金属行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 214 个符合条件标的，以下列出前 214 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|002297.SZ|博云新材|002297|7.44|国防军工|
|002130.SZ|沃尔核材|002130|4.43|电子|
|600255.SH|鑫科材料|600255|4.02|有色金属|
|002171.SZ|楚江新材|002171|2.45|有色金属|
|603115.SH|海星股份|603115|2.34|电子|
|002600.SZ|领益智造|002600|2.02|电子|
|002501.SZ|*ST利源|002501|1.54|有色金属|
|605376.SH|博迁新材|605376|1.01|有色金属|
|301323.SZ|新莱福|301323|0.85|有色金属|
|000813.SZ|德展健康|000813|0.6|医药生物|
|000519.SZ|中兵红箭|000519|0.43|国防军工|
|600988.SH|赤峰黄金|600988|0.2|有色金属|
|000007.SZ|全新好|000007|0.18|商贸零售|
|300057.SZ|万顺新材|300057|0.16|有色金属|
|000928.SZ|中钢国际|000928|0.0|建筑装饰|
|300811.SZ|铂科新材|300811|0.0|有色金属|
|002806.SZ|华锋股份|002806|-0.14|汽车|
|002056.SZ|横店东磁|002056|-0.15|电力设备|
|000908.SZ|石药景峰|000908|-0.16|医药生物|
|603688.SH|石英股份|603688|-0.23|基础化工|
|301531.SZ|春光集团|301531|-0.36|有色金属|
|002988.SZ|豪美新材|002988|-0.39|有色金属|
|603124.SH|江南新材|603124|-0.39|有色金属|
|300835.SZ|龙磁科技|300835|-0.47|有色金属|
|301522.SZ|上大股份|301522|-0.6|有色金属|
|001337.SZ|四川黄金|001337|-0.65|有色金属|
|600458.SH|时代新材|600458|-0.77|综合|
|301150.SZ|中一科技|301150|-0.83|电力设备|
|301217.SZ|铜冠铜箔|301217|-1.11|电力设备|
|600516.SH|方大炭素|600516|-1.14|钢铁|
|000008.SZ|神州高铁|000008|-1.2|机械设备|
|600673.SH|东阳光|600673|-1.2|综合|
|603407.SH|长裕集团|603407|-1.21|有色金属|
|002149.SZ|西部材料|002149|-1.27|有色金属|
|688456.SH|有研粉材|688456|-1.27|有色金属|
|600114.SH|东睦股份|600114|-1.31|机械设备|
|300963.SZ|中洲特材|300963|-1.33|有色金属|
|002540.SZ|亚太科技|002540|-1.34|有色金属|
|000969.SZ|安泰科技|000969|-1.35|有色金属|
|300127.SZ|银河磁体|300127|-1.37|有色金属|
|605158.SH|华达新材|605158|-1.38|有色金属|
|300666.SZ|江丰电子|300666|-1.39|电子|
|300706.SZ|阿石创|300706|-1.39|电子|
|000697.SZ|炼石航空|000697|-1.4|国防军工|
|000657.SZ|中钨高新|000657|-1.51|有色金属|
|600366.SH|宁波韵升|600366|-1.52|有色金属|
|688190.SH|云路股份|688190|-1.56|有色金属|
|002340.SZ|格林美|002340|-1.58|电力设备|
|601702.SH|华峰铝业|601702|-1.62|有色金属|
|688231.SH|隆达股份|688231|-1.62|有色金属|
|688102.SH|斯瑞新材|688102|-1.72|有色金属|
