vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万机械设备行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 695 个符合条件标的，以下列出前 500 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|688367.SH|工大高科|688367|12.74|机械设备|
|600967.SH|内蒙一机|600967|9.99|国防军工|
|002514.SZ|*ST宝馨|002514|9.54|机械设备|
|001319.SZ|铭科精技|001319|7.69|汽车|
|688835.SH|高凯技术|688835|6.86|机械设备|
|300410.SZ|正业科技|300410|6.79|电力设备|
|301053.SZ|远信工业|301053|6.73|机械设备|
|300862.SZ|蓝盾光电|300862|5.76|机械设备|
|002487.SZ|大金重工|002487|5.25|电力设备|
|300486.SZ|东杰智能|300486|4.64|机械设备|
|688813.SH|泰金新能|688813|4.59|机械设备|
|300099.SZ|尤洛卡|300099|4.06|机械设备|
|301013.SZ|利和兴|301013|3.69|机械设备|
|002613.SZ|北玻股份|002613|3.68|建筑材料|
|603486.SH|科沃斯|603486|3.15|家用电器|
|002510.SZ|天汽模|002510|2.96|汽车|
|300667.SZ|必创科技|300667|2.94|机械设备|
|301158.SZ|德石股份|301158|2.63|机械设备|
|002651.SZ|利君股份|002651|2.44|国防军工|
|300430.SZ|*ST益通|300430|2.42|医药生物|
|300902.SZ|国安达|300902|2.38|机械设备|
|301528.SZ|多浦乐|301528|2.24|机械设备|
|300572.SZ|安车检测|300572|2.21|机械设备|
|002896.SZ|中大力德|002896|2.15|机械设备|
|300443.SZ|金雷股份|300443|2.04|电力设备|
|002026.SZ|山东威达|002026|2.01|机械设备|
|688115.SH|思林杰|688115|2.0|机械设备|
|603638.SH|艾迪精密|603638|1.91|机械设备|
|688583.SH|思看科技|688583|1.52|机械设备|
|300756.SZ|金马游乐|300756|1.5|机械设备|
|600243.SH|*ST海华|600243|1.45|机械设备|
|002334.SZ|英威腾|002334|1.37|机械设备|
|000595.SZ|新能股份|000595|1.28|公用事业|
|300179.SZ|四方达|300179|1.1|机械设备|
|688808.SH|联讯仪器|688808|0.98|机械设备|
|300095.SZ|华伍股份|300095|0.92|机械设备|
|688789.SH|宏华数科|688789|0.91|机械设备|
|301056.SZ|森赫股份|301056|0.9|机械设备|
|603666.SH|亿嘉和|603666|0.85|机械设备|
|603956.SH|威派格|603956|0.79|机械设备|
|002490.SZ|山东墨龙|002490|0.78|机械设备|
|600710.SH|苏美达|600710|0.78|商贸零售|
|002972.SZ|科安达|002972|0.76|机械设备|
|600545.SH|卓郎智能|600545|0.72|机械设备|
|300629.SZ|新劲刚|300629|0.71|国防军工|
|300397.SZ|天和防务|300397|0.63|国防军工|
|600817.SH|宇通重工|600817|0.52|环保|
|300464.SZ|星徽股份|300464|0.5|商贸零售|
|601766.SH|中国中车|601766|0.49|机械设备|
|300385.SZ|ST雪浪|300385|0.45|环保|
|300411.SZ|金盾股份|300411|0.45|机械设备|
|000519.SZ|中兵红箭|000519|0.43|国防军工|
|002175.SZ|*ST东智|002175|0.39|机械设备|
