vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万汽车行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 330 个符合条件标的，以下列出前 330 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|605088.SH|冠盛股份|605088|9.98|汽车|
|000980.SZ|众泰汽车|000980|9.84|汽车|
|603377.SH|ST东时|603377|8.09|社会服务|
|001319.SZ|铭科精技|001319|7.69|汽车|
|002265.SZ|建设工业|002265|5.78|汽车|
|301539.SZ|宏鑫科技|301539|5.16|汽车|
|600104.SH|上汽集团|600104|5.11|汽车|
|300237.SZ|ST美晨|300237|4.64|汽车|
|603390.SH|通达电气|603390|3.95|汽车|
|300473.SZ|德尔股份|300473|3.78|汽车|
|301007.SZ|德迈仕|301007|3.52|汽车|
|603376.SH|大明电子|603376|3.52|汽车|
|605319.SH|无锡振华|605319|3.27|汽车|
|002510.SZ|天汽模|002510|2.96|汽车|
|000903.SZ|ST云动|000903|2.84|汽车|
|600818.SH|ST中路|600818|2.66|汽车|
|600698.SH|湖南天雁|600698|2.55|汽车|
|600676.SH|久事动娱|600676|2.09|汽车|
|301607.SZ|富特科技|301607|1.69|汽车|
|688612.SH|威迈斯|688612|1.25|汽车|
|600178.SH|东安动力|600178|1.01|汽车|
|603129.SH|春风动力|603129|0.8|汽车|
|002594.SZ|比亚迪|002594|0.57|汽车|
|002516.SZ|旷达科技|002516|0.35|汽车|
|300694.SZ|蠡湖股份|300694|0.29|汽车|
|603352.SH|至信股份|603352|0.28|汽车|
|002190.SZ|成飞集成|002190|0.27|汽车|
|600523.SH|贵航股份|600523|0.25|汽车|
|002708.SZ|光洋股份|002708|0.0|汽车|
|002602.SZ|世纪华通|002602|0.0|传媒|
|000550.SZ|江铃汽车|000550|-0.06|汽车|
|300304.SZ|云意电气|300304|-0.09|汽车|
|600081.SH|东风科技|600081|-0.1|汽车|
|002283.SZ|天润工业|002283|-0.13|汽车|
|002806.SZ|华锋股份|002806|-0.14|汽车|
|603917.SH|合力科技|603917|-0.15|汽车|
|301345.SZ|涛涛车业|301345|-0.3|汽车|
|603528.SH|多伦科技|603528|-0.31|计算机|
|300547.SZ|川环科技|300547|-0.31|汽车|
|600480.SH|凌云股份|600480|-0.37|汽车|
|001380.SZ|华纬科技|001380|-0.38|汽车|
|002355.SZ|兴民智通|002355|-0.42|汽车|
|603089.SH|正裕工业|603089|-0.42|汽车|
|002997.SZ|瑞鹄模具|002997|-0.48|汽车|
|600660.SH|福耀玻璃|600660|-0.53|汽车|
|600182.SH|S佳通|600182|-0.54|汽车|
|603776.SH|永安行|603776|-0.56|汽车|
|601633.SH|长城汽车|601633|-0.62|汽车|
|601965.SH|中国汽研|601965|-0.66|汽车|
|603766.SH|隆鑫通用|603766|-0.7|汽车|
|002766.SZ|索菱股份|002766|-0.73|汽车|
|002536.SZ|飞龙股份|002536|-0.76|汽车|
|300611.SZ|美力科技|300611|-0.79|汽车|
|000625.SZ|长安汽车|000625|-0.84|汽车|
|600805.SH|悦达投资|600805|-0.87|综合|
|603701.SH|德宏股份|603701|-0.91|汽车|
|603596.SH|伯特利|603596|-0.91|汽车|
|601966.SH|玲珑轮胎|601966|-0.93|汽车|
|301233.SZ|盛帮股份|301233|-0.94|汽车|
|600877.SH|电科芯片|600877|-0.94|电子|
|600006.SH|东风股份|600006|-0.95|汽车|
|603023.SH|威帝股份|603023|-0.97|汽车|
|601238.SH|广汽集团|601238|-0.97|汽车|
|000800.SZ|一汽解放|000800|-0.99|汽车|
|601777.SH|千里科技|601777|-1.0|汽车|
|600960.SH|渤海汽车|600960|-1.01|汽车|
|000581.SZ|威孚高科|000581|-1.04|汽车|
|601311.SH|骆驼股份|601311|-1.06|电力设备|
|301020.SZ|密封科技|301020|-1.1|汽车|
|002284.SZ|亚太股份|002284|-1.12|汽车|
|000589.SZ|贵州轮胎|000589|-1.14|汽车|
|002725.SZ|跃岭股份|002725|-1.15|汽车|
|601279.SH|英利汽车|601279|-1.17|汽车|
|002085.SZ|万丰奥威|002085|-1.17|汽车|
|000901.SZ|航天科技|000901|-1.17|汽车|
|600715.SH|文投控股|600715|-1.18|传媒|
|601163.SH|三角轮胎|601163|-1.2|汽车|
|000913.SZ|钱江摩托|000913|-1.28|汽车|
|000951.SZ|中国重汽|000951|-1.29|汽车|
|600822.SH|上海物贸|600822|-1.3|汽车|
|605018.SH|长华集团|605018|-1.32|汽车|
|002625.SZ|光启技术|002625|-1.32|国防军工|
|600741.SH|华域汽车|600741|-1.36|汽车|
|300978.SZ|东箭科技|300978|-1.38|汽车|
|603201.SH|常润股份|603201|-1.38|汽车|
|301581.SZ|黄山谷捷|301581|-1.39|汽车|
|601799.SH|星宇股份|601799|-1.44|汽车|
|002758.SZ|浙农股份|002758|-1.45|基础化工|
|002590.SZ|万安科技|002590|-1.46|汽车|
|603788.SH|宁波高发|603788|-1.47|汽车|
|601127.SH|赛力斯|601127|-1.47|汽车|
|600482.SH|中国动力|600482|-1.47|电力设备|
|002703.SZ|浙江世宝|002703|-1.48|汽车|
|605005.SH|合兴股份|605005|-1.48|汽车|
|000030.SZ|富奥股份|000030|-1.49|汽车|
|603418.SH|友升股份|603418|-1.5|汽车|
|603809.SH|豪能股份|603809|-1.51|汽车|
|001260.SZ|坤泰股份|001260|-1.53|汽车|
|603085.SH|天成自控|603085|-1.53|汽车|
|002765.SZ|蓝黛科技|002765|-1.54|汽车|
|300863.SZ|卡倍亿|300863|-1.54|汽车|
|300745.SZ|欣锐科技|300745|-1.57|汽车|
|300507.SZ|苏奥传感|300507|-1.58|汽车|
|603007.SH|顺景科技|603007|-1.63|汽车|
|605228.SH|神通科技|605228|-1.63|汽车|
|301133.SZ|金钟股份|301133|-1.64|汽车|
|000678.SZ|襄阳轴承|000678|-1.65|汽车|
|600066.SH|宇通客车|600066|-1.66|汽车|
|600386.SH|北巴传媒|600386|-1.66|汽车|
|603211.SH|晋拓股份|603211|-1.68|汽车|
|600933.SH|爱柯迪|600933|-1.69|汽车|
|002611.SZ|东方精工|002611|-1.69|机械设备|
|301215.SZ|中汽股份|301215|-1.69|汽车|
|600653.SH|申华控股|600653|-1.7|汽车|
|600099.SH|林海股份|600099|-1.71|汽车|
|301499.SZ|维科精密|301499|-1.73|汽车|
|603586.SH|金麒麟|603586|-1.74|汽车|
|300446.SZ|航天智造|300446|-1.75|汽车|
|601500.SH|通用股份|601500|-1.76|汽车|
|603107.SH|上海汽配|603107|-1.76|汽车|
|300733.SZ|西菱动力|300733|-1.78|汽车|
|000559.SZ|万向钱潮|000559|-1.79|汽车|
|603037.SH|凯众股份|603037|-1.81|汽车|
|301656.SZ|联合动力|301656|-1.82|汽车|
|002101.SZ|广东鸿图|002101|-1.83|汽车|
|301667.SZ|纳百川|301667|-1.83|汽车|
|002863.SZ|今飞凯达|002863|-1.85|汽车|
|000338.SZ|潍柴动力|000338|-1.86|汽车|
|600651.SH|飞乐音响|600651|-1.86|汽车|
|603166.SH|福达股份|603166|-1.87|汽车|
|688737.SH|中自科技|688737|-1.88|汽车|
|600686.SH|金龙汽车|600686|-1.9|汽车|
|002363.SZ|隆基机械|002363|-1.9|汽车|
|001365.SZ|天海电子|001365|-1.92|汽车|
|002126.SZ|银轮股份|002126|-1.95|汽车|
|002406.SZ|远东传动|002406|-1.95|汽车|
|000927.SZ|中国铁物|000927|-1.96|机械设备|
|600679.SH|上海凤凰|600679|-1.96|汽车|
|000710.SZ|贝瑞基因|000710|-1.98|医药生物|
|605128.SH|上海沿浦|605128|-1.98|汽车|
|601058.SH|赛轮轮胎|601058|-1.99|汽车|
|603960.SH|克来机电|603960|-2.0|汽车|
|603013.SH|亚普股份|603013|-2.01|汽车|
|603305.SH|旭升集团|603305|-2.01|汽车|
|300643.SZ|万通智控|300643|-2.02|汽车|
|603767.SH|中马传动|603767|-2.06|汽车|
|600166.SH|福田汽车|600166|-2.08|汽车|
|000757.SZ|浩物股份|000757|-2.08|汽车|
|600609.SH|金杯汽车|600609|-2.08|汽车|
|000570.SZ|苏常柴A|000570|-2.08|汽车|
|300428.SZ|立中集团|300428|-2.09|汽车|
|600148.SH|长春一东|600148|-2.09|汽车|
|603982.SH|泉峰汽车|603982|-2.09|汽车|
|002105.SZ|信隆健康|002105|-2.1|汽车|
|000701.SZ|厦门信达|000701|-2.1|商贸零售|
|002906.SZ|华阳集团|002906|-2.11|汽车|
|001311.SZ|多利科技|001311|-2.12|汽车|
|603197.SH|保隆科技|603197|-2.13|汽车|
|603655.SH|朗博科技|603655|-2.14|汽车|
|002593.SZ|日上集团|002593|-2.14|建筑装饰|
|002662.SZ|峰璟股份|002662|-2.15|汽车|
|301031.SZ|中熔电气|301031|-2.15|电子|
|301173.SZ|毓恬冠佳|301173|-2.15|汽车|
|688533.SH|上声电子|688533|-2.15|汽车|
|603786.SH|科博达|603786|-2.16|汽车|
|300375.SZ|鹏翎股份|300375|-2.16|汽车|
|002454.SZ|松芝股份|002454|-2.18|汽车|
|600626.SH|申达股份|600626|-2.18|汽车|
|603048.SH|浙江黎明|603048|-2.2|汽车|
|000868.SZ|安凯客车|000868|-2.2|汽车|
|003033.SZ|征和工业|003033|-2.2|汽车|
|300695.SZ|兆丰股份|300695|-2.22|汽车|
|000572.SZ|海马汽车|000572|-2.23|汽车|
|300680.SZ|隆盛科技|300680|-2.23|汽车|
|301000.SZ|肇民科技|301000|-2.23|汽车|
|000981.SZ|山子高科|000981|-2.26|汽车|
|001278.SZ|一彬科技|001278|-2.27|汽车|
|600335.SH|国机汽车|600335|-2.29|汽车|
|002965.SZ|祥鑫科技|002965|-2.3|汽车|
|000599.SZ|青岛双星|000599|-2.31|汽车|
|603009.SH|北特科技|603009|-2.31|汽车|
|603239.SH|浙江仙通|603239|-2.32|汽车|
|688280.SH|精进电动|688280|-2.35|汽车|
|300100.SZ|双林股份|300100|-2.35|汽车|
|002239.SZ|奥特佳|002239|-2.36|汽车|
|301186.SZ|超达装备|301186|-2.39|汽车|
|603158.SH|腾龙股份|603158|-2.43|汽车|
|605151.SH|西上海|605151|-2.43|汽车|
|603210.SH|泰鸿万立|603210|-2.44|汽车|
|301613.SZ|新铝时代|301613|-2.44|汽车|
|002984.SZ|森麒麟|002984|-2.47|汽车|
|301072.SZ|中捷精工|301072|-2.5|汽车|
|001696.SZ|宗申动力|001696|-2.5|机械设备|
|300580.SZ|贝斯特|300580|-2.5|汽车|
|603266.SH|天龙股份|603266|-2.5|汽车|
|600151.SH|航天机电|600151|-2.5|汽车|
|001285.SZ|瑞立科密|001285|-2.53|汽车|
|300969.SZ|恒帅股份|300969|-2.55|汽车|
|603202.SH|天有为|603202|-2.59|汽车|
|603409.SH|汇通控股|603409|-2.59|汽车|
|603758.SH|秦安股份|603758|-2.59|汽车|
|000025.SZ|特力A|000025|-2.59|综合|
|601717.SH|中创智领|601717|-2.63|机械设备|
|603949.SH|雪龙集团|603949|-2.64|汽车|
|603529.SH|爱玛科技|603529|-2.65|汽车|
|301398.SZ|星源卓镁|301398|-2.67|汽车|
|000957.SZ|中通客车|000957|-2.68|汽车|
|002555.SZ|三七互娱|002555|-2.7|传媒|
|600742.SH|富维股份|600742|-2.71|汽车|
|002937.SZ|兴瑞科技|002937|-2.74|汽车|
|600418.SH|江淮汽车|600418|-2.74|汽车|
|601689.SH|拓普集团|601689|-2.75|汽车|
|301535.SZ|浙江华远|301535|-2.78|汽车|
|605068.SH|明新旭腾|605068|-2.8|汽车|
|002921.SZ|联诚精密|002921|-2.8|汽车|
|603950.SH|长源东谷|603950|-2.8|汽车|
|600218.SH|全柴动力|600218|-2.81|汽车|
|603035.SH|常熟汽饰|603035|-2.82|汽车|
|001233.SZ|海安集团|001233|-2.83|汽车|
|603335.SH|迪生力|603335|-2.83|汽车|
|002813.SZ|路畅科技|002813|-2.83|汽车|
|301552.SZ|科力装备|301552|-2.83|汽车|
|600375.SH|汉马科技|600375|-2.84|汽车|
|603190.SH|亚通精工|603190|-2.86|汽车|
|300176.SZ|鸿特科技|300176|-2.88|汽车|
|301655.SZ|绿控传动|301655|-2.88|汽车|
|603006.SH|联明股份|603006|-2.89|汽车|
|603121.SH|华培动力|603121|-2.89|汽车|
|002664.SZ|信质集团|002664|-2.89|汽车|
|002931.SZ|锋龙股份|002931|-2.9|机械设备|
|002537.SZ|海联金汇|002537|-2.92|汽车|
|603119.SH|浙江荣泰|603119|-2.94|汽车|
|603049.SH|中策橡胶|603049|-2.94|汽车|
|002213.SZ|大为股份|002213|-2.95|电子|
|603468.SH|津富士达|603468|-2.97|汽车|
|300432.SZ|富临精工|300432|-2.97|电力设备|
|603109.SH|神驰机电|603109|-3.0|汽车|
|002553.SZ|南方精工|002553|-3.02|汽车|
|600841.SH|动力新科|600841|-3.03|汽车|
|002682.SZ|龙洲股份|002682|-3.04|交通运输|
|688021.SH|奥福科技|688021|-3.06|汽车|
|301005.SZ|超捷股份|301005|-3.06|汽车|
|603787.SH|新日股份|603787|-3.11|汽车|
|600733.SH|北汽蓝谷|600733|-3.12|汽车|
|603319.SH|美湖股份|603319|-3.12|汽车|
|688667.SH|菱电电控|688667|-3.14|汽车|
|002865.SZ|钧达股份|002865|-3.14|电力设备|
|603768.SH|常青股份|603768|-3.16|汽车|
|600699.SH|均胜电子|600699|-3.18|汽车|
|301022.SZ|海泰科|301022|-3.19|汽车|
|300926.SZ|博俊科技|300926|-3.19|汽车|
|300825.SZ|阿尔特|300825|-3.21|汽车|
|603306.SH|华懋科技|603306|-3.22|汽车|
|301170.SZ|锡南科技|301170|-3.25|汽车|
|000753.SZ|漳州发展|000753|-3.26|综合|
|301039.SZ|中集车辆|301039|-3.26|汽车|
|603179.SH|新泉股份|603179|-3.3|汽车|
|605333.SH|沪光股份|605333|-3.32|汽车|
|002434.SZ|万里扬|002434|-3.34|汽车|
|002547.SZ|*ST春兴|002547|-3.35|汽车|
|600469.SH|风神股份|600469|-3.38|汽车|
|300681.SZ|英搏尔|300681|-3.38|汽车|
|301631.SZ|壹连科技|301631|-3.39|汽车|
|603926.SH|铁流股份|603926|-3.4|汽车|
|002715.SZ|登云股份|002715|-3.41|汽车|
|002048.SZ|宁波华翔|002048|-3.42|汽车|
|300998.SZ|宁波方正|300998|-3.42|汽车|
|002328.SZ|新朋股份|002328|-3.43|汽车|
|002607.SZ|中公教育|002607|-3.43|社会服务|
|603348.SH|文灿股份|603348|-3.44|汽车|
|001282.SZ|三联锻造|001282|-3.44|汽车|
|301310.SZ|鑫宏业|301310|-3.47|汽车|
|300707.SZ|威唐工业|300707|-3.48|汽车|
|000880.SZ|潍柴重机|000880|-3.51|机械设备|
|603997.SH|继峰股份|603997|-3.52|汽车|
|603040.SH|新坐标|603040|-3.54|汽车|
|603161.SH|科华控股|603161|-3.54|汽车|
|301298.SZ|东利机械|301298|-3.56|汽车|
|000816.SZ|智慧农业|000816|-3.57|汽车|
|300816.SZ|艾可蓝|300816|-3.59|汽车|
|301550.SZ|斯菱智驱|301550|-3.64|汽车|
|301488.SZ|豪恩汽电|301488|-3.68|汽车|
|300652.SZ|雷迪克|300652|-3.69|汽车|
|002592.SZ|ST八菱|002592|-3.85|汽车|
|600327.SH|大东方|600327|-3.86|商贸零售|
|603358.SH|华达科技|603358|-3.86|汽车|
|300994.SZ|久祺股份|300994|-3.88|汽车|
|301192.SZ|泰祥股份|301192|-3.95|汽车|
|301529.SZ|福赛科技|301529|-3.95|汽车|
|603922.SH|ST金鸿顺|603922|-4.03|汽车|
|002448.SZ|中原内配|002448|-4.08|汽车|
|301560.SZ|众捷股份|301560|-4.1|汽车|
|603730.SH|岱美股份|603730|-4.12|汽车|
|300585.SZ|奥联电子|300585|-4.14|汽车|
|301181.SZ|标榜股份|301181|-4.17|汽车|
|000700.SZ|模塑科技|000700|-4.18|汽车|
|300258.SZ|精锻科技|300258|-4.19|汽车|
|301680.SZ|固德电材|301680|-4.28|汽车|
|300912.SZ|凯龙高科|300912|-4.33|汽车|
|300928.SZ|华安鑫创|300928|-4.34|汽车|
