vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万电力设备行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 418 个符合条件标的，以下列出前 418 条
|证券代码|证券简称|证券编码|所属申万行业名称<[等级]:一级>|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|
|---|---|---|---|---|
|002560.SZ|通达股份|002560|电力设备|10.08|
|600207.SH|安彩高科|600207|电力设备|10.02|
|300410.SZ|正业科技|300410|电力设备|6.79|
|920117.BJ|龙鑫智能|920117|电力设备|5.75|
|600468.SH|百利电气|600468|电力设备|5.56|
|002487.SZ|大金重工|002487|电力设备|5.25|
|600869.SH|远东股份|600869|电力设备|5.19|
|300068.SZ|ST南都|300068|电力设备|5.08|
|301456.SZ|盘古智能|301456|电力设备|4.73|
|002531.SZ|天顺风能|002531|电力设备|4.49|
|301155.SZ|海力风电|301155|电力设备|4.07|
|300427.SZ|红相股份|300427|电力设备|3.95|
|601218.SH|吉鑫科技|601218|电力设备|3.67|
|603618.SH|杭电股份|603618|电力设备|3.59|
|300207.SZ|欣旺达|300207|电力设备|3.36|
|603606.SH|东方电缆|603606|电力设备|3.36|
|300477.SZ|ST合纵|300477|电力设备|3.33|
|300569.SZ|天能重工|300569|电力设备|3.33|
|000720.SZ|新能泰山|000720|电力设备|3.11|
|301609.SZ|山大电力|301609|电力设备|3.07|
|605117.SH|德业股份|605117|电力设备|2.88|
|600973.SH|宝胜股份|600973|电力设备|2.76|
|603398.SH|*ST沐邦|603398|电力设备|2.62|
|300037.SZ|新宙邦|300037|电力设备|2.57|
|002202.SZ|金风科技|002202|电力设备|2.54|
|002498.SZ|汉缆股份|002498|电力设备|2.34|
|920770.BJ|艾能聚|920770|电力设备|2.11|
|688155.SH|先惠技术|688155|电力设备|2.11|
|300443.SZ|金雷股份|300443|电力设备|2.04|
|300265.SZ|通光线缆|300265|电力设备|1.92|
|300129.SZ|泰胜风能|300129|电力设备|1.47|
|301439.SZ|泓淋电力|301439|电力设备|1.34|
|300051.SZ|琏升科技|300051|电力设备|1.29|
|300283.SZ|温州宏丰|300283|电力设备|1.15|
|002300.SZ|太阳电缆|002300|电力设备|1.12|
|002706.SZ|良信股份|002706|电力设备|1.12|
|601700.SH|风范股份|601700|电力设备|1.09|
|001388.SZ|信通电子|001388|电力设备|0.97|
|603218.SH|日月股份|603218|电力设备|0.97|
|301179.SZ|泽宇智能|301179|电力设备|0.95|
|688006.SH|杭可科技|688006|电力设备|0.7|
|000533.SZ|顺钠股份|000533|电力设备|0.69|
|002850.SZ|科达利|002850|电力设备|0.62|
|300850.SZ|新强联|300850|电力设备|0.6|
|300772.SZ|运达股份|300772|电力设备|0.43|
|002346.SZ|柘中股份|002346|电力设备|0.28|
|002366.SZ|融发核电|002366|电力设备|0.17|
|002441.SZ|众业达|002441|电力设备|0.12|
|600590.SH|泰豪科技|600590|电力设备|0.11|
|603333.SH|福华尚纬|603333|电力设备|0.11|
|300141.SZ|和顺电气|300141|电力设备|0.1|
|300062.SZ|中能电气|300062|电力设备|0.0|
|002309.SZ|中利集团|002309|电力设备|0.0|
|920289.BJ|华汇智能|920289|电力设备|0.0|
|300316.SZ|晶盛机电|300316|电力设备|-0.12|
|603728.SH|鸣志电器|603728|电力设备|-0.15|
|002056.SZ|横店东磁|002056|电力设备|-0.15|
|002358.SZ|森源电气|002358|电力设备|-0.18|
|603507.SH|振江股份|603507|电力设备|-0.18|
|601615.SH|明阳智能|601615|电力设备|-0.21|
|300080.SZ|易成新能|300080|电力设备|-0.26|
