vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万电子行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 617 个符合条件标的，以下列出前 500 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|688260.SH|昀冢科技|688260|18.68|电子|
|603386.SH|骏亚科技|603386|10.03|电子|
|002815.SZ|崇达技术|002815|10.03|电子|
|600207.SH|安彩高科|600207|10.02|电力设备|
|600237.SH|铜峰电子|600237|10.02|电子|
|002902.SZ|铭普光磁|002902|10.02|通信|
|603936.SH|博敏电子|603936|10.01|电子|
|605058.SH|澳弘电子|605058|10.01|电子|
|000636.SZ|风华高科|000636|10.0|电子|
|605258.SH|协和电子|605258|10.0|电子|
|000823.SZ|超声电子|000823|10.0|电子|
|001232.SZ|嘉立创|001232|10.0|电子|
|002161.SZ|远望谷|002161|9.99|电子|
|300183.SZ|东软载波|300183|9.2|通信|
|300991.SZ|创益通|300991|8.0|电子|
|002636.SZ|金安国纪|002636|7.86|电子|
|301176.SZ|逸豪新材|301176|7.28|电子|
|300410.SZ|正业科技|300410|6.79|电力设备|
|688655.SH|迅捷兴|688655|6.75|电子|
|603328.SH|依顿电子|603328|6.59|电子|
|300739.SZ|明阳电路|300739|6.31|电子|
|000070.SZ|特发信息|000070|6.06|通信|
|603678.SH|火炬电子|603678|6.04|国防军工|
|603679.SH|华体科技|603679|6.0|电子|
|300408.SZ|三环集团|300408|5.66|电子|
|688519.SH|南亚新材|688519|5.65|电子|
|301566.SZ|达利凯普|301566|5.56|电子|
|688020.SH|方邦股份|688020|5.51|电子|
|603267.SH|鸿远电子|603267|5.31|国防军工|
|300319.SZ|麦捷科技|300319|5.3|电子|
|688279.SH|峰岹科技|688279|5.27|电子|
|688593.SH|新相微|688593|5.19|电子|
|605277.SH|新亚电子|605277|4.97|电子|
|301183.SZ|东田微|301183|4.93|电子|
|603186.SH|华正新材|603186|4.47|电子|
|002130.SZ|沃尔核材|002130|4.43|电子|
|002859.SZ|洁美科技|002859|4.22|电子|
|603989.SH|艾华集团|603989|4.2|电子|
|688820.SH|盛合晶微|688820|4.18|电子|
|300285.SZ|国瓷材料|300285|4.01|电子|
|603002.SH|宏昌电子|603002|3.87|电子|
|002134.SZ|天津普林|002134|3.66|电子|
|301458.SZ|钧崴电子|301458|3.43|电子|
|300207.SZ|欣旺达|300207|3.36|电力设备|
|002139.SZ|拓邦股份|002139|3.34|电子|
|600360.SH|华微电子|600360|3.33|电子|
|002106.SZ|莱宝高科|002106|3.24|电子|
|000722.SZ|湖南发展|000722|3.19|公用事业|
|300852.SZ|四会富仕|300852|3.1|电子|
|603920.SH|世运电路|603920|3.03|电子|
|300502.SZ|新易盛|300502|2.94|通信|
|301041.SZ|金百泽|301041|2.77|电子|
|300684.SZ|中石科技|300684|2.75|电子|
|300939.SZ|秋田微|300939|2.51|电子|
|002138.SZ|顺络电子|002138|2.49|电子|
|688216.SH|气派科技|688216|2.43|电子|
|300903.SZ|科翔股份|300903|2.37|电子|
|603115.SH|海星股份|603115|2.34|电子|
|300460.SZ|ST惠伦|300460|2.31|电子|
|603685.SH|晨丰科技|603685|2.26|电子|
|603296.SH|华勤技术|603296|2.17|电子|
|002913.SZ|奥士康|002913|2.11|电子|
|002579.SZ|中京电子|002579|2.09|电子|
|002600.SZ|领益智造|002600|2.02|电子|
|000670.SZ|盈方微|000670|1.94|电子|
|002925.SZ|盈趣科技|002925|1.82|电子|
|002189.SZ|中光学|002189|1.77|国防军工|
|603459.SH|红板科技|603459|1.77|电子|
|300726.SZ|宏达电子|300726|1.76|国防军工|
|600198.SH|大唐电信|600198|1.75|通信|
|002475.SZ|立讯精密|002475|1.73|电子|
|688325.SH|赛微微电|688325|1.71|电子|
|000733.SZ|振华科技|000733|1.64|国防军工|
|603228.SH|景旺电子|603228|1.58|电子|
|688135.SH|利扬芯片|688135|1.56|电子|
|300964.SZ|本川智能|300964|1.55|电子|
|300843.SZ|胜蓝股份|300843|1.47|电子|
|301132.SZ|满坤科技|301132|1.46|电子|
|688538.SH|和辉光电|688538|1.38|电子|
|301366.SZ|一博科技|301366|1.37|电子|
|002389.SZ|航天彩虹|002389|1.32|国防军工|
|002005.SZ|德豪润达|002005|1.28|家用电器|
|688213.SH|思特威|688213|1.24|电子|
|300661.SZ|圣邦股份|300661|1.21|电子|
|002179.SZ|中航光电|002179|1.12|国防军工|
|002916.SZ|深南电路|002916|1.11|电子|
|300752.SZ|隆利科技|300752|1.06|电子|
|600183.SH|生益科技|600183|1.0|电子|
|300317.SZ|珈伟新能|300317|0.92|公用事业|
|002938.SZ|鹏鼎控股|002938|0.87|电子|
|301717.SZ|超纯应材|301717|0.84|电子|
|600563.SH|法拉电子|600563|0.77|电子|
|688036.SH|传音控股|688036|0.76|电子|
|002741.SZ|光华科技|002741|0.76|电子|
|688146.SH|中船特气|688146|0.69|电子|
|002850.SZ|科达利|002850|0.62|电力设备|
|600745.SH|*ST闻泰|600745|0.59|电子|
|688521.SH|芯原股份|688521|0.58|电子|
|001389.SZ|广合科技|001389|0.57|电子|
|600817.SH|宇通重工|600817|0.52|环保|
|688469.SH|芯联集成|688469|0.48|电子|
|002745.SZ|木林森|002745|0.45|电子|
|688683.SH|莱尔科技|688683|0.42|电子|
|002384.SZ|东山精密|002384|0.35|电子|
|002199.SZ|东晶电子|002199|0.33|电子|
|002463.SZ|沪电股份|002463|0.26|电子|
|601138.SH|工业富联|601138|0.25|电子|
|000669.SZ|ST金鸿|000669|0.24|公用事业|
|002962.SZ|五方光电|002962|0.23|电子|
|605118.SH|力鼎光电|605118|0.15|计算机|
|600601.SH|方正科技|600601|0.07|电子|
|300909.SZ|汇创达|300909|0.03|电子|
|002484.SZ|江海股份|002484|0.02|电子|
|000050.SZ|深天马A|000050|0.0|电子|
|002217.SZ|ST合力泰|002217|0.0|电子|
|300936.SZ|中英科技|300936|-0.01|电子|
|603991.SH|领先股份|603991|-0.07|电子|
|002845.SZ|同兴达|002845|-0.07|电子|
|300322.SZ|硕贝德|300322|-0.11|电子|
|002729.SZ|好利科技|002729|-0.15|电子|
|002056.SZ|横店东磁|002056|-0.15|电力设备|
