vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,上交所所有属于申万电子行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 265 个符合条件标的，以下列出前 265 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|688260.SH|昀冢科技|688260|18.68|电子|
|603386.SH|骏亚科技|603386|10.03|电子|
|600207.SH|安彩高科|600207|10.02|电力设备|
|600237.SH|铜峰电子|600237|10.02|电子|
|605058.SH|澳弘电子|605058|10.01|电子|
|603936.SH|博敏电子|603936|10.01|电子|
|605258.SH|协和电子|605258|10.0|电子|
|688655.SH|迅捷兴|688655|6.75|电子|
|603328.SH|依顿电子|603328|6.59|电子|
|603678.SH|火炬电子|603678|6.04|国防军工|
|603679.SH|华体科技|603679|6.0|电子|
|688519.SH|南亚新材|688519|5.65|电子|
|688020.SH|方邦股份|688020|5.51|电子|
|603267.SH|鸿远电子|603267|5.31|国防军工|
|688279.SH|峰岹科技|688279|5.27|电子|
|688593.SH|新相微|688593|5.19|电子|
|605277.SH|新亚电子|605277|4.97|电子|
|603186.SH|华正新材|603186|4.47|电子|
|603989.SH|艾华集团|603989|4.2|电子|
|688820.SH|盛合晶微|688820|4.18|电子|
|603002.SH|宏昌电子|603002|3.87|电子|
|600360.SH|华微电子|600360|3.33|电子|
|603920.SH|世运电路|603920|3.03|电子|
|688216.SH|气派科技|688216|2.43|电子|
|603115.SH|海星股份|603115|2.34|电子|
|603685.SH|晨丰科技|603685|2.26|电子|
|603296.SH|华勤技术|603296|2.17|电子|
|603459.SH|红板科技|603459|1.77|电子|
|600198.SH|大唐电信|600198|1.75|通信|
|688325.SH|赛微微电|688325|1.71|电子|
|603228.SH|景旺电子|603228|1.58|电子|
|688135.SH|利扬芯片|688135|1.56|电子|
|688538.SH|和辉光电|688538|1.38|电子|
|688213.SH|思特威|688213|1.24|电子|
|600183.SH|生益科技|600183|1.0|电子|
|600563.SH|法拉电子|600563|0.77|电子|
|688036.SH|传音控股|688036|0.76|电子|
|688146.SH|中船特气|688146|0.69|电子|
|600745.SH|*ST闻泰|600745|0.59|电子|
|688521.SH|芯原股份|688521|0.58|电子|
|600817.SH|宇通重工|600817|0.52|环保|
|688469.SH|芯联集成|688469|0.48|电子|
|688683.SH|莱尔科技|688683|0.42|电子|
|601138.SH|工业富联|601138|0.25|电子|
|605118.SH|力鼎光电|605118|0.15|计算机|
|600601.SH|方正科技|600601|0.07|电子|
|603991.SH|领先股份|603991|-0.07|电子|
|688012.SH|中微公司|688012|-0.18|电子|
|600071.SH|凤凰光学|600071|-0.24|电子|
|688183.SH|生益电子|688183|-0.25|电子|
|600707.SH|彩虹股份|600707|-0.35|电子|
|688512.SH|慧智微|688512|-0.37|电子|
|688256.SH|寒武纪|688256|-0.37|电子|
|688602.SH|康鹏科技|688602|-0.44|基础化工|
|688699.SH|明微电子|688699|-0.46|电子|
|688220.SH|翱捷科技|688220|-0.47|电子|
|688261.SH|东微半导|688261|-0.5|电子|
|688396.SH|华润微|688396|-0.52|电子|
|688549.SH|中巨芯|688549|-0.54|电子|
|600584.SH|长电科技|600584|-0.56|电子|
|600460.SH|士兰微|600460|-0.56|电子|
|688150.SH|莱特光电|688150|-0.59|电子|
|688709.SH|成都华微|688709|-0.6|电子|
|688041.SH|海光信息|688041|-0.64|电子|
|603160.SH|汇顶科技|603160|-0.75|电子|
|688608.SH|恒玄科技|688608|-0.78|电子|
|688458.SH|美芯晟|688458|-0.82|电子|
|688825.SH|长鑫科技|688825|-0.82|电子|
|688809.SH|强一股份|688809|-0.84|电子|
|600130.SH|波导股份|600130|-0.89|电子|
|688728.SH|格科微|688728|-0.93|电子|
|603633.SH|徕木股份|603633|-0.93|电子|
|600877.SH|电科芯片|600877|-0.94|电子|
|688620.SH|安凯微|688620|-0.95|电子|
|688484.SH|南芯科技|688484|-0.96|电子|
|688802.SH|沐曦股份|688802|-0.97|电子|
|603290.SH|斯达半导|603290|-0.99|电子|
|603703.SH|盛洋科技|603703|-0.99|电子|
|603629.SH|利通电子|603629|-1.03|电子|
|688498.SH|源杰科技|688498|-1.05|电子|
|603175.SH|超颖电子|603175|-1.07|电子|
|688153.SH|唯捷创芯|688153|-1.07|电子|
|688230.SH|芯导科技|688230|-1.09|电子|
|688209.SH|英集芯|688209|-1.13|电子|
|688082.SH|盛美上海|688082|-1.17|电子|
|688107.SH|安路科技|688107|-1.18|电子|
|600552.SH|凯盛科技|600552|-1.19|电子|
|603052.SH|可川科技|603052|-1.21|电子|
|688126.SH|沪硅产业|688126|-1.21|电子|
|603738.SH|泰晶科技|603738|-1.21|电子|
|600171.SH|上海贝岭|600171|-1.22|电子|
|603297.SH|永新光学|603297|-1.28|电子|
|603893.SH|瑞芯微|603893|-1.29|电子|
|688361.SH|中科飞测|688361|-1.33|电子|
|688268.SH|华特气体|688268|-1.35|电子|
|688508.SH|芯朋微|688508|-1.36|电子|
|688652.SH|京仪装备|688652|-1.36|电子|
|688539.SH|高华科技|688539|-1.39|电子|
|603380.SH|易德龙|603380|-1.41|电子|
|688249.SH|晶合集成|688249|-1.44|电子|
|600666.SH|奥瑞德|600666|-1.44|计算机|
|688981.SH|中芯国际|688981|-1.49|电子|
|688099.SH|晶晨股份|688099|-1.49|电子|
|600703.SH|三安光电|600703|-1.51|电子|
|600366.SH|宁波韵升|600366|-1.52|有色金属|
|688322.SH|奥比中光|688322|-1.54|电子|
|603933.SH|睿能科技|603933|-1.54|电子|
|603931.SH|格林达|603931|-1.54|电子|
|603595.SH|ST东尼|603595|-1.55|电子|
|688385.SH|复旦微电|688385|-1.55|电子|
|600288.SH|大恒科技|600288|-1.57|计算机|
|688010.SH|福光股份|688010|-1.59|电子|
|688072.SH|拓荆科技|688072|-1.6|电子|
|688381.SH|帝奥微|688381|-1.61|电子|
|688019.SH|安集科技|688019|-1.61|电子|
|600203.SH|福日电子|600203|-1.65|电子|
|688530.SH|欧莱新材|688530|-1.66|电子|
|688055.SH|龙腾光电|688055|-1.66|电子|
|688380.SH|中微半导|688380|-1.66|电子|
|688018.SH|乐鑫科技|688018|-1.68|电子|
|600602.SH|云赛智联|600602|-1.69|计算机|
|688047.SH|龙芯中科|688047|-1.7|电子|
