vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,申万石油石化和钢铁行业的全部A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 108 个符合条件标的，以下列出前 108 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|002443.SZ|金洲管道|002443|5.73|钢铁|
|002478.SZ|常宝股份|002478|2.56|钢铁|
|000708.SZ|中信特钢|000708|-0.22|钢铁|
|600674.SH|川投能源|600674|-0.37|公用事业|
|000906.SZ|浙商中拓|000906|-0.48|交通运输|
|002318.SZ|久立特材|002318|-0.7|钢铁|
|600282.SH|南钢股份|600282|-1.04|钢铁|
|600516.SH|方大炭素|600516|-1.14|钢铁|
|600894.SH|广日股份|600894|-1.22|机械设备|
|600019.SH|宝钢股份|600019|-1.35|钢铁|
|000898.SZ|鞍钢股份|000898|-1.44|钢铁|
|601555.SH|东吴证券|601555|-1.52|非银金融|
|601995.SH|中金公司|601995|-1.54|非银金融|
|603995.SH|甬金股份|603995|-1.58|钢铁|
|601198.SH|东兴证券|601198|-1.65|非银金融|
|601456.SH|国联民生|601456|-1.69|非银金融|
|601686.SH|友发集团|601686|-1.7|钢铁|
|600010.SH|包钢股份|600010|-1.83|钢铁|
|600581.SH|*ST八钢|600581|-2.02|钢铁|
|601377.SH|兴业证券|601377|-2.18|非银金融|
|601059.SH|信达证券|601059|-2.19|非银金融|
|600022.SH|山东钢铁|600022|-2.22|钢铁|
|600808.SH|马钢股份|600808|-2.28|钢铁|
|002110.SZ|三钢闽光|002110|-2.3|钢铁|
|600784.SH|鲁银投资|600784|-2.32|基础化工|
|000629.SZ|钒钛股份|000629|-2.33|钢铁|
|601211.SH|国泰海通|601211|-2.37|非银金融|
|601005.SH|重庆钢铁|601005|-2.4|钢铁|
|000656.SZ|金科股份|000656|-2.42|房地产|
|600030.SH|中信证券|600030|-2.46|非银金融|
|600295.SH|鄂尔多斯|600295|-2.48|钢铁|
|000825.SZ|太钢不锈|000825|-2.51|钢铁|
|002736.SZ|国信证券|002736|-2.54|非银金融|
|601901.SH|方正证券|601901|-2.58|非银金融|
|000717.SZ|中南股份|000717|-2.61|钢铁|
|601066.SH|中信建投|601066|-2.66|非银金融|
|002500.SZ|山西证券|002500|-2.78|非银金融|
|601878.SH|浙商证券|601878|-2.78|非银金融|
|000709.SZ|河钢股份|000709|-2.8|钢铁|
|600507.SH|方大特钢|600507|-2.81|钢铁|
|600958.SH|东方证券|600958|-2.83|非银金融|
|002939.SZ|长城证券|002939|-2.84|非银金融|
|000728.SZ|国元证券|000728|-2.84|非银金融|
|600782.SH|新钢股份|600782|-2.85|钢铁|
|002673.SZ|西部证券|002673|-2.9|非银金融|
|601881.SH|中国银河|601881|-2.93|非银金融|
|601990.SH|南京证券|601990|-2.94|非银金融|
|002075.SZ|沙钢股份|002075|-2.97|钢铁|
|601788.SH|光大证券|601788|-2.99|非银金融|
|601688.SH|华泰证券|601688|-3.02|非银金融|
|000623.SZ|吉林敖东|000623|-3.02|医药生物|
|600117.SH|西宁特钢|600117|-3.02|钢铁|
|000932.SZ|华菱钢铁|000932|-3.03|钢铁|
|000166.SZ|申万宏源|000166|-3.06|非银金融|
|002797.SZ|第一创业|002797|-3.09|非银金融|
|600733.SH|北汽蓝谷|600733|-3.12|汽车|
|002756.SZ|永兴材料|002756|-3.16|有色金属|
|600369.SH|西南证券|600369|-3.16|非银金融|
|600307.SH|酒钢宏兴|600307|-3.21|钢铁|
|600739.SH|辽宁成大|600739|-3.25|医药生物|
|600126.SH|杭钢股份|600126|-3.28|钢铁|
|600999.SH|招商证券|600999|-3.32|非银金融|
|300881.SZ|盛德鑫泰|300881|-3.33|钢铁|
|600399.SH|抚顺特钢|600399|-3.33|钢铁|
|000778.SZ|新兴铸管|000778|-3.42|钢铁|
|300059.SZ|东方财富|300059|-3.48|非银金融|
|000686.SZ|东北证券|000686|-3.49|非银金融|
|002926.SZ|华西证券|002926|-3.5|非银金融|
|603878.SH|武进不锈|603878|-3.5|钢铁|
|601375.SH|中原证券|601375|-3.63|非银金融|
|000987.SZ|越秀资本|000987|-3.65|非银金融|
|600569.SH|安阳钢铁|600569|-3.66|钢铁|
|601236.SH|红塔证券|601236|-3.68|非银金融|
|600918.SH|中泰证券|600918|-3.68|非银金融|
|000959.SZ|首钢股份|000959|-3.75|钢铁|
|601696.SH|中银证券|601696|-3.75|非银金融|
|000776.SZ|广发证券|000776|-3.78|非银金融|
|600109.SH|国金证券|600109|-3.83|非银金融|
|600231.SH|凌钢股份|600231|-3.87|钢铁|
|000750.SZ|国海证券|000750|-3.92|非银金融|
|600061.SH|国投资本|600061|-3.96|非银金融|
|601003.SH|柳钢股份|601003|-4.11|钢铁|
|600906.SH|财达证券|600906|-4.12|非银金融|
|600909.SH|华安证券|600909|-4.21|非银金融|
|601162.SH|天风证券|601162|-4.24|非银金融|
|601108.SH|财通证券|601108|-4.32|非银金融|
|601099.SH|太平洋|601099|-4.46|非银金融|
|002670.SZ|国盛证券|002670|-4.64|非银金融|
|601136.SH|首创证券|601136|-4.92|非银金融|
|600155.SH|华创云信|600155|-4.94|非银金融|
|600621.SH|华鑫股份|600621|-5.14|非银金融|
|000783.SZ|长江证券|000783|-5.56|非银金融|
|000761.SZ|本钢板材|000761|-5.74|钢铁|
|002945.SZ|华林证券|002945|-5.85|非银金融|
|600095.SH|湘财股份|600095|-6.13|非银金融|
|600714.SH|金瑞矿业|600714|-6.62|基础化工|
|600864.SH|哈投股份|600864|-6.67|非银金融|
|000712.SZ|锦龙股份|000712|-9.5|非银金融|
|600608.SH|退市沪科|600608|-||
|600001.SH|邯郸钢铁|600001|-||
|000569.SZ|长城股份|000569|-||
|600102.SH|莱钢股份|600102|-||
|000562.SZ|宏源证券|000562|-||
|600837.SH|海通证券|600837|-||
|000578.SZ|盐湖集团|000578|-||
|600005.SH|武钢股份|600005|-||
|000961.SZ|ST中南|000961|-||
|600357.SH|承德钒钛|600357|-||",2026-09-13T08:51:50.171888+08:00
