vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万社会服务行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 86 个符合条件标的，以下列出前 86 条
|证券代码|证券简称|证券编码|所属申万行业名称<[等级]:一级>|所属证券类别|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|
|---|---|---|---|---|---|
|603136.SH|天目湖|603136|社会服务|A股|9.98|
|603377.SH|ST东时|603377|社会服务|A股|8.09|
|600706.SH|曲江文旅|600706|社会服务|A股|2.62|
|000978.SZ|桂林旅游|000978|社会服务|A股|1.86|
|300012.SZ|华测检测|300012|社会服务|A股|1.46|
|600880.SH|博瑞传播|600880|社会服务|A股|1.27|
|000610.SZ|*ST西旅|000610|社会服务|A股|0.77|
|920122.BJ|中纺标|920122|社会服务|A股|0.34|
|300688.SZ|创业黑马|300688|社会服务|A股|0.16|
|301228.SZ|实朴检测|301228|社会服务|A股|0.15|
|605098.SH|行动教育|605098|社会服务|A股|-0.27|
|002093.SZ|国脉科技|002093|社会服务|A股|-0.41|
|002306.SZ|ST云网|002306|社会服务|A股|-0.42|
|600661.SH|昂立教育|600661|社会服务|A股|-0.58|
|002967.SZ|广电计量|002967|社会服务|A股|-0.59|
|600158.SH|中体产业|600158|社会服务|A股|-0.69|
|301289.SZ|国缆检测|301289|社会服务|A股|-0.95|
|300938.SZ|信测标准|300938|社会服务|A股|-1.09|
|688334.SH|西高院|688334|社会服务|A股|-1.32|
|300416.SZ|苏试试验|300416|社会服务|A股|-1.56|
|603099.SH|长白山|603099|社会服务|A股|-1.58|
|603373.SH|安邦护卫|603373|社会服务|A股|-1.58|
|300215.SZ|电科院|300215|社会服务|A股|-1.69|
|002858.SZ|力盛体育|002858|社会服务|A股|-1.69|
|920753.BJ|天纺标|920753|社会服务|A股|-1.7|
|003008.SZ|开普检测|003008|社会服务|A股|-1.74|
|000558.SZ|天府文旅|000558|社会服务|A股|-1.75|
|300662.SZ|科锐国际|300662|社会服务|A股|-1.76|
|920160.BJ|北矿检测|920160|社会服务|A股|-1.83|
|002057.SZ|中钢天源|002057|社会服务|A股|-1.93|
|603060.SH|国检集团|603060|社会服务|A股|-1.97|
|300050.SZ|世纪鼎利|300050|社会服务|A股|-1.99|
|600138.SH|中青旅|600138|社会服务|A股|-2.01|
|000526.SZ|学大教育|000526|社会服务|A股|-2.03|
|300962.SZ|中金辐照|300962|社会服务|A股|-2.07|
|600593.SH|大连圣亚|600593|社会服务|A股|-2.1|
|600258.SH|首旅酒店|600258|社会服务|A股|-2.13|
|600861.SH|北京人力|600861|社会服务|A股|-2.14|
|002659.SZ|凯文教育|002659|社会服务|A股|-2.16|
|600826.SH|兰生股份|600826|社会服务|A股|-2.19|
|300887.SZ|谱尼测试|300887|社会服务|A股|-2.23|
|003032.SZ|传智教育|003032|社会服务|A股|-2.3|
|600662.SH|外服控股|600662|社会服务|A股|-2.31|
|002243.SZ|力合科创|002243|社会服务|A股|-2.31|
|300359.SZ|全通教育|300359|社会服务|A股|-2.36|
|920039.BJ|国义招标|920039|社会服务|A股|-2.68|
|301449.SZ|天溯计量|301449|社会服务|A股|-2.73|
|301508.SZ|中机认检|301508|社会服务|A股|-2.74|
|600576.SH|祥源文旅|600576|社会服务|A股|-2.74|
|002159.SZ|三特索道|002159|社会服务|A股|-2.79|
|301632.SZ|广东建科|301632|社会服务|A股|-2.82|
|600730.SH|*ST高科|600730|社会服务|A股|-2.86|
|300860.SZ|锋尚文化|300860|社会服务|A股|-2.89|
|300492.SZ|华图山鼎|300492|社会服务|A股|-2.95|
|600754.SH|锦江酒店|600754|社会服务|A股|-2.99|
|603199.SH|九华旅游|603199|社会服务|A股|-3.0|
|002186.SZ|全聚德|002186|社会服务|A股|-3.01|
|300010.SZ|ST豆神|300010|社会服务|A股|-3.05|
|300795.SZ|米奥会展|300795|社会服务|A股|-3.06|
|300797.SZ|钢研纳克|300797|社会服务|A股|-3.06|
|601007.SH|金陵饭店|601007|社会服务|A股|-3.31|
|600054.SH|黄山旅游|600054|社会服务|A股|-3.32|
|002607.SZ|中公教育|002607|社会服务|A股|-3.43|
|300144.SZ|宋城演艺|300144|社会服务|A股|-3.48|
|301115.SZ|联检科技|301115|社会服务|A股|-3.8|
|688757.SH|胜科纳米|688757|社会服务|A股|-3.87|
|600250.SH|南京商旅|600250|社会服务|A股|-3.88|
|002627.SZ|三峡旅游|002627|社会服务|A股|-3.93|
|000888.SZ|峨眉山A|000888|社会服务|A股|-3.95|
|002707.SZ|众信旅游|002707|社会服务|A股|-4.04|
|301169.SZ|零点有数|301169|社会服务|A股|-4.06|
|605108.SH|同庆楼|605108|社会服务|A股|-4.18|
|000524.SZ|岭南控股|000524|社会服务|A股|-4.18|
|300338.SZ|*ST开元|300338|社会服务|A股|-4.67|
|002033.SZ|丽江股份|002033|社会服务|A股|-5.18|
|300192.SZ|科德教育|300192|社会服务|A股|-5.21|
|000796.SZ|凯撒旅业|000796|社会服务|A股|-5.32|
|600749.SH|西藏旅游|600749|社会服务|A股|-5.34|
|603183.SH|建研院|603183|社会服务|A股|-5.78|
|000721.SZ|西安饮食|000721|社会服务|A股|-5.79|
|000430.SZ|张家界|000430|社会服务|A股|-6.63|
|603402.SH|陕西旅游|603402|社会服务|A股|-7.67|
|301073.SZ|君亭酒店|301073|社会服务|A股|-9.07|
|002059.SZ|云南旅游|002059|社会服务|A股|-9.98|
|000428.SZ|华天酒店|000428|社会服务|A股|-10.08|
|300859.SZ|西域旅游|300859|社会服务|A股|-10.47|",2026-09-13T08:41:47.756815+08:00
