vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,申万纺织服饰和钢铁行业的全部A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 252 个符合条件标的，以下列出前 252 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|002443.SZ|金洲管道|002443|5.73|钢铁|
|603196.SH|璞源材料|603196|2.6|纺织服饰|
|002478.SZ|常宝股份|002478|2.56|钢铁|
|600233.SH|圆通速递|600233|1.42|交通运输|
|300819.SZ|聚杰微纤|300819|0.9|纺织服饰|
|300979.SZ|华利集团|300979|0.8|纺织服饰|
|001390.SZ|古麒绒材|001390|0.72|纺织服饰|
|000813.SZ|德展健康|000813|0.6|医药生物|
|600745.SH|*ST闻泰|600745|0.59|电子|
|002640.SZ|跨境通|002640|0.58|商贸零售|
|002687.SZ|乔治白|002687|0.48|纺织服饰|
|002516.SZ|旷达科技|002516|0.35|汽车|
|600400.SH|红豆股份|600400|0.32|纺织服饰|
|600483.SH|福能股份|600483|0.18|公用事业|
|603558.SH|健盛集团|603558|0.16|纺织服饰|
|002394.SZ|联发股份|002394|0.1|纺织服饰|
|002517.SZ|恺英网络|002517|0.06|传媒|
|603001.SH|奥康国际|603001|0.0|纺织服饰|
|600177.SH|雅戈尔|600177|-0.12|纺织服饰|
|600735.SH|ST新华锦|600735|-0.15|纺织服饰|
|002193.SZ|ST如意|002193|-0.2|纺织服饰|
|000708.SZ|中信特钢|000708|-0.22|钢铁|
|600381.SH|*ST春天|600381|-0.26|食品饮料|
|600851.SH|海欣股份|600851|-0.36|医药生物|
|600674.SH|川投能源|600674|-0.37|公用事业|
|002875.SZ|安奈儿|002875|-0.45|纺织服饰|
|000158.SZ|常山北明|000158|-0.47|计算机|
|000906.SZ|浙商中拓|000906|-0.48|交通运输|
|000890.SZ|法尔胜|000890|-0.59|环保|
|603889.SH|新澳股份|603889|-0.65|纺织服饰|
|600370.SH|*ST三房|600370|-0.67|基础化工|
|603477.SH|巨星农牧|603477|-0.7|农林牧渔|
|002318.SZ|久立特材|002318|-0.7|钢铁|
|002291.SZ|遥望科技|002291|-0.71|传媒|
|002612.SZ|朗姿股份|002612|-0.87|纺织服饰|
|002327.SZ|富安娜|002327|-0.97|纺织服饰|
|002127.SZ|南极电商|002127|-0.99|商贸零售|
|002485.SZ|ST雪发|002485|-1.01|交通运输|
|600282.SH|南钢股份|600282|-1.04|钢铁|
|600757.SH|长江传媒|600757|-1.07|传媒|
|002867.SZ|周大生|002867|-1.13|纺织服饰|
|600516.SH|方大炭素|600516|-1.14|钢铁|
|603055.SH|台华新材|603055|-1.18|纺织服饰|
|000045.SZ|深纺织A|000045|-1.19|电子|
|600673.SH|东阳光|600673|-1.2|综合|
|601599.SH|浙文影业|601599|-1.21|纺织服饰|
|600232.SH|金鹰股份|600232|-1.22|机械设备|
|600894.SH|广日股份|600894|-1.22|机械设备|
|002762.SZ|金发拉比|002762|-1.24|纺织服饰|
|603557.SH|*ST起步|603557|-1.24|纺织服饰|
|600114.SH|东睦股份|600114|-1.31|机械设备|
|600019.SH|宝钢股份|600019|-1.35|钢铁|
|605189.SH|富春染织|605189|-1.38|纺织服饰|
|605158.SH|华达新材|605158|-1.38|有色金属|
|001323.SZ|慕思股份|001323|-1.4|轻工制造|
|000898.SZ|鞍钢股份|000898|-1.44|钢铁|
|002486.SZ|嘉麟杰|002486|-1.44|纺织服饰|
|600510.SH|黑牡丹|600510|-1.48|房地产|
|000726.SZ|鲁泰A|000726|-1.53|纺织服饰|
|000902.SZ|新洋丰|000902|-1.53|基础化工|
|001312.SZ|福恩股份|001312|-1.57|纺织服饰|
|603995.SH|甬金股份|603995|-1.58|钢铁|
|688186.SH|广大特材|688186|-1.66|电力设备|
|600992.SH|贵绳股份|600992|-1.67|机械设备|
|000850.SZ|华茂股份|000850|-1.68|纺织服饰|
|002674.SZ|兴业科技|002674|-1.69|纺织服饰|
|601686.SH|友发集团|601686|-1.7|钢铁|
|603130.SH|云中马|603130|-1.7|纺织服饰|
|300577.SZ|开润股份|300577|-1.8|纺织服饰|
|603307.SH|扬州金泉|603307|-1.82|纺织服饰|
|600010.SH|包钢股份|600010|-1.83|钢铁|
|600630.SH|龙头股份|600630|-1.83|纺织服饰|
|002293.SZ|罗莱生活|002293|-1.83|纺织服饰|
|605003.SH|众望布艺|605003|-1.86|纺织服饰|
|002722.SZ|物产金轮|002722|-1.9|机械设备|
|300918.SZ|南山智尚|300918|-1.91|纺织服饰|
|002563.SZ|森马服饰|002563|-1.92|纺织服饰|
|002569.SZ|*ST步森|002569|-1.94|纺织服饰|
|000055.SZ|方大集团|000055|-1.94|建筑材料|
|002083.SZ|孚日股份|002083|-1.95|纺织服饰|
|002154.SZ|报喜鸟|002154|-1.96|纺织服饰|
|002036.SZ|联创电子|002036|-2.01|电子|
|600581.SH|*ST八钢|600581|-2.02|钢铁|
|000036.SZ|华联控股|000036|-2.04|房地产|
|002656.SZ|摩登大道|002656|-2.07|纺织服饰|
|600156.SH|华升股份|600156|-2.08|纺织服饰|
|000936.SZ|华西股份|000936|-2.16|基础化工|
|002044.SZ|美年健康|002044|-2.16|医药生物|
|603365.SH|水星家纺|603365|-2.18|纺织服饰|
|600626.SH|申达股份|600626|-2.18|汽车|
|600022.SH|山东钢铁|600022|-2.22|钢铁|
|600558.SH|大西洋|600558|-2.26|机械设备|
|002034.SZ|旺能环境|002034|-2.27|环保|
|000809.SZ|和展能源|000809|-2.27|电力设备|
|600808.SH|马钢股份|600808|-2.28|钢铁|
|600689.SH|上海三毛|600689|-2.29|综合|
|600448.SH|华纺股份|600448|-2.3|纺织服饰|
|002110.SZ|三钢闽光|002110|-2.3|钢铁|
|002132.SZ|恒星科技|002132|-2.3|机械设备|
|603808.SH|歌力思|603808|-2.31|纺织服饰|
|600784.SH|鲁银投资|600784|-2.32|基础化工|
|600987.SH|航民股份|600987|-2.32|纺织服饰|
|000629.SZ|钒钛股份|000629|-2.33|钢铁|
|002239.SZ|奥特佳|002239|-2.36|汽车|
|600824.SH|益民集团|600824|-2.37|商贸零售|
|000518.SZ|四环生物|000518|-2.37|医药生物|
|002832.SZ|比音勒芬|002832|-2.38|纺织服饰|
|601005.SH|重庆钢铁|601005|-2.4|钢铁|
|603116.SH|红蜻蜓|603116|-2.4|纺织服饰|
|002003.SZ|伟星股份|002003|-2.42|纺织服饰|
|605055.SH|迎丰股份|605055|-2.42|纺织服饰|
|000656.SZ|金科股份|000656|-2.42|房地产|
|600884.SH|杉杉股份|600884|-2.45|电力设备|
|603518.SH|锦泓集团|603518|-2.45|纺织服饰|
|600295.SH|鄂尔多斯|600295|-2.48|钢铁|
|002634.SZ|*ST棒杰|002634|-2.51|纺织服饰|
|000825.SZ|太钢不锈|000825|-2.51|钢铁|
