vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万综合行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 175 个符合条件标的，以下列出前 175 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|600207.SH|安彩高科|600207|10.02|电力设备|
|000993.SZ|闽东电力|000993|9.98|公用事业|
|600682.SH|南京新百|600682|4.37|综合|
|000151.SZ|中成股份|000151|3.39|商贸零售|
|000722.SZ|湖南发展|000722|3.19|公用事业|
|600818.SH|ST中路|600818|2.66|汽车|
|600706.SH|曲江文旅|600706|2.62|社会服务|
|600676.SH|久事动娱|600676|2.09|汽车|
|300012.SZ|华测检测|300012|1.46|社会服务|
|600624.SH|ST复华|600624|0.65|医药生物|
|000813.SZ|德展健康|000813|0.6|医药生物|
|000010.SZ|*ST美丽|000010|0.58|建筑装饰|
|600817.SH|宇通重工|600817|0.52|环保|
|002175.SZ|*ST东智|002175|0.39|机械设备|
|000669.SZ|ST金鸿|000669|0.24|公用事业|
|000007.SZ|全新好|000007|0.18|商贸零售|
|300688.SZ|创业黑马|300688|0.16|社会服务|
|000628.SZ|高新发展|000628|-0.11|建筑装饰|
|605098.SH|行动教育|605098|-0.27|社会服务|
|600851.SH|海欣股份|600851|-0.36|医药生物|
|000691.SZ|亚太实业|000691|-0.4|基础化工|
|000906.SZ|浙商中拓|000906|-0.48|交通运输|
|600661.SH|昂立教育|600661|-0.58|社会服务|
|002967.SZ|广电计量|002967|-0.59|社会服务|
|600556.SH|天下秀|600556|-0.63|传媒|
|600158.SH|中体产业|600158|-0.69|社会服务|
|600777.SH|新潮能源|600777|-0.73|石油石化|
|600458.SH|时代新材|600458|-0.77|综合|
|600805.SH|悦达投资|600805|-0.87|综合|
|600551.SH|时代出版|600551|-0.93|传媒|
|000711.SZ|京蓝科技|000711|-0.99|环保|
|000881.SZ|中广核技|000881|-1.04|基础化工|
|600539.SH|狮头股份|600539|-1.04|商贸零售|
|000839.SZ|国安股份|000839|-1.05|通信|
|300938.SZ|信测标准|300938|-1.09|社会服务|
|000509.SZ|华塑控股|000509|-1.13|电子|
|000551.SZ|创元科技|000551|-1.16|环保|
|600759.SH|ST洲际|600759|-1.19|石油石化|
|600673.SH|东阳光|600673|-1.2|综合|
|000008.SZ|神州高铁|000008|-1.2|机械设备|
|600783.SH|鲁信创投|600783|-1.25|机械设备|
|600082.SH|ST海泰|600082|-1.33|房地产|
|600118.SH|中国卫星|600118|-1.35|国防军工|
|000507.SZ|珠海港|000507|-1.35|公用事业|
|600119.SH|*ST长投|600119|-1.35|交通运输|
|002758.SZ|浙农股份|002758|-1.45|基础化工|
|000030.SZ|富奥股份|000030|-1.49|汽车|
|000931.SZ|中关村|000931|-1.58|医药生物|
|600770.SH|综艺股份|600770|-1.6|综合|
|000547.SZ|航天发展|000547|-1.6|国防军工|
|000915.SZ|华特达因|000915|-1.63|医药生物|
|000632.SZ|ST三木|000632|-1.65|综合|
|000892.SZ|欢瑞世纪|000892|-1.68|传媒|
|000009.SZ|中国宝安|000009|-1.71|电力设备|
|003008.SZ|开普检测|003008|-1.74|社会服务|
|002131.SZ|利欧股份|002131|-1.76|机械设备|
|000975.SZ|山金国际|000975|-1.86|有色金属|
|000409.SZ|云鼎科技|000409|-1.88|计算机|
|002575.SZ|群兴玩具|002575|-1.88|综合|
|600846.SH|同济科技|600846|-1.93|建筑装饰|
|000055.SZ|方大集团|000055|-1.94|建筑材料|
|603060.SH|国检集团|603060|-1.97|社会服务|
|000710.SZ|贝瑞基因|000710|-1.98|医药生物|
|600704.SH|物产中大|600704|-1.98|交通运输|
|300962.SZ|中金辐照|300962|-2.07|社会服务|
|600128.SH|苏豪弘业|600128|-2.08|商贸零售|
|000701.SZ|厦门信达|000701|-2.1|商贸零售|
|600234.SH|科新发展|600234|-2.1|建筑装饰|
|601992.SH|金隅集团|601992|-2.13|建筑材料|
|000068.SZ|华控赛格|000068|-2.13|环保|
|600724.SH|宁波富达|600724|-2.15|房地产|
|600053.SH|*ST九鼎|600053|-2.19|非银金融|
|300942.SZ|易瑞生物|300942|-2.19|医药生物|
|600419.SH|天润乳业|600419|-2.22|食品饮料|
|300887.SZ|谱尼测试|300887|-2.23|社会服务|
|600689.SH|上海三毛|600689|-2.29|综合|
|600784.SH|鲁银投资|600784|-2.32|基础化工|
|600149.SH|廊坊发展|600149|-2.32|公用事业|
|000421.SZ|南京公用|000421|-2.35|综合|
|000546.SZ|金圆股份|000546|-2.35|环保|
|600212.SH|绿能慧充|600212|-2.37|电力设备|
|002316.SZ|亚联发展|002316|-2.37|综合|
|600884.SH|杉杉股份|600884|-2.45|电力设备|
|600067.SH|冠城新材|600067|-2.45|电力设备|
|600858.SH|银座股份|600858|-2.5|商贸零售|
|600151.SH|航天机电|600151|-2.5|汽车|
|000620.SZ|盈新发展|000620|-2.51|房地产|
|600807.SH|济高发展|600807|-2.57|综合|
|000025.SZ|特力A|000025|-2.59|综合|
|002549.SZ|凯美特气|002549|-2.6|基础化工|
|600136.SH|ST明诚|600136|-2.63|房地产|
|000716.SZ|黑芝麻|000716|-2.7|食品饮料|
|600576.SH|祥源文旅|600576|-2.74|社会服务|
|002420.SZ|毅昌科技|002420|-2.77|综合|
|600668.SH|尖峰集团|600668|-2.81|建筑材料|
|600515.SH|海南机场|600515|-2.83|房地产|
|600603.SH|广汇物流|600603|-2.84|交通运输|
|600730.SH|*ST高科|600730|-2.86|社会服务|
|000529.SZ|广弘控股|000529|-2.91|食品饮料|
|600133.SH|东湖高新|600133|-2.93|环保|
|002213.SZ|大为股份|002213|-2.95|电子|
|000681.SZ|视觉中国|000681|-2.97|传媒|
|600051.SH|宁波联合|600051|-2.99|综合|
|300797.SZ|钢研纳克|300797|-3.06|社会服务|
|300795.SZ|米奥会展|300795|-3.06|社会服务|
|600733.SH|北汽蓝谷|600733|-3.12|汽车|
|600620.SH|天宸股份|600620|-3.13|综合|
|001914.SZ|招商积余|001914|-3.2|房地产|
|600455.SH|博通股份|600455|-3.21|计算机|
|600708.SH|光明地产|600708|-3.22|房地产|
|000753.SZ|漳州发展|000753|-3.26|综合|
|000652.SZ|泰达股份|000652|-3.37|综合|
|600883.SH|博闻科技|600883|-3.37|农林牧渔|
|600382.SH|广东明珠|600382|-3.4|钢铁|
|000933.SZ|神火股份|000933|-3.55|有色金属|
|000703.SZ|恒逸石化|000703|-3.61|石油石化|
|600622.SH|光大嘉宝|600622|-3.64|房地产|
|600281.SH|华阳新材|600281|-3.67|有色金属|
|600110.SH|诺德股份|600110|-3.73|电力设备|
|000593.SZ|德龙汇能|000593|-3.74|公用事业|
|300977.SZ|深圳瑞捷|300977|-3.87|建筑装饰|
|600617.SH|国新能源|600617|-3.93|公用事业|
|000803.SZ|山高环能|000803|-4.09|环保|
|600881.SH|亚泰集团|600881|-4.1|综合|
|002072.SZ|凯瑞德|002072|-4.56|商贸零售|
|600769.SH|祥龙电业|600769|-5.53|环保|
|000833.SZ|粤桂股份|000833|-5.63|综合|
|603183.SH|建研院|603183|-5.78|社会服务|
|600095.SH|湘财股份|600095|-6.13|非银金融|
|600691.SH|潞化科技|600691|-6.34|基础化工|
|600892.SH|大晟文化|600892|-7.16|传媒|
|600113.SH|浙江东日|600113|-7.99|商贸零售|
|000523.SZ|红棉股份|000523|-10.09|综合|
|600614.SH|退市鹏起|600614|-||
|600700.SH|*ST数码|600700|-||
|600608.SH|退市沪科|600608|-||
|000638.SZ|*ST万方|000638|-||
|000040.SZ|*ST旭蓝|000040|-||
|600634.SH|退市富控|600634|-||
|600766.SH|退市园城|600766|-||
|600898.SH|*ST美讯|600898|-||
|600277.SH|ST亿利|600277|-||
|600070.SH|*ST富润|600070|-||
|600837.SH|海通证券|600837|-||
|300208.SZ|中程退|300208|-||
|600747.SH|退市大控|600747|-||
|600659.SH|*ST花雕|600659|-||
|000584.SZ|工智退|000584|-||
|000018.SZ|神城A退|000018|-||
|000578.SZ|盐湖集团|000578|-||
|000836.SZ|ST富通|000836|-||
|600260.SH|*ST凯乐|600260|-||
|600209.SH|退市罗顿|600209|-||
|600656.SH|退市博元|600656|-||
|600421.SH|退市华嵘|600421|-||
|000611.SZ|天首退|000611|-||
|600647.SH|退市同达|600647|-||
|000038.SZ|大通退|000038|-||
|600175.SH|退市美都|600175|-||
|600200.SH|退市苏吴|600200|-||
|600701.SH|退市工新|600701|-||
|002018.SZ|华信退|002018|-||
|600696.SH|退市岩石|600696|-||
|002113.SZ|*ST天润|002113|-||
|000622.SZ|恒立退|000622|-||
|000835.SZ|长动退|000835|-||
|600083.SH|*ST博信|600083|-||
|000671.SZ|ST阳光城|000671|-||
|600811.SH|*ST东方|600811|-||
|600139.SH|*ST西源|600139|-||
|600193.SH|退市创兴|600193|-||
|600275.SH|退市昌鱼|600275|-||
|600677.SH|*ST航通|600677|-||
|600652.SH|退市游久|600652|-||
|600247.SH|*ST成城|600247|-||",2026-09-13T08:41:53.596072+08:00
