vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万计算机行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 389 个符合条件标的，以下列出前 389 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|300290.SZ|ST荣科|300290|15.62|计算机|
|002912.SZ|中新赛克|002912|10.01|计算机|
|600410.SH|华胜天成|600410|9.99|计算机|
|300352.SZ|ST信源|300352|8.7|计算机|
|002383.SZ|合众思壮|002383|5.24|国防军工|
|002296.SZ|辉煌科技|002296|4.54|通信|
|300895.SZ|铜牛信息|300895|3.7|计算机|
|301270.SZ|汉仪股份|301270|3.45|计算机|
|003007.SZ|直真科技|003007|3.09|计算机|
|002298.SZ|中电鑫龙|002298|3.05|计算机|
|002212.SZ|天融信|002212|2.75|计算机|
|603138.SH|海量数据|603138|2.58|计算机|
|300830.SZ|金现代|300830|2.41|计算机|
|600100.SH|同方股份|600100|2.35|计算机|
|688561.SH|奇安信|688561|1.85|计算机|
|688292.SH|浩瀚深度|688292|1.85|计算机|
|002577.SZ|雷柏科技|002577|1.83|计算机|
|003004.SZ|声迅股份|003004|1.8|计算机|
|300209.SZ|行云科技|300209|1.65|计算机|
|301339.SZ|通行宝|301339|1.53|计算机|
|300051.SZ|琏升科技|300051|1.29|电力设备|
|688152.SH|麒麟信安|688152|1.26|计算机|
|600855.SH|航天长峰|600855|1.16|国防军工|
|300846.SZ|首都在线|300846|1.01|计算机|
|603189.SH|*ST网达|603189|0.93|计算机|
|600845.SH|宝信软件|600845|0.83|计算机|
|300245.SZ|ST天玑|300245|0.82|计算机|
|300536.SZ|农尚环境|300536|0.78|计算机|
|002920.SZ|德赛西威|002920|0.68|计算机|
|300311.SZ|任子行|300311|0.53|计算机|
|301236.SZ|软通动力|301236|0.53|计算机|
|688111.SH|金山办公|688111|0.48|计算机|
|002439.SZ|启明星辰|002439|0.38|计算机|
|300339.SZ|润和软件|300339|0.35|计算机|
|300275.SZ|梅安森|300275|0.34|计算机|
|601360.SH|三六零|601360|0.34|计算机|
|002261.SZ|拓维信息|002261|0.32|计算机|
|301638.SZ|南网数字|301638|0.28|计算机|
|000034.SZ|神州数码|000034|0.26|计算机|
|688066.SH|*ST航图|688066|0.22|计算机|
|300682.SZ|朗新科技|300682|0.22|计算机|
|000977.SZ|浪潮信息|000977|0.16|计算机|
|605118.SH|力鼎光电|605118|0.15|计算机|
|600590.SH|泰豪科技|600590|0.11|电力设备|
|600601.SH|方正科技|600601|0.07|电子|
|300419.SZ|ST浩丰|300419|0.0|计算机|
|002230.SZ|科大讯飞|002230|-0.03|计算机|
|688208.SH|道通科技|688208|-0.04|计算机|
|603859.SH|能科科技|603859|-0.11|计算机|
|603019.SH|中科曙光|603019|-0.12|计算机|
|688562.SH|航天软件|688562|-0.14|计算机|
|301218.SZ|华是科技|301218|-0.18|计算机|
|300366.SZ|ST创意|300366|-0.18|计算机|
|300182.SZ|捷成股份|300182|-0.2|传媒|
|688475.SH|萤石网络|688475|-0.22|计算机|
|301117.SZ|ST佳缘|301117|-0.22|计算机|
|603528.SH|多伦科技|603528|-0.31|计算机|
|300177.SZ|中海达|300177|-0.47|国防军工|
|000158.SZ|常山北明|000158|-0.47|计算机|
|688188.SH|柏楚电子|688188|-0.53|计算机|
|300847.SZ|中船汉光|300847|-0.55|计算机|
|002152.SZ|广电运通|002152|-0.63|计算机|
|002528.SZ|*ST英飞|002528|-0.66|计算机|
|300768.SZ|迪普科技|300768|-0.69|计算机|
|300020.SZ|ST银江|300020|-0.71|计算机|
|002387.SZ|维信诺|002387|-0.72|电子|
|688039.SH|当虹科技|688039|-0.72|计算机|
|002766.SZ|索菱股份|002766|-0.73|汽车|
|688232.SH|新点软件|688232|-0.74|计算机|
|300845.SZ|捷安高科|300845|-0.74|计算机|
|002415.SZ|海康威视|002415|-0.78|计算机|
