vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,申万钢铁和轻工制造行业的全部A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 320 个符合条件标的，以下列出前 320 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|002585.SZ|双星新材|002585|10.06|基础化工|
|002790.SZ|瑞尔特|002790|10.05|轻工制造|
|603226.SH|菲林格尔|603226|7.41|轻工制造|
|003006.SZ|百亚股份|003006|6.43|美容护理|
|002735.SZ|王子新材|002735|5.84|轻工制造|
|002443.SZ|金洲管道|002443|5.73|钢铁|
|300061.SZ|旗天科技|300061|5.29|传媒|
|603838.SH|*ST四通|603838|3.31|轻工制造|
|002853.SZ|皮阿诺|002853|3.24|轻工制造|
|603398.SH|*ST沐邦|603398|2.62|电力设备|
|002478.SZ|常宝股份|002478|2.56|钢铁|
|603221.SH|爱丽家居|603221|2.25|轻工制造|
|600163.SH|中闽能源|600163|1.65|公用事业|
|300756.SZ|金马游乐|300756|1.5|机械设备|
|603313.SH|梦百合|603313|1.35|轻工制造|
|603272.SH|*ST联翔|603272|1.3|轻工制造|
|002102.SZ|ST能特|002102|1.12|医药生物|
|002862.SZ|实丰文化|002862|0.89|轻工制造|
|002012.SZ|凯恩股份|002012|0.84|轻工制造|
|000576.SZ|甘化科工|000576|0.82|国防军工|
|603389.SH|亚振家居|603389|0.77|轻工制造|
|002263.SZ|大东南|002263|0.63|基础化工|
|002522.SZ|浙江众成|002522|0.58|基础化工|
|603195.SH|公牛集团|603195|0.41|轻工制造|
|603615.SH|茶花股份|603615|0.27|轻工制造|
|301501.SZ|恒鑫生活|301501|0.19|轻工制造|
|301108.SZ|洁雅股份|301108|0.17|美容护理|
|300057.SZ|万顺新材|300057|0.16|有色金属|
|605377.SH|华旺科技|605377|0.0|轻工制造|
|002174.SZ|游族网络|002174|-0.15|传媒|
|600735.SH|ST新华锦|600735|-0.15|纺织服饰|
|002014.SZ|永新股份|002014|-0.18|轻工制造|
|001216.SZ|华瓷股份|001216|-0.21|轻工制造|
|000708.SZ|中信特钢|000708|-0.22|钢铁|
|002831.SZ|裕同科技|002831|-0.31|轻工制造|
|600210.SH|紫江企业|600210|-0.32|轻工制造|
|001368.SZ|通达创智|001368|-0.37|轻工制造|
|600674.SH|川投能源|600674|-0.37|公用事业|
|000906.SZ|浙商中拓|000906|-0.48|交通运输|
|000890.SZ|法尔胜|000890|-0.59|环保|
|601996.SH|丰林集团|601996|-0.69|轻工制造|
|002318.SZ|久立特材|002318|-0.7|钢铁|
|002825.SZ|纳尔股份|002825|-0.7|基础化工|
|002951.SZ|金时科技|002951|-0.7|电力设备|
|603091.SH|众鑫股份|603091|-0.76|轻工制造|
|603429.SH|*ST集友|603429|-0.76|轻工制造|
|002032.SZ|苏泊尔|002032|-0.83|家用电器|
|601968.SH|宝钢包装|601968|-0.86|轻工制造|
|002043.SZ|兔宝宝|002043|-0.89|建筑材料|
|002701.SZ|奥瑞金|002701|-0.89|轻工制造|
|603021.SH|*ST华鹏|603021|-0.9|轻工制造|
|000488.SZ|ST晨鸣|000488|-0.94|轻工制造|
|002752.SZ|昇兴股份|002752|-0.94|轻工制造|
|600539.SH|狮头股份|600539|-1.04|商贸零售|
|600282.SH|南钢股份|600282|-1.04|钢铁|
|603268.SH|松发股份|603268|-1.05|国防军工|
|002867.SZ|周大生|002867|-1.13|纺织服饰|
|600516.SH|方大炭素|600516|-1.14|钢铁|
|000815.SZ|美利云|000815|-1.15|计算机|
|600673.SH|东阳光|600673|-1.2|综合|
|605500.SH|森林包装|605500|-1.22|轻工制造|
|600894.SH|广日股份|600894|-1.22|机械设备|
|603008.SH|ST喜临门|603008|-1.23|轻工制造|
|600356.SH|恒丰纸业|600356|-1.29|轻工制造|
|603687.SH|大胜达|603687|-1.3|轻工制造|
|600114.SH|东睦股份|600114|-1.31|机械设备|
|002235.SZ|安妮股份|002235|-1.33|轻工制造|
|600019.SH|宝钢股份|600019|-1.35|钢铁|
|002803.SZ|吉宏股份|002803|-1.37|商贸零售|
|605158.SH|华达新材|605158|-1.38|有色金属|
|301223.SZ|中荣股份|301223|-1.38|轻工制造|
|002521.SZ|齐峰新材|002521|-1.38|轻工制造|
|600681.SH|百川能源|600681|-1.39|公用事业|
|603165.SH|荣晟环保|603165|-1.39|轻工制造|
|001323.SZ|慕思股份|001323|-1.4|轻工制造|
|002489.SZ|浙江永强|002489|-1.41|轻工制造|
|000898.SZ|鞍钢股份|000898|-1.44|钢铁|
|002120.SZ|韵达股份|002120|-1.46|交通运输|
|002067.SZ|景兴纸业|002067|-1.47|轻工制造|
|600567.SH|山鹰国际|600567|-1.47|轻工制造|
|000030.SZ|富奥股份|000030|-1.49|汽车|
|600187.SH|*ST国中|600187|-1.49|环保|
|002292.SZ|奥飞娱乐|002292|-1.5|传媒|
|603995.SH|甬金股份|603995|-1.58|钢铁|
|603661.SH|恒林股份|603661|-1.6|轻工制造|
|002565.SZ|顺灏股份|002565|-1.62|轻工制造|
|002191.SZ|劲嘉股份|002191|-1.65|轻工制造|
|688186.SH|广大特材|688186|-1.66|电力设备|
|600992.SH|贵绳股份|600992|-1.67|机械设备|
|605099.SH|共创草坪|605099|-1.67|轻工制造|
|000820.SZ|神雾节能|000820|-1.68|环保|
|601686.SH|友发集团|601686|-1.7|钢铁|
|002605.SZ|姚记科技|002605|-1.71|传媒|
|603284.SH|林平发展|603284|-1.77|轻工制造|
|600135.SH|乐凯胶片|600135|-1.81|基础化工|
|002511.SZ|中顺洁柔|002511|-1.81|美容护理|
|600010.SH|包钢股份|600010|-1.83|钢铁|
|000812.SZ|陕西金叶|000812|-1.83|轻工制造|
|002354.SZ|天娱数科|002354|-1.84|传媒|
|301061.SZ|匠心家居|301061|-1.85|轻工制造|
|603059.SH|倍加洁|603059|-1.85|美容护理|
|002846.SZ|英联股份|002846|-1.88|轻工制造|
|002575.SZ|群兴玩具|002575|-1.88|综合|
|301101.SZ|明月镜片|301101|-1.89|轻工制造|
|600337.SH|ST美克|600337|-1.92|轻工制造|
|002103.SZ|广博股份|002103|-1.93|轻工制造|
|000055.SZ|方大集团|000055|-1.94|建筑材料|
|002374.SZ|中锐股份|002374|-1.94|轻工制造|
|003011.SZ|海象新材|003011|-1.95|轻工制造|
|603816.SH|顾家家居|603816|-1.96|轻工制造|
|600963.SH|岳阳林纸|600963|-1.98|轻工制造|
|300043.SZ|星辉娱乐|300043|-2.0|传媒|
|600581.SH|*ST八钢|600581|-2.02|钢铁|
|000526.SZ|学大教育|000526|-2.03|社会服务|
|301062.SZ|上海艾录|301062|-2.04|轻工制造|
|002572.SZ|索菲亚|002572|-2.09|轻工制造|
|002571.SZ|德力股份|002571|-2.11|轻工制造|
|002229.SZ|鸿博股份|002229|-2.11|计算机|
|003018.SZ|金富科技|003018|-2.14|轻工制造|
|001279.SZ|强邦新材|001279|-2.16|轻工制造|
|002799.SZ|环球印务|002799|-2.16|轻工制造|
|002084.SZ|海鸥住工|002084|-2.17|轻工制造|
|600053.SH|*ST九鼎|600053|-2.19|非银金融|
|300501.SZ|海顺新材|300501|-2.19|轻工制造|
|301595.SZ|太力科技|301595|-2.2|轻工制造|
|600022.SH|山东钢铁|600022|-2.22|钢铁|
|600419.SH|天润乳业|600419|-2.22|食品饮料|
|603848.SH|好太太|603848|-2.22|轻工制造|
|001300.SZ|三柏硕|001300|-2.25|轻工制造|
|603610.SH|麒盛科技|603610|-2.26|轻工制造|
|600558.SH|大西洋|600558|-2.26|机械设备|
|605268.SH|王力安防|605268|-2.28|轻工制造|
|600808.SH|马钢股份|600808|-2.28|钢铁|
|300729.SZ|乐歌股份|300729|-2.29|轻工制造|
|002110.SZ|三钢闽光|002110|-2.3|钢铁|
|002132.SZ|恒星科技|002132|-2.3|机械设备|
|301113.SZ|雅艺科技|301113|-2.31|轻工制造|
|002243.SZ|力合科创|002243|-2.31|社会服务|
|600784.SH|鲁银投资|600784|-2.32|基础化工|
|000629.SZ|钒钛股份|000629|-2.33|钢铁|
|002348.SZ|高乐股份|002348|-2.33|轻工制造|
|002798.SZ|帝欧水华|002798|-2.34|轻工制造|
|002078.SZ|太阳纸业|002078|-2.35|轻工制造|
|600433.SH|冠豪高新|600433|-2.37|轻工制造|
|600103.SH|青山纸业|600103|-2.39|轻工制造|
|600308.SH|华泰股份|600308|-2.4|轻工制造|
|601005.SH|重庆钢铁|601005|-2.4|钢铁|
|603833.SH|欧派家居|603833|-2.41|轻工制造|
|301336.SZ|趣睡科技|301336|-2.42|轻工制造|
|000656.SZ|金科股份|000656|-2.42|房地产|
|600208.SH|衢州发展|600208|-2.43|房地产|
|002356.SZ|鹏飞绿能|002356|-2.43|商贸零售|
|601515.SH|衢州东峰|601515|-2.43|轻工制造|
|002247.SZ|聚力文化|002247|-2.43|建筑材料|
|301004.SZ|嘉益股份|301004|-2.44|轻工制造|
|600295.SH|鄂尔多斯|600295|-2.48|钢铁|
|002615.SZ|哈尔斯|002615|-2.5|轻工制造|
|000825.SZ|太钢不锈|000825|-2.51|钢铁|
|300749.SZ|顶固集创|300749|-2.52|轻工制造|
|001356.SZ|富岭股份|001356|-2.54|轻工制造|
|603180.SH|金牌家居|603180|-2.55|轻工制造|
|002969.SZ|嘉美包装|002969|-2.56|轻工制造|
|603709.SH|中源家居|603709|-2.57|轻工制造|
|002599.SZ|盛通股份|002599|-2.6|轻工制造|
|600439.SH|ST瑞贝卡|600439|-2.6|纺织服饰|
|603725.SH|天安新材|603725|-2.6|轻工制造|
|000717.SZ|中南股份|000717|-2.61|钢铁|
