vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,申万钢铁和通信行业的全部A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 243 个符合条件标的，以下列出前 243 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|300563.SZ|神宇股份|300563|19.98|通信|
|688143.SH|长盈通|688143|15.49|通信|
|002902.SZ|铭普光磁|002902|10.02|通信|
|603421.SH|鼎信通讯|603421|10.01|通信|
|300183.SZ|东软载波|300183|9.2|通信|
|600734.SH|*ST实达|600734|8.96|通信|
|601869.SH|长飞光纤|601869|8.78|通信|
|300913.SZ|兆龙互连|300913|8.63|通信|
|300252.SZ|金信诺|300252|7.12|国防军工|
|000070.SZ|特发信息|000070|6.06|通信|
|002443.SZ|金洲管道|002443|5.73|钢铁|
|002194.SZ|武汉凡谷|002194|5.52|通信|
|300711.SZ|广哈通信|300711|5.18|通信|
|300292.SZ|吴通控股|300292|5.03|通信|
|002296.SZ|辉煌科技|002296|4.54|通信|
|600105.SH|永鼎股份|600105|4.51|通信|
|300308.SZ|中际旭创|300308|4.03|通信|
|600776.SH|东方通信|600776|4.02|通信|
|600522.SH|中天科技|600522|3.57|通信|
|300502.SZ|新易盛|300502|2.94|通信|
|300414.SZ|中光防雷|300414|2.85|通信|
|603803.SH|瑞斯康达|603803|2.79|通信|
|002478.SZ|常宝股份|002478|2.56|钢铁|
|300565.SZ|科信技术|300565|2.5|通信|
|002897.SZ|意华股份|002897|2.48|通信|
|600487.SH|亨通光电|600487|2.08|通信|
|600293.SH|三峡新材|600293|1.94|建筑材料|
|603712.SH|七一二|603712|1.86|国防军工|
|688292.SH|浩瀚深度|688292|1.85|计算机|
|002446.SZ|盛路通信|002446|1.84|国防军工|
|600198.SH|大唐电信|600198|1.75|通信|
|688635.SH|长进光子|688635|1.72|通信|
|601728.SH|中国电信|601728|1.62|通信|
|600498.SH|烽火通信|600498|1.54|通信|
|300615.SZ|欣天科技|300615|1.45|通信|
|300504.SZ|天邑股份|300504|1.42|通信|
|000561.SZ|烽火电子|000561|1.4|国防军工|
|600345.SH|长江通信|600345|1.37|通信|
|000586.SZ|汇源通信|000586|0.99|通信|
|300134.SZ|大富科技|300134|0.94|通信|
|002491.SZ|通鼎互联|002491|0.81|通信|
|600775.SH|南京熊猫|600775|0.62|通信|
|300353.SZ|东土科技|300353|0.62|通信|
|600745.SH|*ST闻泰|600745|0.59|电子|
|600941.SH|中国移动|600941|0.57|通信|
|300590.SZ|移为通信|300590|0.54|通信|
|300213.SZ|佳讯飞鸿|300213|0.46|通信|
|002465.SZ|海格通信|002465|0.29|国防军工|
|000034.SZ|神州数码|000034|0.26|计算机|
|600050.SH|中国联通|600050|0.24|通信|
|300603.SZ|立昂技术|300603|0.0|通信|
|002148.SZ|北纬科技|002148|0.0|通信|
|300628.SZ|亿联网络|300628|0.0|通信|
|300322.SZ|硕贝德|300322|-0.11|电子|
|000708.SZ|中信特钢|000708|-0.22|钢铁|
|300136.SZ|信维通信|300136|-0.23|电子|
|688387.SH|信科移动|688387|-0.25|通信|
|300025.SZ|华星创业|300025|-0.34|通信|
|600674.SH|川投能源|600674|-0.37|公用事业|
|002093.SZ|国脉科技|002093|-0.41|社会服务|
|002583.SZ|海能达|002583|-0.47|通信|
|000906.SZ|浙商中拓|000906|-0.48|交通运输|
|300081.SZ|ST恒信|300081|-0.57|通信|
|000890.SZ|法尔胜|000890|-0.59|环保|
|002313.SZ|日海智能|002313|-0.59|通信|
|300205.SZ|*ST天喻|300205|-0.6|通信|
|002467.SZ|二六三|002467|-0.64|通信|
|300310.SZ|宜通世纪|300310|-0.69|通信|
|002318.SZ|久立特材|002318|-0.7|钢铁|
|002792.SZ|通宇通讯|002792|-0.76|通信|
|688313.SH|仕佳光子|688313|-0.83|通信|
|688080.SH|映翰通|688080|-0.85|通信|
|000063.SZ|中兴通讯|000063|-0.86|通信|
|300698.SZ|万马科技|300698|-0.88|通信|
|600130.SH|波导股份|600130|-0.89|电子|
|300098.SZ|高新兴|300098|-0.9|通信|
|301202.SZ|朗威股份|301202|-0.96|通信|
|300560.SZ|中富通|300560|-0.98|通信|
|603703.SH|盛洋科技|603703|-0.99|电子|
|688182.SH|灿勤科技|688182|-1.02|通信|
|600282.SH|南钢股份|600282|-1.04|钢铁|
|000839.SZ|国安股份|000839|-1.05|通信|
|300710.SZ|万隆光电|300710|-1.06|通信|
|603602.SH|纵横通信|603602|-1.12|传媒|
|301314.SZ|科瑞思|301314|-1.13|通信|
|002281.SZ|光迅科技|002281|-1.13|通信|
|600516.SH|方大炭素|600516|-1.14|钢铁|
|300570.SZ|太辰光|300570|-1.19|通信|
|600673.SH|东阳光|600673|-1.2|综合|
|600894.SH|广日股份|600894|-1.22|机械设备|
|300211.SZ|*ST亿通|300211|-1.23|通信|
|300053.SZ|航宇微|300053|-1.24|电子|
|600114.SH|东睦股份|600114|-1.31|机械设备|
|301191.SZ|菲菱科思|301191|-1.32|通信|
|002115.SZ|三维通信|002115|-1.34|通信|
|600019.SH|宝钢股份|600019|-1.35|钢铁|
|603042.SH|华脉科技|603042|-1.37|通信|
