vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,申万银行和非银金融行业的全部A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 147 个符合条件标的，以下列出前 147 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|600016.SH|民生银行|600016|1.37|银行|
|601939.SH|建设银行|601939|0.64|银行|
|601988.SH|中国银行|601988|0.61|银行|
|601328.SH|交通银行|601328|0.54|银行|
|601288.SH|农业银行|601288|0.43|银行|
|601398.SH|工商银行|601398|0.12|银行|
|601658.SH|邮储银行|601658|0.0|银行|
|601998.SH|中信银行|601998|-0.11|银行|
|600919.SH|江苏银行|600919|-0.4|银行|
|002966.SZ|苏州银行|002966|-0.43|银行|
|600036.SH|招商银行|600036|-0.53|银行|
|000890.SZ|法尔胜|000890|-0.59|环保|
|601166.SH|兴业银行|601166|-0.6|银行|
|601229.SH|上海银行|601229|-0.72|银行|
|601628.SH|中国人寿|601628|-0.76|非银金融|
|601128.SH|常熟银行|601128|-0.77|银行|
|601169.SH|北京银行|601169|-0.89|银行|
|000001.SZ|平安银行|000001|-0.93|银行|
|600926.SH|杭州银行|600926|-0.96|银行|
|600000.SH|浦发银行|600000|-0.96|银行|
|601818.SH|光大银行|601818|-0.98|银行|
|601916.SH|浙商银行|601916|-1.01|银行|
|002142.SZ|宁波银行|002142|-1.03|银行|
|601838.SH|成都银行|601838|-1.13|银行|
|000958.SZ|电投产融|000958|-1.13|公用事业|
|600901.SH|江苏金租|600901|-1.17|非银金融|
|601318.SH|中国平安|601318|-1.24|非银金融|
|600015.SH|华夏银行|600015|-1.24|银行|
|600783.SH|鲁信创投|600783|-1.25|机械设备|
|601009.SH|南京银行|601009|-1.29|银行|
|601963.SH|重庆银行|601963|-1.32|银行|
|601319.SH|中国人保|601319|-1.39|非银金融|
|002807.SZ|江阴银行|002807|-1.4|银行|
|601555.SH|东吴证券|601555|-1.52|非银金融|
|601995.SH|中金公司|601995|-1.54|非银金融|
|601077.SH|渝农商行|601077|-1.62|银行|
|002647.SZ|仁东控股|002647|-1.63|非银金融|
|601665.SH|齐鲁银行|601665|-1.65|银行|
|601198.SH|东兴证券|601198|-1.65|非银金融|
|002936.SZ|郑州银行|002936|-1.66|银行|
|601456.SH|国联民生|601456|-1.69|非银金融|
|002948.SZ|青岛银行|002948|-1.73|银行|
|601997.SH|贵阳银行|601997|-1.75|银行|
|601825.SH|沪农商行|601825|-1.78|银行|
|601577.SH|长沙银行|601577|-1.78|银行|
|001227.SZ|兰州银行|001227|-1.83|银行|
|603300.SH|海南华铁|603300|-1.87|非银金融|
|600635.SH|大众公用|600635|-1.88|公用事业|
|601187.SH|厦门银行|601187|-1.89|银行|
|600928.SH|西安银行|600928|-1.92|银行|
|603323.SH|苏农银行|603323|-1.94|银行|
|601601.SH|中国太保|601601|-1.96|非银金融|
|600517.SH|国网英大|600517|-2.17|非银金融|
|601377.SH|兴业证券|601377|-2.18|非银金融|
|600053.SH|*ST九鼎|600053|-2.19|非银金融|
|601059.SH|信达证券|601059|-2.19|非银金融|
|002839.SZ|张家港行|002839|-2.21|银行|
|601860.SH|紫金银行|601860|-2.25|银行|
|000532.SZ|华金资本|000532|-2.33|非银金融|
|601211.SH|国泰海通|601211|-2.37|非银金融|
|002316.SZ|亚联发展|002316|-2.37|综合|
|601336.SH|新华保险|601336|-2.38|非银金融|
|600030.SH|中信证券|600030|-2.46|非银金融|
|002736.SZ|国信证券|002736|-2.54|非银金融|
|601901.SH|方正证券|601901|-2.58|非银金融|
|002958.SZ|青农商行|002958|-2.6|银行|
|600908.SH|无锡银行|600908|-2.64|银行|
|601066.SH|中信建投|601066|-2.66|非银金融|
|002500.SZ|山西证券|002500|-2.78|非银金融|
|601878.SH|浙商证券|601878|-2.78|非银金融|
|000415.SZ|渤海租赁|000415|-2.81|非银金融|
|600958.SH|东方证券|600958|-2.83|非银金融|
|002939.SZ|长城证券|002939|-2.84|非银金融|
|000728.SZ|国元证券|000728|-2.84|非银金融|
|300176.SZ|鸿特科技|300176|-2.88|汽车|
