vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,申万食品饮料行业的全部A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 161 个符合条件标的，以下列出前 161 条
|证券代码|证券简称|证券编码|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|所属申万行业名称<[等级]:一级>|
|---|---|---|---|---|
|600084.SH|*ST尼雅|600084|3.76|食品饮料|
|300741.SZ|华宝股份|300741|2.86|基础化工|
|000752.SZ|*ST西发|000752|1.73|食品饮料|
|600186.SH|莲花控股|600186|1.61|食品饮料|
|002726.SZ|ST龙大|002726|1.17|食品饮料|
|605179.SH|一鸣食品|605179|1.01|食品饮料|
|603288.SH|海天味业|603288|0.83|食品饮料|
|000576.SZ|甘化科工|000576|0.82|国防军工|
|000639.SZ|ST西王|000639|0.58|食品饮料|
|600962.SH|国投中鲁|600962|0.48|农林牧渔|
|600887.SH|伊利股份|600887|0.45|食品饮料|
|600298.SH|安琪酵母|600298|0.15|食品饮料|
|002650.SZ|ST加加|002650|0.0|食品饮料|
|600735.SH|ST新华锦|600735|-0.15|纺织服饰|
|600381.SH|*ST春天|600381|-0.26|食品饮料|
|603517.SH|ST绝味|603517|-0.58|食品饮料|
|605499.SH|东鹏饮料|605499|-0.58|食品饮料|
|002387.SZ|维信诺|002387|-0.72|电子|
|600600.SH|青岛啤酒|600600|-0.77|食品饮料|
|600519.SH|贵州茅台|600519|-0.78|食品饮料|
|000729.SZ|燕京啤酒|000729|-0.81|食品饮料|
|002695.SZ|煌上煌|002695|-0.95|食品饮料|
|000895.SZ|双汇发展|000895|-1.01|食品饮料|
|000858.SZ|五粮液|000858|-1.04|食品饮料|
|002304.SZ|洋河股份|002304|-1.07|食品饮料|
|603345.SH|安井食品|603345|-1.18|食品饮料|
|000848.SZ|承德露露|000848|-1.22|食品饮料|
|600783.SH|鲁信创投|600783|-1.25|机械设备|
|603156.SH|养元饮品|603156|-1.26|食品饮料|
|600238.SH|ST椰岛|600238|-1.31|食品饮料|
|603198.SH|迎驾贡酒|603198|-1.33|食品饮料|
|600132.SH|重庆啤酒|600132|-1.33|食品饮料|
|600239.SH|ST云城|600239|-1.35|房地产|
|600543.SH|*ST莫高|600543|-1.41|食品饮料|
|002946.SZ|新乳业|002946|-1.5|食品饮料|
|002461.SZ|珠江啤酒|002461|-1.5|食品饮料|
|003000.SZ|劲仔食品|003000|-1.54|食品饮料|
|600530.SH|ST交昂|600530|-1.55|食品饮料|
|000568.SZ|泸州老窖|000568|-1.58|食品饮料|
|002507.SZ|涪陵榨菜|002507|-1.6|食品饮料|
|600809.SH|山西汾酒|600809|-1.62|食品饮料|
|600073.SH|光明肉业|600073|-1.74|食品饮料|
|603020.SH|爱普股份|603020|-1.74|基础化工|
|300146.SZ|汤臣倍健|300146|-1.8|食品饮料|
|600872.SH|中炬高新|600872|-1.84|食品饮料|
|600559.SH|老白干酒|600559|-1.86|食品饮料|
|002557.SZ|洽洽食品|002557|-1.94|食品饮料|
|600597.SH|光明乳业|600597|-1.99|食品饮料|
|603027.SH|千禾味业|603027|-2.02|食品饮料|
|002719.SZ|ST麦趣|002719|-2.06|食品饮料|
|300138.SZ|晨光生物|300138|-2.06|农林牧渔|
|600873.SH|梅花生物|600873|-2.07|基础化工|
|000557.SZ|西部创业|000557|-2.09|交通运输|
