vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万交通运输行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|----------|----------|----------|----------|----------
|盐田港|000088|交通运输|一级行业|申万行业分类|
|深圳机场|000089|交通运输|一级行业|申万行业分类|
|中信海直|000099|交通运输|一级行业|申万行业分类|
|粤高速A|000429|交通运输|一级行业|申万行业分类|
|凤凰航运|000520|交通运输|一级行业|申万行业分类|
|湖南投资|000548|交通运输|一级行业|申万行业分类|
|西部创业|000557|交通运输|一级行业|申万行业分类|
|北部湾港|000582|交通运输|一级行业|申万行业分类|
|远大控股|000626|交通运输|一级行业|申万行业分类|
|山西高速|000755|交通运输|一级行业|申万行业分类|
|东莞控股|000828|交通运输|一级行业|申万行业分类|
|海南高速|000886|交通运输|一级行业|申万行业分类|
|现代投资|000900|交通运输|一级行业|申万行业分类|
|厦门港务|000905|交通运输|一级行业|申万行业分类|
|浙商中拓|000906|交通运输|一级行业|申万行业分类|
|炬申股份|001202|交通运输|一级行业|申万行业分类|
|盛航股份|001205|交通运输|一级行业|申万行业分类|
|中铁特货|001213|交通运输|一级行业|申万行业分类|
|世盟股份|001220|交通运输|一级行业|申万行业分类|
|永泰运|001228|交通运输|一级行业|申万行业分类|
|三羊马|001317|交通运输|一级行业|申万行业分类|
|国货航|001391|交通运输|一级行业|申万行业分类|
|招商港口|001872|交通运输|一级行业|申万行业分类|
|招商公路|001965|交通运输|一级行业|申万行业分类|
|传化智联|002010|交通运输|一级行业|申万行业分类|
|南京港|002040|交通运输|一级行业|申万行业分类|
|韵达股份|002120|交通运输|一级行业|申万行业分类|
|海峡股份|002320|交通运输|一级行业|申万行业分类|
|顺丰控股|002352|交通运输|一级行业|申万行业分类|
|富临运业|002357|交通运输|一级行业|申万行业分类|
|申通快递|002468|交通运输|一级行业|申万行业分类|
|ST雪发|002485|交通运输|一级行业|申万行业分类|
|恒基达鑫|002492|交通运输|一级行业|申万行业分类|
|龙洲股份|002682|交通运输|一级行业|申万行业分类|
|普路通|002769|交通运输|一级行业|申万行业分类|
|天顺股份|002800|交通运输|一级行业|申万行业分类|
|东方嘉盛|002889|交通运输|一级行业|申万行业分类|
|华夏航空|002928|交通运输|一级行业|申万行业分类|
|宏川智慧|002930|交通运输|一级行业|申万行业分类|
|新宁物流|300013|交通运输|一级行业|申万行业分类|
|飞力达|300240|交通运输|一级行业|申万行业分类|
|华鹏飞|300350|交通运输|一级行业|申万行业分类|
|海晨股份|300873|交通运输|一级行业|申万行业分类|
|白云机场|600004|交通运输|一级行业|申万行业分类|
|上海机场|600009|交通运输|一级行业|申万行业分类|
|皖通高速|600012|交通运输|一级行业|申万行业分类|
|日照港|600017|交通运输|一级行业|申万行业分类|
|上港集团|600018|交通运输|一级行业|申万行业分类|
|中原高速|600020|交通运输|一级行业|申万行业分类|
|中远海能|600026|交通运输|一级行业|申万行业分类|
|南方航空|600029|交通运输|一级行业|申万行业分类|
|福建高速|600033|交通运输|一级行业|申万行业分类|
|楚天高速|600035|交通运输|一级行业|申万行业分类|
|厦门象屿|600057|交通运输|一级行业|申万行业分类|
|重庆路桥|600106|交通运输|一级行业|申万行业分类|
|中国东航|600115|交通运输|一级行业|申万行业分类|
|*ST长投|600119|交通运输|一级行业|申万行业分类|
|铁龙物流|600125|交通运输|一级行业|申万行业分类|
|建发股份|600153|交通运输|一级行业|申万行业分类|
|安通控股|600179|交通运输|一级行业|申万行业分类|
|*ST瑞茂|600180|交通运输|一级行业|申万行业分类|
|海航控股|600221|交通运输|一级行业|申万行业分类|
|圆通速递|600233|交通运输|一级行业|申万行业分类|
|赣粤高速|600269|交通运输|一级行业|申万行业分类|
|重庆港|600279|交通运输|一级行业|申万行业分类|
|山东高速|600350|交通运输|一级行业|申万行业分类|
|五洲交通|600368|交通运输|一级行业|申万行业分类|
|宁沪高速|600377|交通运输|一级行业|申万行业分类|
|中远海特|600428|交通运输|一级行业|申万行业分类|
|深高速|600548|交通运输|一级行业|申万行业分类|
|江西长运|600561|交通运输|一级行业|申万行业分类|
|广汇物流|600603|交通运输|一级行业|申万行业分类|
|大众交通|600611|交通运输|一级行业|申万行业分类|
|锦江在线|600650|交通运输|一级行业|申万行业分类|
|物产中大|600704|交通运输|一级行业|申万行业分类|
|天津港|600717|交通运输|一级行业|申万行业分类|
|海航科技|600751|交通运输|一级行业|申万行业分类|
|ST海钦|600753|交通运输|一级行业|申万行业分类|
|厦门国贸|600755|交通运输|一级行业|申万行业分类|
|中储股份|600787|交通运输|一级行业|申万行业分类|
|保税科技|600794|交通运输|一级行业|申万行业分类|
|宁波海运|600798|交通运输|一级行业|申万行业分类|
|申通地铁|600834|交通运输|一级行业|申万行业分类|
|厦门空港|600897|交通运输|一级行业|申万行业分类|
