vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万传媒行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|----------|----------|----------|----------|----------
|华数传媒|000156|传媒|一级行业|申万行业分类|
|华媒控股|000607|传媒|一级行业|申万行业分类|
|湖北广电|000665|传媒|一级行业|申万行业分类|
|智度股份|000676|传媒|一级行业|申万行业分类|
|视觉中国|000681|传媒|一级行业|申万行业分类|
|中原传媒|000719|传媒|一级行业|申万行业分类|
|ST华闻|000793|传媒|一级行业|申万行业分类|
|北京文化|000802|传媒|一级行业|申万行业分类|
|欢瑞世纪|000892|传媒|一级行业|申万行业分类|
|电广传媒|000917|传媒|一级行业|申万行业分类|
|博纳影业|001330|传媒|一级行业|申万行业分类|
|分众传媒|002027|传媒|一级行业|申万行业分类|
|生意宝|002095|传媒|一级行业|申万行业分类|
|游族网络|002174|传媒|一级行业|申万行业分类|
|天威视讯|002238|传媒|一级行业|申万行业分类|
|新华都|002264|传媒|一级行业|申万行业分类|
|遥望科技|002291|传媒|一级行业|申万行业分类|
|奥飞娱乐|002292|传媒|一级行业|申万行业分类|
|慈文传媒|002343|传媒|一级行业|申万行业分类|
|天娱数科|002354|传媒|一级行业|申万行业分类|
|省广集团|002400|传媒|一级行业|申万行业分类|
|凯撒文化|002425|传媒|一级行业|申万行业分类|
|恺英网络|002517|传媒|一级行业|申万行业分类|
|三七互娱|002555|传媒|一级行业|申万行业分类|
|巨人网络|002558|传媒|一级行业|申万行业分类|
|世纪华通|002602|传媒|一级行业|申万行业分类|
|姚记科技|002605|传媒|一级行业|申万行业分类|
|完美世界|002624|传媒|一级行业|申万行业分类|
|思美传媒|002712|传媒|一级行业|申万行业分类|
|儒意电影|002739|传媒|一级行业|申万行业分类|
|元隆雅图|002878|传媒|一级行业|申万行业分类|
|金逸影视|002905|传媒|一级行业|申万行业分类|
|名臣健康|002919|传媒|一级行业|申万行业分类|
|天地在线|002995|传媒|一级行业|申万行业分类|
|神州泰岳|300002|传媒|一级行业|申万行业分类|
|ST华谊|300027|传媒|一级行业|申万行业分类|
|宝通科技|300031|传媒|一级行业|申万行业分类|
|星辉娱乐|300043|传媒|一级行业|申万行业分类|
|中青宝|300052|传媒|一级行业|申万行业分类|
|蓝色光标|300058|传媒|一级行业|申万行业分类|
|旗天科技|300061|传媒|一级行业|申万行业分类|
|天龙集团|300063|传媒|一级行业|申万行业分类|
|福石控股|300071|传媒|一级行业|申万行业分类|
|顺网科技|300113|传媒|一级行业|申万行业分类|
|华策影视|300133|传媒|一级行业|申万行业分类|
|天舟文化|300148|传媒|一级行业|申万行业分类|
|捷成股份|300182|传媒|一级行业|申万行业分类|
|佳云科技|300242|传媒|一级行业|申万行业分类|
|光线传媒|300251|传媒|一级行业|申万行业分类|
|百纳千成|300291|传媒|一级行业|申万行业分类|
|*ST三六五|300295|传媒|一级行业|申万行业分类|
|富春股份|300299|传媒|一级行业|申万行业分类|
|掌趣科技|300315|传媒|一级行业|申万行业分类|
|中文在线|300364|传媒|一级行业|申万行业分类|
|芒果超媒|300413|传媒|一级行业|申万行业分类|
|昆仑万维|300418|传媒|一级行业|申万行业分类|
|华智数媒|300426|传媒|一级行业|申万行业分类|
|汤姆猫|300459|传媒|一级行业|申万行业分类|
|迅游科技|300467|传媒|一级行业|申万行业分类|
