vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万公用事业行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|801160.SI|申万公用事业|605580.SH|恒盛能源|-|21.45|-0.90|-4.03|-|1942.18|41574.55|2.80|60.06|0.77|16.42|电力、热力生产和供应业|2021-08-26|
|801160.SI|申万公用事业|605368.SH|蓝天燃气|-|6.87|-0.08|-1.15|-|435.93|2996.59|7.15|49.10|2.48|17.04|燃气生产和供应业|2021-02-05|
|801160.SI|申万公用事业|605169.SH|洪通燃气|-|12.51|-0.27|-2.11|-|431.26|5416.44|2.83|35.39|0.77|9.68|燃气生产和供应业|2020-11-06|
|801160.SI|申万公用事业|605162.SH|新中港|-|10.85|0.20|1.88|-|4367.69|46864.68|4.43|48.05|1.43|15.52|电力、热力生产和供应业|2021-07-14|
|801160.SI|申万公用事业|605090.SH|九丰能源|-|32.83|-0.65|-1.94|-|1081.06|35641.56|7.07|231.97|3.34|109.79|燃气生产和供应业|2021-06-01|
|801160.SI|申万公用事业|605028.SH|世茂能源|-|24.61|-0.60|-2.38|-|120.11|2958.23|1.60|39.38|0.40|9.84|电力、热力生产和供应业|2021-07-19|
|801160.SI|申万公用事业|605011.SH|杭州热电|-|19.03|1.73|10.00|-|1684.97|31173.36|4.00|76.14|0.80|15.22|电力、热力生产和供应业|2021-07-07|
|801160.SI|申万公用事业|603706.SH|东方环宇|-|17.28|-0.28|-1.59|-|134.01|2328.56|1.89|32.73|0.59|10.20|燃气生产和供应业|2018-07-16|
|801160.SI|申万公用事业|603693.SH|江苏新能|-|12.80|1.16|9.97|-|3389.69|42366.55|8.91|114.11|1.42|18.18|电力、热力生产和供应业|2018-07-10|
|801160.SI|申万公用事业|603689.SH|皖天然气|-|7.73|-0.14|-1.78|-|518.27|4028.76|5.26|40.65|1.68|13.01|燃气生产和供应业|2017-01-17|
|801160.SI|申万公用事业|603393.SH|新天然气|-|26.21|-1.04|-3.82|-|1145.93|30494.76|4.24|111.11|2.28|59.70|燃气生产和供应业|2016-09-21|
|801160.SI|申万公用事业|603318.SH|水发燃气|-|9.92|-0.43|-4.15|-|12153.20|126050.29|5.55|55.02|2.61|25.94|燃气生产和供应业|2021-12-13|
|801160.SI|申万公用事业|603105.SH|芯能科技|-|8.61|0.23|2.74|-|7221.34|63347.66|5.00|43.05|2.99|25.78|电力、热力生产和供应业|2020-11-16|
|801160.SI|申万公用事业|603080.SH|新疆火炬|-|19.82|-0.48|-2.36|-|245.22|4880.39|1.42|28.05|0.68|13.47|燃气生产和供应业|2018-01-10|
|801160.SI|申万公用事业|603071.SH|物产环能|-|12.40|-0.12|-0.96|-|277.26|3429.67|5.58|69.19|1.35|16.75|批发业|2026-07-02|
