vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万农林牧渔行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|801010.SI|申万农林牧渔|688526.SH|科前生物|-|12.48|-0.27|-2.12|-|155.73|1946.29|4.66|58.17|1.27|15.82|医药制造业|2023-09-25|
|801010.SI|申万农林牧渔|688156.SH|路德科技|-|23.88|1.03|4.51|-|645.63|14813.55|1.01|24.05|0.71|16.86|生态保护和环境治理业|2025-05-13|
|801010.SI|申万农林牧渔|688098.SH|申联生物|-|8.07|-0.03|-0.37|-|219.78|1770.98|4.11|33.14|2.33|18.78|医药制造业|2023-09-25|
|801010.SI|申万农林牧渔|605296.SH|神农集团|-|33.82|-0.29|-0.85|-|326.05|10997.00|5.26|177.97|0.64|21.57|畜牧业|2021-06-04|
|801010.SI|申万农林牧渔|605198.SH|安德利|-|78.85|3.17|4.19|-|664.50|51362.48|3.28|258.54|0.47|36.87|酒、饮料和精制茶制造业|2020-09-25|
|801010.SI|申万农林牧渔|603717.SH|天域生物|-|6.03|-0.30|-4.74|-|1417.50|8552.27|2.90|17.50|1.99|11.97|畜牧业|2025-08-13|
|801010.SI|申万农林牧渔|603668.SH|天马科技|-|12.14|-0.52|-4.11|-|1302.32|15913.27|5.06|61.40|3.54|42.98|农副食品加工业|2017-01-24|
|801010.SI|申万农林牧渔|603609.SH|禾丰股份|-|6.76|-0.07|-1.02|-|498.00|3366.36|9.04|61.11|4.19|28.30|农副食品加工业|2014-08-15|
|801010.SI|申万农林牧渔|603566.SH|普莱柯|-|10.27|-0.26|-2.47|-|259.97|2669.65|3.46|35.54|2.16|22.18|医药制造业|2015-05-25|
|801010.SI|申万农林牧渔|603477.SH|巨星农牧|-|15.61|-0.11|-0.70|-|956.09|14849.57|5.23|81.64|2.89|45.15|畜牧业|2022-01-25|
|801010.SI|申万农林牧渔|603363.SH|傲农生物|-|3.09|-0.03|-0.96|-|4087.87|12624.28|27.31|84.39|14.55|44.96|农副食品加工业|2024-12-27|
|801010.SI|申万农林牧渔|603336.SH|宏辉果蔬|-|10.09|0.92|10.03|-|3848.59|37280.51|6.09|61.42|3.22|32.48|农副食品加工业|2016-12-01|
