vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万医药生物行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|801150.SI|申万医药生物|688806.SH|泰诺麦博|-|20.11|-0.61|-2.94|-|305.09|6129.85|4.61|92.62|0.51|10.26|医药制造业|2026-07-28|
|801150.SI|申万医药生物|688805.SH|健信超导|-|38.15|-0.57|-1.47|-|89.79|3405.67|1.68|63.97|0.34|12.79|专用设备制造业|2025-12-31|
|801150.SI|申万医药生物|688799.SH|华纳药厂|-|46.21|-0.73|-1.56|-|118.33|5472.54|1.34|61.75|0.62|28.76|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688796.SH|百奥赛图|-|120.40|-2.10|-1.71|-|256.00|30407.07|4.47|538.07|0.39|46.48|研究和试验发展|2025-12-17|
|801150.SI|申万医药生物|688767.SH|博拓生物|-|36.40|-0.65|-1.75|-|124.44|4516.09|1.49|54.36|0.66|24.00|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688765.SH|禾元生物|-|35.42|-0.82|-2.26|-|225.46|7978.28|3.58|126.63|0.72|25.49|医药制造业|2025-11-04|
|801150.SI|申万医药生物|688759.SH|必贝特|-|20.25|-0.88|-4.16|-|363.23|7356.92|4.50|91.13|0.72|14.58|医药制造业|2025-11-04|
|801150.SI|申万医药生物|688758.SH|赛分科技|-|26.81|-0.69|-2.51|-|597.16|15923.56|4.16|111.65|1.89|50.68|化学原料和化学制品制造业|2025-01-17|
|801150.SI|申万医药生物|688755.SH|汉邦科技|-|24.56|-0.88|-3.46|-|89.41|2199.42|1.14|28.10|0.65|15.95|专用设备制造业|2025-05-23|
|801150.SI|申万医药生物|688739.SH|成大生物|-|19.85|-0.48|-2.36|-|254.18|5069.52|4.16|82.67|1.89|37.47|医药制造业|2023-09-25|
