vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万国防军工行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|----------|----------|----------|----------|----------
|中兵红箭|000519|国防军工|一级行业|申万行业分类|
|航天发展|000547|国防军工|一级行业|申万行业分类|
|烽火电子|000561|国防军工|一级行业|申万行业分类|
|甘化科工|000576|国防军工|一级行业|申万行业分类|
|炼石航空|000697|国防军工|一级行业|申万行业分类|
|振华科技|000733|国防军工|一级行业|申万行业分类|
|航发控制|000738|国防军工|一级行业|申万行业分类|
|中航西飞|000768|国防军工|一级行业|申万行业分类|
|铖昌科技|001270|国防军工|一级行业|申万行业分类|
|海特高新|002023|国防军工|一级行业|申万行业分类|
|航天电器|002025|国防军工|一级行业|申万行业分类|
|威海广泰|002111|国防军工|一级行业|申万行业分类|
|北斗星通|002151|国防军工|一级行业|申万行业分类|
|中航光电|002179|国防军工|一级行业|申万行业分类|
|中光学|002189|国防军工|一级行业|申万行业分类|
|大立科技|002214|国防军工|一级行业|申万行业分类|
|博云新材|002297|国防军工|一级行业|申万行业分类|
|奥普光电|002338|国防军工|一级行业|申万行业分类|
|合众思壮|002383|国防军工|一级行业|申万行业分类|
|航天彩虹|002389|国防军工|一级行业|申万行业分类|
|雷科防务|002413|国防军工|一级行业|申万行业分类|
|高德红外|002414|国防军工|一级行业|申万行业分类|
|盛路通信|002446|国防军工|一级行业|申万行业分类|
|海格通信|002465|国防军工|一级行业|申万行业分类|
|银河电子|002519|国防军工|一级行业|申万行业分类|
|光启技术|002625|国防军工|一级行业|申万行业分类|
|利君股份|002651|国防军工|一级行业|申万行业分类|
|星网宇达|002829|国防军工|一级行业|申万行业分类|
|新兴装备|002933|国防军工|一级行业|申万行业分类|
|天奥电子|002935|国防军工|一级行业|申万行业分类|
|*ST天箭|002977|国防军工|一级行业|申万行业分类|
|北摩高科|002985|国防军工|一级行业|申万行业分类|
|中天火箭|003009|国防军工|一级行业|申万行业分类|
|天海防务|300008|国防军工|一级行业|申万行业分类|
|钢研高纳|300034|国防军工|一级行业|申万行业分类|
|华力创通|300045|国防军工|一级行业|申万行业分类|
