vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万基础化工行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|801030.SI|申万基础化工Ⅰ|688722.SH|同益中|-|13.86|-0.41|-2.87|-|231.67|3214.37|2.24|31.06|0.96|13.31|化学纤维制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688718.SH|唯赛勃|-|13.42|-0.15|-1.11|-|178.26|2360.86|1.74|23.32|0.61|8.24|专用设备制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688716.SH|中研股份|-|25.62|-0.64|-2.44|-|241.09|6105.30|1.22|31.17|0.65|16.76|化学原料和化学制品制造业|2023-09-27|
|801030.SI|申万基础化工Ⅰ|688669.SH|聚石化学|-|67.23|-3.81|-5.36|-|288.14|19216.32|1.21|81.57|0.65|43.81|橡胶和塑料制品业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688659.SH|元琛科技|-|9.19|-0.40|-4.17|-|402.42|3680.14|1.60|14.70|0.78|7.21|化学原料和化学制品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688639.SH|华恒生物|-|16.62|-0.71|-4.10|-|541.77|9052.00|2.50|41.57|1.67|27.77|化学原料和化学制品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688625.SH|呈和科技|-|57.45|-1.08|-1.85|-|584.07|33286.36|2.60|149.18|0.97|55.50|化学原料和化学制品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688602.SH|康鹏科技|-|6.77|-0.03|-0.44|-|405.53|2720.76|5.19|35.16|2.60|17.57|化学原料和化学制品制造业|2025-04-28|
|801030.SI|申万基础化工Ⅰ|688598.SH|金博股份|-|31.36|-1.16|-3.57|-|1018.78|31683.80|2.08|65.09|1.77|55.52|非金属矿物制品业|2026-07-02|
|801030.SI|申万基础化工Ⅰ|688585.SH|上纬新材|-|140.28|0.32|0.23|-|227.96|31405.89|4.03|565.84|0.66|92.67|化学原料和化学制品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688571.SH|杭华股份|-|7.86|-0.26|-3.20|-|488.15|3831.52|4.24|33.34|1.69|13.29|化学原料和化学制品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688398.SH|赛特新材|-|20.27|-0.07|-0.34|-|122.83|2488.01|1.68|34.02|0.93|18.82|非金属矿物制品业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688386.SH|泛亚微透|-|44.89|-2.27|-4.81|-|276.64|12460.14|1.00|44.71|0.70|31.46|橡胶和塑料制品业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688357.SH|建龙微纳|-|24.96|-0.43|-1.69|-|55.25|1374.15|1.00|24.97|0.63|15.75|化学原料和化学制品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688350.SH|富淼科技|-|29.04|0.14|0.48|-|213.70|6079.67|1.43|41.60|0.88|25.67|化学原料和化学制品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688323.SH|瑞华泰|-|25.02|-0.31|-1.22|-|906.31|22327.47|2.00|50.14|1.17|29.35|橡胶和塑料制品业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688300.SH|联瑞新材|-|178.69|-4.68|-2.55|-|1558.48|276376.84|2.41|431.48|0.91|163.30|计算机、通信和其他电子设备制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688295.SH|中复神鹰|-|37.44|-0.54|-1.42|-|444.46|16512.66|9.00|336.96|1.28|47.85|化学纤维制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688269.SH|凯立新材|-|26.12|-0.41|-1.55|-|155.00|4000.66|1.31|34.14|0.96|24.98|化学原料和化学制品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688267.SH|中触媒|-|19.93|0.30|1.53|-|377.86|7389.59|2.28|45.47|1.26|25.18|化学原料和化学制品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688219.SH|会通股份|-|10.07|-0.17|-1.66|-|472.72|4768.67|5.49|55.25|3.21|32.35|橡胶和塑料制品业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688203.SH|海正生材|-|14.01|-0.62|-4.24|-|662.41|9288.83|2.03|28.40|1.00|14.01|化学纤维制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688199.SH|久日新材|-|22.60|-0.49|-2.12|-|391.16|8815.03|1.61|36.44|1.26|28.41|化学原料和化学制品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688196.SH|卓越新能|-|35.70|-0.66|-1.82|-|339.86|12419.66|1.27|45.41|0.41|14.64|废弃资源综合利用业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688179.SH|阿拉丁|-|18.57|-0.38|-2.01|-|672.40|12332.22|3.63|67.37|2.17|40.27|研究和试验发展|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688157.SH|松井股份|-|18.21|-0.33|-1.78|-|287.90|5183.46|1.88|34.18|0.88|16.00|化学原料和化学制品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688133.SH|泰坦科技|-|19.43|-0.90|-4.43|-|570.84|11093.83|1.64|31.95|1.11|21.64|研究和试验发展|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688129.SH|东来技术|-|20.60|-0.40|-1.90|-|120.62|2465.86|1.20|24.82|0.42|8.63|化学原料和化学制品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688089.SH|ST嘉必优|-|8.59|-0.23|-2.61|-|203.49|1766.21|1.66|14.29|0.87|7.49|食品制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|688065.SH|凯赛生物|-|39.86|0.26|0.66|-|1203.89|47713.02|7.21|287.51|3.11|124.15|化学纤维制造业|2023-09-25|
|801030.SI|申万基础化工Ⅰ|605589.SH|圣泉集团|-|38.06|-0.46|-1.19|-|2199.01|82695.82|8.46|322.13|6.24|237.53|化学原料和化学制品制造业|2021-08-17|
|801030.SI|申万基础化工Ⅰ|605566.SH|福莱蒽特|-|25.73|-0.94|-3.52|-|343.05|8781.25|1.33|34.31|0.58|15.04|化学原料和化学制品制造业|2021-11-01|
|801030.SI|申万基础化工Ⅰ|605488.SH|福莱新材|-|27.85|-1.03|-3.57|-|556.07|15474.06|3.00|83.55|1.45|40.36|橡胶和塑料制品业|2021-05-20|
|801030.SI|申万基础化工Ⅰ|605399.SH|晨光新材|-|11.18|-0.28|-2.44|-|264.20|2947.39|3.11|34.81|1.08|12.13|化学原料和化学制品制造业|2020-08-11|
|801030.SI|申万基础化工Ⅰ|605366.SH|宏柏新材|-|8.06|0.01|0.12|-|1932.13|15295.12|7.73|62.29|4.25|34.26|化学原料和化学制品制造业|2020-08-19|
|801030.SI|申万基础化工Ⅰ|605183.SH|确成股份|-|15.86|0.10|0.63|-|302.46|4734.96|4.15|65.85|1.33|21.15|化学原料和化学制品制造业|2020-12-14|
|801030.SI|申万基础化工Ⅰ|605166.SH|聚合顺|-|8.34|-0.25|-2.91|-|480.25|4011.89|3.15|26.25|2.08|17.34|化学原料和化学制品制造业|2020-06-29|
|801030.SI|申万基础化工Ⅰ|605086.SH|龙高股份|-|23.02|-0.77|-3.24|-|127.58|2940.89|1.79|41.25|0.26|5.88|非金属矿采选业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|605077.SH|华康股份|-|12.25|-0.58|-4.52|-|3029.21|37203.22|3.03|37.08|2.00|24.49|食品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|605033.SH|美邦股份|-|18.90|-0.55|-2.83|-|325.76|6137.79|1.35|25.55|0.38|7.15|化学原料和化学制品制造业|2021-09-27|
|801030.SI|申万基础化工Ⅰ|605020.SH|永和股份|-|30.76|-0.94|-2.97|-|977.58|29848.58|5.11|157.13|2.88|88.53|化学原料和化学制品制造业|2021-07-16|
|801030.SI|申万基础化工Ⅰ|605016.SH|百龙创园|-|21.17|-0.42|-1.95|-|297.07|6300.45|4.20|88.92|1.84|38.92|食品制造业|2021-12-13|
|801030.SI|申万基础化工Ⅰ|605008.SH|长鸿高科|-|14.03|0.04|0.29|-|366.45|5140.13|6.46|90.63|1.13|15.85|化学原料和化学制品制造业|2020-08-28|
|801030.SI|申万基础化工Ⅰ|603980.SH|吉华集团|-|7.92|-0.23|-2.82|-|7219.16|56919.34|6.77|53.61|3.84|30.42|化学原料和化学制品制造业|2017-06-22|
|801030.SI|申万基础化工Ⅰ|603977.SH|国泰集团|-|11.53|-0.27|-2.29|-|633.94|7301.84|6.21|71.63|3.06|35.31|化学原料和化学制品制造业|2018-07-16|
|801030.SI|申万基础化工Ⅰ|603970.SH|中农立华|-|11.08|-0.33|-2.89|-|481.74|5356.27|2.69|29.78|1.08|12.00|批发业|2017-11-23|
|801030.SI|申万基础化工Ⅰ|603968.SH|醋化股份|-|10.60|-0.24|-2.21|-|303.84|3196.64|2.04|21.67|1.06|11.20|化学原料和化学制品制造业|2015-05-25|
