vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万建筑装饰行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|----------|----------|----------|----------|----------
|*ST美丽|000010|建筑装饰|一级行业|申万行业分类|
|深桑达A|000032|建筑装饰|一级行业|申万行业分类|
|北方国际|000065|建筑装饰|一级行业|申万行业分类|
|山东路桥|000498|建筑装饰|一级行业|申万行业分类|
|高新发展|000628|建筑装饰|一级行业|申万行业分类|
|甘咨询|000779|建筑装饰|一级行业|申万行业分类|
|中钢国际|000928|建筑装饰|一级行业|申万行业分类|
|誉帆科技|001396|建筑装饰|一级行业|申万行业分类|
|宝鹰股份|002047|建筑装饰|一级行业|申万行业分类|
|中工国际|002051|建筑装饰|一级行业|申万行业分类|
|广东建工|002060|建筑装饰|一级行业|申万行业分类|
|浙江交科|002061|建筑装饰|一级行业|申万行业分类|
|宏润建设|002062|建筑装饰|一级行业|申万行业分类|
|金螳螂|002081|建筑装饰|一级行业|申万行业分类|
|中国海诚|002116|建筑装饰|一级行业|申万行业分类|
|东南网架|002135|建筑装饰|一级行业|申万行业分类|
|东华科技|002140|建筑装饰|一级行业|申万行业分类|
|海南发展|002163|建筑装饰|一级行业|申万行业分类|
|交投生态|002200|建筑装饰|一级行业|申万行业分类|
|北新路桥|002307|建筑装饰|一级行业|申万行业分类|
|*ST雅博|002323|建筑装饰|一级行业|申万行业分类|
|亚厦股份|002375|建筑装饰|一级行业|申万行业分类|
|ST棕榈|002431|建筑装饰|一级行业|申万行业分类|
|三维化学|002469|建筑装饰|一级行业|申万行业分类|
|广田集团|002482|建筑装饰|一级行业|申万行业分类|
|鸿路钢构|002541|建筑装饰|一级行业|申万行业分类|
|*ST中岩|002542|建筑装饰|一级行业|申万行业分类|
|围海股份|002586|建筑装饰|一级行业|申万行业分类|
|日上集团|002593|建筑装饰|一级行业|申万行业分类|
|*ST瑞和|002620|建筑装饰|一级行业|申万行业分类|
|成都路桥|002628|建筑装饰|一级行业|申万行业分类|
|普邦股份|002663|建筑装饰|一级行业|申万行业分类|
|东易日盛|002713|建筑装饰|一级行业|申万行业分类|
|*ST岭南|002717|建筑装饰|一级行业|申万行业分类|
|ST富煌|002743|建筑装饰|一级行业|申万行业分类|
|浙江建投|002761|建筑装饰|一级行业|申万行业分类|
|文科股份|002775|建筑装饰|一级行业|申万行业分类|
|*ST建艺|002789|建筑装饰|一级行业|申万行业分类|
|郑中设计|002811|建筑装饰|一级行业|申万行业分类|
|ST中装|002822|建筑装饰|一级行业|申万行业分类|
|名雕股份|002830|建筑装饰|一级行业|申万行业分类|
|*ST美芝|002856|建筑装饰|一级行业|申万行业分类|
|*ST中设|002883|建筑装饰|一级行业|申万行业分类|
|新疆交建|002941|建筑装饰|一级行业|申万行业分类|
|华阳国际|002949|建筑装饰|一级行业|申万行业分类|
|豪尔赛|002963|建筑装饰|一级行业|申万行业分类|
|中天精装|002989|建筑装饰|一级行业|申万行业分类|
|中岩大地|003001|建筑装饰|一级行业|申万行业分类|
|地铁设计|003013|建筑装饰|一级行业|申万行业分类|
|节能铁汉|300197|建筑装饰|一级行业|申万行业分类|
|苏交科|300284|建筑装饰|一级行业|申万行业分类|
|蒙草生态|300355|建筑装饰|一级行业|申万行业分类|
|三联虹普|300384|建筑装饰|一级行业|申万行业分类|
|启迪设计|300500|建筑装饰|一级行业|申万行业分类|
|名家汇|300506|建筑装饰|一级行业|申万行业分类|
