vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万有色金属行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|----------|----------|----------|----------|----------
|中金岭南|000060|有色金属|一级行业|申万行业分类|
|兴业银锡|000426|有色金属|一级行业|申万行业分类|
|招金黄金|000506|有色金属|一级行业|申万行业分类|
|盛达资源|000603|有色金属|一级行业|申万行业分类|
|焦作万方|000612|有色金属|一级行业|申万行业分类|
|铜陵有色|000630|有色金属|一级行业|申万行业分类|
|合金投资|000633|有色金属|一级行业|申万行业分类|
|中钨高新|000657|有色金属|一级行业|申万行业分类|
|国城矿业|000688|有色金属|一级行业|申万行业分类|
|北方铜业|000737|有色金属|一级行业|申万行业分类|
|锌业股份|000751|有色金属|一级行业|申万行业分类|
|中色股份|000758|有色金属|一级行业|申万行业分类|
|西藏矿业|000762|有色金属|一级行业|申万行业分类|
|英洛华|000795|有色金属|一级行业|申万行业分类|
|云铝股份|000807|有色金属|一级行业|申万行业分类|
|中国稀土|000831|有色金属|一级行业|申万行业分类|
|云南铜业|000878|有色金属|一级行业|申万行业分类|
|神火股份|000933|有色金属|一级行业|申万行业分类|
|锡业股份|000960|有色金属|一级行业|申万行业分类|
|东方钽业|000962|有色金属|一级行业|申万行业分类|
|安泰科技|000969|有色金属|一级行业|申万行业分类|
|中科三环|000970|有色金属|一级行业|申万行业分类|
|山金国际|000975|有色金属|一级行业|申万行业分类|
|盛龙股份|001257|有色金属|一级行业|申万行业分类|
|中国铀业|001280|有色金属|一级行业|申万行业分类|
|四川黄金|001337|有色金属|一级行业|申万行业分类|
|罗平锌电|002114|有色金属|一级行业|申万行业分类|
|西部材料|002149|有色金属|一级行业|申万行业分类|
|湖南黄金|002155|有色金属|一级行业|申万行业分类|
|常铝股份|002160|有色金属|一级行业|申万行业分类|
|东方锆业|002167|有色金属|一级行业|申万行业分类|
|楚江新材|002171|有色金属|一级行业|申万行业分类|
|宝武镁业|002182|有色金属|一级行业|申万行业分类|
|融捷股份|002192|有色金属|一级行业|申万行业分类|
|海亮股份|002203|有色金属|一级行业|申万行业分类|
|恒邦股份|002237|有色金属|一级行业|申万行业分类|
|盛新锂能|002240|有色金属|一级行业|申万行业分类|
|精艺股份|002295|有色金属|一级行业|申万行业分类|
|章源钨业|002378|有色金属|一级行业|申万行业分类|
|宏桥控股|002379|有色金属|一级行业|申万行业分类|
|云南锗业|002428|有色金属|一级行业|申万行业分类|
|赣锋锂业|002460|有色金属|一级行业|申万行业分类|
|天齐锂业|002466|有色金属|一级行业|申万行业分类|
|*ST利源|002501|有色金属|一级行业|申万行业分类|
|天山铝业|002532|有色金属|一级行业|申万行业分类|
|亚太科技|002540|有色金属|一级行业|申万行业分类|
|闽发铝业|002578|有色金属|一级行业|申万行业分类|
|湖南白银|002716|有色金属|一级行业|申万行业分类|
|中矿资源|002738|有色金属|一级行业|申万行业分类|
|永兴材料|002756|有色金属|一级行业|申万行业分类|
|和胜股份|002824|有色金属|一级行业|申万行业分类|
|翔鹭钨业|002842|有色金属|一级行业|申万行业分类|
|安宁股份|002978|有色金属|一级行业|申万行业分类|
|豪美新材|002988|有色金属|一级行业|申万行业分类|
|顺博合金|002996|有色金属|一级行业|申万行业分类|
|鑫铂股份|003038|有色金属|一级行业|申万行业分类|
|万顺新材|300057|有色金属|一级行业|申万行业分类|
