vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万机械设备行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|----------|----------|----------|----------|----------
|神州高铁|000008|机械设备|一级行业|申万行业分类|
|中集集团|000039|机械设备|一级行业|申万行业分类|
|中联重科|000157|机械设备|一级行业|申万行业分类|
|沈阳机床|000410|机械设备|一级行业|申万行业分类|
|徐工机械|000425|机械设备|一级行业|申万行业分类|
|柳工|000528|机械设备|一级行业|申万行业分类|
|冰山冷热|000530|机械设备|一级行业|申万行业分类|
|山推股份|000680|机械设备|一级行业|申万行业分类|
|中核科技|000777|机械设备|一级行业|申万行业分类|
|冰轮环境|000811|机械设备|一级行业|申万行业分类|
|秦川机床|000837|机械设备|一级行业|申万行业分类|
|石化机械|000852|机械设备|一级行业|申万行业分类|
|冀东装备|000856|机械设备|一级行业|申万行业分类|
|潍柴重机|000880|机械设备|一级行业|申万行业分类|
|众合科技|000925|机械设备|一级行业|申万行业分类|
|中国铁物|000927|机械设备|一级行业|申万行业分类|
|华工科技|000988|机械设备|一级行业|申万行业分类|
|欧克科技|001223|机械设备|一级行业|申万行业分类|
|和泰机电|001225|机械设备|一级行业|申万行业分类|
|拓山重工|001226|机械设备|一级行业|申万行业分类|
|惠康科技|001237|机械设备|一级行业|申万行业分类|
|永达股份|001239|机械设备|一级行业|申万行业分类|
|炜冈科技|001256|机械设备|一级行业|申万行业分类|
|宏英智能|001266|机械设备|一级行业|申万行业分类|
|速达股份|001277|机械设备|一级行业|申万行业分类|
|运机集团|001288|机械设备|一级行业|申万行业分类|
|夏厦精密|001306|机械设备|一级行业|申万行业分类|
|长青科技|001324|机械设备|一级行业|申万行业分类|
|锡装股份|001332|机械设备|一级行业|申万行业分类|
|南矿集团|001360|机械设备|一级行业|申万行业分类|
|腾达科技|001379|机械设备|一级行业|申万行业分类|
|亚联机械|001395|机械设备|一级行业|申万行业分类|
|江顺科技|001400|机械设备|一级行业|申万行业分类|
|宗申动力|001696|机械设备|一级行业|申万行业分类|
|精工科技|002006|机械设备|一级行业|申万行业分类|
|大族激光|002008|机械设备|一级行业|申万行业分类|
|天奇股份|002009|机械设备|一级行业|申万行业分类|
|中捷资源|002021|机械设备|一级行业|申万行业分类|
|山东威达|002026|机械设备|一级行业|申万行业分类|
|巨轮智能|002031|机械设备|一级行业|申万行业分类|
|国机精工|002046|机械设备|一级行业|申万行业分类|
|软控股份|002073|机械设备|一级行业|申万行业分类|
|山河智能|002097|机械设备|一级行业|申万行业分类|
|ST汇洲|002122|机械设备|一级行业|申万行业分类|
|利欧股份|002131|机械设备|一级行业|申万行业分类|
|恒星科技|002132|机械设备|一级行业|申万行业分类|
|汉钟精机|002158|机械设备|一级行业|申万行业分类|
|宁波东力|002164|机械设备|一级行业|申万行业分类|
|*ST东智|002175|机械设备|一级行业|申万行业分类|
|海得控制|002184|机械设备|一级行业|申万行业分类|
|大连重工|002204|机械设备|一级行业|申万行业分类|
|达意隆|002209|机械设备|一级行业|申万行业分类|
|华东数控|002248|机械设备|一级行业|申万行业分类|
|川润股份|002272|机械设备|一级行业|申万行业分类|
|神开股份|002278|机械设备|一级行业|申万行业分类|
|博深股份|002282|机械设备|一级行业|申万行业分类|
|英威腾|002334|机械设备|一级行业|申万行业分类|
|赛象科技|002337|机械设备|一级行业|申万行业分类|
|巨力索具|002342|机械设备|一级行业|申万行业分类|
|泰尔股份|002347|机械设备|一级行业|申万行业分类|
|杰瑞股份|002353|机械设备|一级行业|申万行业分类|
|康力电梯|002367|机械设备|一级行业|申万行业分类|
|江苏神通|002438|机械设备|一级行业|申万行业分类|
|巨星科技|002444|机械设备|一级行业|申万行业分类|
|中南文化|002445|机械设备|一级行业|申万行业分类|
|润邦股份|002483|机械设备|一级行业|申万行业分类|
|山东墨龙|002490|机械设备|一级行业|申万行业分类|
|*ST宝馨|002514|机械设备|一级行业|申万行业分类|
|日发精机|002520|机械设备|一级行业|申万行业分类|
|天桥起重|002523|机械设备|一级行业|申万行业分类|
|山东矿机|002526|机械设备|一级行业|申万行业分类|
|新时达|002527|机械设备|一级行业|申万行业分类|
|海源复材|002529|机械设备|一级行业|申万行业分类|
|金财互联|002530|机械设备|一级行业|申万行业分类|
|林州重机|002535|机械设备|一级行业|申万行业分类|
|亚威股份|002559|机械设备|一级行业|申万行业分类|
|天沃科技|002564|机械设备|一级行业|申万行业分类|
|豪迈科技|002595|机械设备|一级行业|申万行业分类|
|ST章鼓|002598|机械设备|一级行业|申万行业分类|
|东方精工|002611|机械设备|一级行业|申万行业分类|
|申科股份|002633|机械设备|一级行业|申万行业分类|
|雪人集团|002639|机械设备|一级行业|申万行业分类|
|*ST威领|002667|机械设备|一级行业|申万行业分类|
|华东重机|002685|机械设备|一级行业|申万行业分类|
|亿利达|002686|机械设备|一级行业|申万行业分类|
|ST远智|002689|机械设备|一级行业|申万行业分类|
|美亚光电|002690|机械设备|一级行业|申万行业分类|
|*ST冀凯|002691|机械设备|一级行业|申万行业分类|
|博实股份|002698|机械设备|一级行业|申万行业分类|
|物产金轮|002722|机械设备|一级行业|申万行业分类|
|电光科技|002730|机械设备|一级行业|申万行业分类|
|埃斯顿|002747|机械设备|一级行业|申万行业分类|
|南兴股份|002757|机械设备|一级行业|申万行业分类|
|凤形股份|002760|机械设备|一级行业|申万行业分类|
|先锋电子|002767|机械设备|一级行业|申万行业分类|
|快意电梯|002774|机械设备|一级行业|申万行业分类|
|中坚科技|002779|机械设备|一级行业|申万行业分类|
|银宝山新|002786|机械设备|一级行业|申万行业分类|
|永和智控|002795|机械设备|一级行业|申万行业分类|
|*ST和科|002816|机械设备|一级行业|申万行业分类|
|东方中科|002819|机械设备|一级行业|申万行业分类|
|弘亚数控|002833|机械设备|一级行业|申万行业分类|
|英维克|002837|机械设备|一级行业|申万行业分类|
|泰嘉股份|002843|机械设备|一级行业|申万行业分类|
|威星智能|002849|机械设备|一级行业|申万行业分类|
|伟隆股份|002871|机械设备|一级行业|申万行业分类|
|智能自控|002877|机械设备|一级行业|申万行业分类|
|凌霄泵业|002884|机械设备|一级行业|申万行业分类|
|弘宇股份|002890|机械设备|一级行业|申万行业分类|
|中大力德|002896|机械设备|一级行业|申万行业分类|
|宇环数控|002903|机械设备|一级行业|申万行业分类|
|锋龙股份|002931|机械设备|一级行业|申万行业分类|
|宇晶股份|002943|机械设备|一级行业|申万行业分类|
|科瑞技术|002957|机械设备|一级行业|申万行业分类|
|青鸟智控|002960|机械设备|一级行业|申万行业分类|
|科安达|002972|机械设备|一级行业|申万行业分类|
|博杰股份|002975|机械设备|一级行业|申万行业分类|
|雷赛智能|002979|机械设备|一级行业|申万行业分类|
|思进智能|003025|机械设备|一级行业|申万行业分类|
|泰坦股份|003036|机械设备|一级行业|申万行业分类|
|南风股份|300004|机械设备|一级行业|申万行业分类|
|汉威科技|300007|机械设备|一级行业|申万行业分类|
|鼎汉技术|300011|机械设备|一级行业|申万行业分类|
|机器人|300024|机械设备|一级行业|申万行业分类|
|合康新能|300048|机械设备|一级行业|申万行业分类|
|三川智慧|300066|机械设备|一级行业|申万行业分类|
|创世纪|300083|机械设备|一级行业|申万行业分类|
|海默科技|300084|机械设备|一级行业|申万行业分类|
|*ST金灵|300091|机械设备|一级行业|申万行业分类|
|科新机电|300092|机械设备|一级行业|申万行业分类|
|华伍股份|300095|机械设备|一级行业|申万行业分类|
|智云股份|300097|机械设备|一级行业|申万行业分类|
|尤洛卡|300099|机械设备|一级行业|申万行业分类|
|达刚控股|300103|机械设备|一级行业|申万行业分类|
|万讯自控|300112|机械设备|一级行业|申万行业分类|
|汇川技术|300124|机械设备|一级行业|申万行业分类|
|锐奇股份|300126|机械设备|一级行业|申万行业分类|
|南方泵业|300145|机械设备|一级行业|申万行业分类|
|昌红科技|300151|机械设备|一级行业|申万行业分类|
|瑞凌股份|300154|机械设备|一级行业|申万行业分类|
|新锦动力|300157|机械设备|一级行业|申万行业分类|
|新研股份|300159|机械设备|一级行业|申万行业分类|
|华中数控|300161|机械设备|一级行业|申万行业分类|
|天瑞仪器|300165|机械设备|一级行业|申万行业分类|
|四方达|300179|机械设备|一级行业|申万行业分类|
|佳士科技|300193|机械设备|一级行业|申万行业分类|
