vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万汽车行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|----------|----------|----------|----------|----------
|富奥股份|000030|汽车|一级行业|申万行业分类|
|潍柴动力|000338|汽车|一级行业|申万行业分类|
|江铃汽车|000550|汽车|一级行业|申万行业分类|
|万向钱潮|000559|汽车|一级行业|申万行业分类|
|苏常柴A|000570|汽车|一级行业|申万行业分类|
|海马汽车|000572|汽车|一级行业|申万行业分类|
|威孚高科|000581|汽车|一级行业|申万行业分类|
|贵州轮胎|000589|汽车|一级行业|申万行业分类|
|青岛双星|000599|汽车|一级行业|申万行业分类|
|长安汽车|000625|汽车|一级行业|申万行业分类|
|襄阳轴承|000678|汽车|一级行业|申万行业分类|
|模塑科技|000700|汽车|一级行业|申万行业分类|
|浩物股份|000757|汽车|一级行业|申万行业分类|
|一汽解放|000800|汽车|一级行业|申万行业分类|
|智慧农业|000816|汽车|一级行业|申万行业分类|
|安凯客车|000868|汽车|一级行业|申万行业分类|
|中鼎股份|000887|汽车|一级行业|申万行业分类|
|航天科技|000901|汽车|一级行业|申万行业分类|
|ST云动|000903|汽车|一级行业|申万行业分类|
|钱江摩托|000913|汽车|一级行业|申万行业分类|
|中国重汽|000951|汽车|一级行业|申万行业分类|
|中通客车|000957|汽车|一级行业|申万行业分类|
|众泰汽车|000980|汽车|一级行业|申万行业分类|
|山子高科|000981|汽车|一级行业|申万行业分类|
|海安集团|001233|汽车|一级行业|申万行业分类|
|坤泰股份|001260|汽车|一级行业|申万行业分类|
|一彬科技|001278|汽车|一级行业|申万行业分类|
|三联锻造|001282|汽车|一级行业|申万行业分类|
|瑞立科密|001285|汽车|一级行业|申万行业分类|
|多利科技|001311|汽车|一级行业|申万行业分类|
|铭科精技|001319|汽车|一级行业|申万行业分类|
|天海电子|001365|汽车|一级行业|申万行业分类|
|华纬科技|001380|汽车|一级行业|申万行业分类|
|宁波华翔|002048|汽车|一级行业|申万行业分类|
|万丰奥威|002085|汽车|一级行业|申万行业分类|
|广东鸿图|002101|汽车|一级行业|申万行业分类|
|信隆健康|002105|汽车|一级行业|申万行业分类|
|银轮股份|002126|汽车|一级行业|申万行业分类|
|成飞集成|002190|汽车|一级行业|申万行业分类|
|奥特佳|002239|汽车|一级行业|申万行业分类|
|建设工业|002265|汽车|一级行业|申万行业分类|
|天润工业|002283|汽车|一级行业|申万行业分类|
|亚太股份|002284|汽车|一级行业|申万行业分类|
|新朋股份|002328|汽车|一级行业|申万行业分类|
|兴民智通|002355|汽车|一级行业|申万行业分类|
|隆基机械|002363|汽车|一级行业|申万行业分类|
|远东传动|002406|汽车|一级行业|申万行业分类|
|万里扬|002434|汽车|一级行业|申万行业分类|
|中原内配|002448|汽车|一级行业|申万行业分类|
|松芝股份|002454|汽车|一级行业|申万行业分类|
|双环传动|002472|汽车|一级行业|申万行业分类|
|金固股份|002488|汽车|一级行业|申万行业分类|
|天汽模|002510|汽车|一级行业|申万行业分类|
|旷达科技|002516|汽车|一级行业|申万行业分类|
|飞龙股份|002536|汽车|一级行业|申万行业分类|
|海联金汇|002537|汽车|一级行业|申万行业分类|
|*ST春兴|002547|汽车|一级行业|申万行业分类|
|南方精工|002553|汽车|一级行业|申万行业分类|
|万安科技|002590|汽车|一级行业|申万行业分类|
|ST八菱|002592|汽车|一级行业|申万行业分类|
|比亚迪|002594|汽车|一级行业|申万行业分类|
|峰璟股份|002662|汽车|一级行业|申万行业分类|
|信质集团|002664|汽车|一级行业|申万行业分类|
|浙江世宝|002703|汽车|一级行业|申万行业分类|
|光洋股份|002708|汽车|一级行业|申万行业分类|
|登云股份|002715|汽车|一级行业|申万行业分类|
|跃岭股份|002725|汽车|一级行业|申万行业分类|
|蓝黛科技|002765|汽车|一级行业|申万行业分类|
|索菱股份|002766|汽车|一级行业|申万行业分类|
|华锋股份|002806|汽车|一级行业|申万行业分类|
|路畅科技|002813|汽车|一级行业|申万行业分类|
|今飞凯达|002863|汽车|一级行业|申万行业分类|
|香山股份|002870|汽车|一级行业|申万行业分类|
|华阳集团|002906|汽车|一级行业|申万行业分类|
|联诚精密|002921|汽车|一级行业|申万行业分类|
|兴瑞科技|002937|汽车|一级行业|申万行业分类|
