vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万煤炭行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|801950.SI|申万煤炭|601918.SH|新集能源|-|10.40|-0.07|-0.67|-|3131.34|32739.64|25.91|269.42|12.90|134.12|煤炭开采和洗选业|2007-12-26|
|801950.SI|申万煤炭|601898.SH|中煤能源|-|14.73|-0.20|-1.34|-|5058.29|75222.82|132.59|1953.00|14.05|206.95|煤炭开采和洗选业|2008-02-15|
|801950.SI|申万煤炭|601699.SH|潞安环能|-|15.72|-0.53|-3.26|-|4139.54|65463.03|29.91|470.25|10.70|168.17|煤炭开采和洗选业|2006-09-29|
|801950.SI|申万煤炭|601666.SH|平煤股份|-|9.29|-0.24|-2.52|-|1867.92|17481.71|24.69|229.40|11.86|110.17|煤炭开采和洗选业|2006-11-30|
|801950.SI|申万煤炭|601225.SH|陕西煤业|-|26.05|-0.04|-0.15|-|4150.23|108329.79|96.95|2525.55|28.53|743.20|煤炭开采和洗选业|2014-02-11|
|801950.SI|申万煤炭|601101.SH|昊华能源|-|13.25|-0.37|-2.72|-|2494.57|33471.62|14.40|190.80|4.77|63.21|煤炭开采和洗选业|2010-04-08|
|801950.SI|申万煤炭|601088.SH|中国神华|-|47.51|0.23|0.49|-|3047.94|145095.13|216.89|10304.65|24.39|1158.71|煤炭开采和洗选业|2007-10-16|
|801950.SI|申万煤炭|601015.SH|陕西黑猫|-|3.77|-0.19|-4.80|-|8919.85|33993.47|20.42|77.00|7.93|29.91|石油加工、炼焦和核燃料加工业|2014-11-12|
|801950.SI|申万煤炭|601011.SH|宝泰隆|-|2.98|-0.13|-4.18|-|5596.22|16780.28|19.16|57.09|13.09|39.01|石油加工、炼焦和核燃料加工业|2011-03-16|
|801950.SI|申万煤炭|601001.SH|晋控煤业|-|16.63|-0.39|-2.29|-|2040.30|34233.60|16.74|278.34|6.75|112.21|煤炭开采和洗选业|2006-06-30|
|801950.SI|申万煤炭|600997.SH|开滦股份|-|5.36|-0.20|-3.60|-|1276.02|6901.53|15.88|85.11|4.83|25.90|石油加工、炼焦和核燃料加工业|2004-06-09|
|801950.SI|申万煤炭|600985.SH|淮北矿业|-|16.71|-0.49|-2.85|-|1883.64|31726.36|26.93|450.04|8.93|149.27|煤炭开采和洗选业|2004-05-12|
|801950.SI|申万煤炭|600971.SH|恒源煤电|-|8.62|-0.12|-1.37|-|1900.95|16550.77|12.00|103.44|5.40|46.59|煤炭开采和洗选业|2004-08-24|
|801950.SI|申万煤炭|600925.SH|苏能股份|-|4.20|-0.08|-1.87|-|1297.02|5471.40|68.89|289.33|7.68|32.27|煤炭开采和洗选业|2023-04-06|
