vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万环保行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|----------|----------|----------|----------|----------
|中国天楹|000035|环保|一级行业|申万行业分类|
|华控赛格|000068|环保|一级行业|申万行业分类|
|中原环保|000544|环保|一级行业|申万行业分类|
|金圆股份|000546|环保|一级行业|申万行业分类|
|创元科技|000551|环保|一级行业|申万行业分类|
|兴蓉环境|000598|环保|一级行业|申万行业分类|
|渤海股份|000605|环保|一级行业|申万行业分类|
|中山公用|000685|环保|一级行业|申万行业分类|
|京蓝科技|000711|环保|一级行业|申万行业分类|
|山高环能|000803|环保|一级行业|申万行业分类|
|神雾节能|000820|环保|一级行业|申万行业分类|
|*ST启环|000826|环保|一级行业|申万行业分类|
|城发环境|000885|环保|一级行业|申万行业分类|
|法尔胜|000890|环保|一级行业|申万行业分类|
|盈峰环境|000967|环保|一级行业|申万行业分类|
|劲旅环境|001230|环保|一级行业|申万行业分类|
|楚环科技|001336|环保|一级行业|申万行业分类|
|旺能环境|002034|环保|一级行业|申万行业分类|
|飞马国际|002210|环保|一级行业|申万行业分类|
|浙富控股|002266|环保|一级行业|申万行业分类|
|清新环境|002573|环保|一级行业|申万行业分类|
|华宏科技|002645|环保|一级行业|申万行业分类|
|雪迪龙|002658|环保|一级行业|申万行业分类|
|东江环保|002672|环保|一级行业|申万行业分类|
|中晟高科|002778|环保|一级行业|申万行业分类|
|绿茵生态|002887|环保|一级行业|申万行业分类|
|侨银股份|002973|环保|一级行业|申万行业分类|
|同兴科技|003027|环保|一级行业|申万行业分类|
|顺控发展|003039|环保|一级行业|申万行业分类|
|中创环保|300056|环保|一级行业|申万行业分类|
|碧水源|300070|环保|一级行业|申万行业分类|
|龙源技术|300105|环保|一级行业|申万行业分类|
|先河环保|300137|环保|一级行业|申万行业分类|
|节能环境|300140|环保|一级行业|申万行业分类|
|*ST动力|300152|环保|一级行业|申万行业分类|
|中电环保|300172|环保|一级行业|申万行业分类|
|永清环保|300187|环保|一级行业|申万行业分类|
|维尔利|300190|环保|一级行业|申万行业分类|
|聚光科技|300203|环保|一级行业|申万行业分类|
|森远股份|300210|环保|一级行业|申万行业分类|
|兴源环境|300266|环保|一级行业|申万行业分类|
|津膜科技|300334|环保|一级行业|申万行业分类|
|ST雪浪|300385|环保|一级行业|申万行业分类|
|节能国祯|300388|环保|一级行业|申万行业分类|
|博世科|300422|环保|一级行业|申万行业分类|
|中建环能|300425|环保|一级行业|申万行业分类|
|清水源|300437|环保|一级行业|申万行业分类|
|百川畅银|300614|环保|一级行业|申万行业分类|
|久吾高科|300631|环保|一级行业|申万行业分类|
