vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万电力设备行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|----------|----------|----------|----------|----------
|中国宝安|000009|电力设备|一级行业|申万行业分类|
|德赛电池|000049|电力设备|一级行业|申万行业分类|
|国际实业|000159|电力设备|一级行业|申万行业分类|
|许继电气|000400|电力设备|一级行业|申万行业分类|
|顺钠股份|000533|电力设备|一级行业|申万行业分类|
|东方电子|000682|电力设备|一级行业|申万行业分类|
|滨海能源|000695|电力设备|一级行业|申万行业分类|
|新能泰山|000720|电力设备|一级行业|申万行业分类|
|和展能源|000809|电力设备|一级行业|申万行业分类|
|ST京机|000821|电力设备|一级行业|申万行业分类|
|佳电股份|000922|电力设备|一级行业|申万行业分类|
|华菱线缆|001208|电力设备|一级行业|申万行业分类|
|欧晶科技|001269|电力设备|一级行业|申万行业分类|
|豪鹏科技|001283|电力设备|一级行业|申万行业分类|
|尚太科技|001301|电力设备|一级行业|申万行业分类|
|新亚电缆|001382|电力设备|一级行业|申万行业分类|
|信通电子|001388|电力设备|一级行业|申万行业分类|
|维通利|001393|电力设备|一级行业|申万行业分类|
|思源电气|002028|电力设备|一级行业|申万行业分类|
|同洲电子|002052|电力设备|一级行业|申万行业分类|
|横店东磁|002056|电力设备|一级行业|申万行业分类|
|紫竹高科|002058|电力设备|一级行业|申万行业分类|
|国轩高科|002074|电力设备|一级行业|申万行业分类|
|苏州固锝|002079|电力设备|一级行业|申万行业分类|
|金智科技|002090|电力设备|一级行业|申万行业分类|
|三变科技|002112|电力设备|一级行业|申万行业分类|
|科陆电子|002121|电力设备|一级行业|申万行业分类|
|湘潭电化|002125|电力设备|一级行业|申万行业分类|
|TCL中环|002129|电力设备|一级行业|申万行业分类|
|正泰电源|002150|电力设备|一级行业|申万行业分类|
|ST惠程|002168|电力设备|一级行业|申万行业分类|
|智光电气|002169|电力设备|一级行业|申万行业分类|
|江特电机|002176|电力设备|一级行业|申万行业分类|
|方正电机|002196|电力设备|一级行业|申万行业分类|
|金风科技|002202|电力设备|一级行业|申万行业分类|
|*ST特迅|002227|电力设备|一级行业|申万行业分类|
|蔚蓝锂芯|002245|电力设备|一级行业|申万行业分类|
|大洋电机|002249|电力设备|一级行业|申万行业分类|
|海陆重工|002255|电力设备|一级行业|申万行业分类|
|华明装备|002270|电力设备|一级行业|申万行业分类|
|万马股份|002276|电力设备|一级行业|申万行业分类|
|太阳电缆|002300|电力设备|一级行业|申万行业分类|
|中利集团|002309|电力设备|一级行业|申万行业分类|
|科华数据|002335|电力设备|一级行业|申万行业分类|
|积成电子|002339|电力设备|一级行业|申万行业分类|
|格林美|002340|电力设备|一级行业|申万行业分类|
|柘中股份|002346|电力设备|一级行业|申万行业分类|
|北京科锐|002350|电力设备|一级行业|申万行业分类|
|森源电气|002358|电力设备|一级行业|申万行业分类|
|中恒电气|002364|电力设备|一级行业|申万行业分类|
|融发核电|002366|电力设备|一级行业|申万行业分类|
|众业达|002441|电力设备|一级行业|申万行业分类|
|摩恩电气|002451|电力设备|一级行业|申万行业分类|
|长高电气|002452|电力设备|一级行业|申万行业分类|
|晶澳科技|002459|电力设备|一级行业|申万行业分类|
|中超控股|002471|电力设备|一级行业|申万行业分类|
|大金重工|002487|电力设备|一级行业|申万行业分类|
|汉缆股份|002498|电力设备|一级行业|申万行业分类|
|协鑫集成|002506|电力设备|一级行业|申万行业分类|
|科士达|002518|电力设备|一级行业|申万行业分类|
|天顺风能|002531|电力设备|一级行业|申万行业分类|
|金杯电工|002533|电力设备|一级行业|申万行业分类|
|西子洁能|002534|电力设备|一级行业|申万行业分类|
|新联电子|002546|电力设备|一级行业|申万行业分类|
|通达股份|002560|电力设备|一级行业|申万行业分类|
