vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万纺织服饰行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|801130.SI|申万纺织服饰|605599.SH|菜百股份|-|14.30|-0.47|-3.18|-|464.80|6659.88|7.78|111.22|2.68|38.28|零售业|2021-12-13|
|801130.SI|申万纺织服饰|605189.SH|富春染织|-|13.57|-0.19|-1.38|-|588.03|7931.74|2.38|32.33|1.05|14.21|纺织业|2021-06-04|
|801130.SI|申万纺织服饰|605180.SH|华生科技|-|12.87|-0.35|-2.65|-|155.82|2007.87|1.69|21.75|0.49|6.25|纺织业|2021-05-12|
|801130.SI|申万纺织服饰|605138.SH|盛泰集团|-|5.99|-0.21|-3.39|-|352.02|2115.77|5.56|33.28|1.27|7.59|纺织服装、服饰业|2021-11-03|
|801130.SI|申万纺织服饰|605055.SH|迎丰股份|-|8.88|-0.22|-2.42|-|355.07|3172.86|4.40|39.07|1.07|9.47|纺织业|2021-02-05|
|801130.SI|申万纺织服饰|605003.SH|众望布艺|-|23.25|-0.44|-1.86|-|126.33|2924.90|1.10|25.58|0.29|6.82|纺织业|2020-09-15|
|801130.SI|申万纺织服饰|603958.SH|哈森股份|-|15.63|-0.47|-2.92|-|1415.95|22308.51|2.19|34.29|0.80|12.51|皮革、毛皮、羽毛及其制品和制鞋业|2016-07-06|
|801130.SI|申万纺织服饰|603908.SH|牧高笛|-|18.51|-0.64|-3.34|-|167.28|3092.54|0.93|17.24|0.37|6.79|纺织业|2017-03-14|
|801130.SI|申万纺织服饰|603900.SH|莱绅通灵|-|6.89|-0.43|-5.87|-|5446.30|37791.18|3.43|23.63|2.04|14.07|零售业|2021-12-13|
|801130.SI|申万纺织服饰|603889.SH|新澳股份|-|6.08|-0.04|-0.65|-|1155.83|6978.21|9.49|57.71|4.98|30.27|纺织业|2015-01-09|
|801130.SI|申万纺织服饰|603877.SH|太平鸟|-|12.09|-0.35|-2.81|-|156.05|1894.74|4.70|56.81|1.36|16.42|纺织服装、服饰业|2017-01-16|
|801130.SI|申万纺织服饰|603839.SH|安正时尚|-|6.72|-0.21|-3.03|-|477.16|3201.44|3.87|26.01|1.02|6.89|纺织服装、服饰业|2017-02-21|
|801130.SI|申万纺织服饰|603808.SH|歌力思|-|8.44|-0.20|-2.31|-|344.73|2902.63|3.64|30.70|1.58|13.35|纺织服装、服饰业|2015-04-29|
|801130.SI|申万纺织服饰|603665.SH|康隆达|-|21.39|-0.55|-2.51|-|281.06|5977.39|1.60|34.26|0.96|20.56|纺织业|2017-03-20|
|801130.SI|申万纺织服饰|603608.SH|天创时尚|-|20.86|-1.13|-5.14|-|1496.91|31280.08|4.25|88.66|2.78|57.90|皮革、毛皮、羽毛及其制品和制鞋业|2016-02-25|
|801130.SI|申万纺织服饰|603587.SH|地素时尚|-|12.50|-0.40|-3.10|-|316.80|3987.16|4.73|59.09|1.04|13.05|纺织服装、服饰业|2018-06-29|
|801130.SI|申万纺织服饰|603558.SH|健盛集团|-|12.15|0.02|0.16|-|310.10|3743.97|3.43|41.63|1.67|20.30|纺织服装、服饰业|2015-02-03|
|801130.SI|申万纺织服饰|603557.SH|*ST起步|-|3.19|-0.04|-1.24|-|376.48|1199.76|6.23|19.89|4.19|13.37|皮革、毛皮、羽毛及其制品和制鞋业|2017-08-25|
|801130.SI|申万纺织服饰|603518.SH|锦泓集团|-|7.96|-0.20|-2.45|-|711.31|5685.38|3.45|27.49|2.23|17.72|纺织服装、服饰业|2014-12-10|
|801130.SI|申万纺织服饰|603511.SH|爱慕股份|-|12.12|-0.39|-3.12|-|112.72|1371.58|4.06|49.19|0.56|6.82|纺织服装、服饰业|2021-06-07|
|801130.SI|申万纺织服饰|603365.SH|水星家纺|-|16.19|-0.36|-2.18|-|127.11|2075.91|2.62|42.50|0.82|13.25|纺织业|2017-11-27|
|801130.SI|申万纺织服饰|603307.SH|扬州金泉|-|24.25|-0.45|-1.82|-|90.84|2191.32|0.98|23.78|0.25|5.98|纺织业|2023-02-23|
|801130.SI|申万纺织服饰|603238.SH|诺邦股份|-|11.82|-0.41|-3.35|-|294.93|3480.21|1.78|20.98|0.69|8.15|纺织业|2025-08-13|
|801130.SI|申万纺织服饰|603196.SH|璞源材料|-|19.30|0.49|2.61|-|395.71|7519.44|4.19|80.81|1.13|21.80|纺织服装、服饰业|2017-06-07|
|801130.SI|申万纺织服饰|603130.SH|云中马|-|36.47|-0.63|-1.70|-|76.28|2771.06|1.38|50.15|0.52|19.09|纺织业|2022-11-25|
|801130.SI|申万纺织服饰|603116.SH|红蜻蜓|-|6.11|-0.15|-2.40|-|412.67|2522.30|5.76|35.21|2.33|14.21|皮革、毛皮、羽毛及其制品和制鞋业|2015-07-06|
|801130.SI|申万纺织服饰|603055.SH|台华新材|-|9.18|-0.11|-1.18|-|621.16|5712.12|8.90|81.73|2.65|24.31|纺织业|2018-09-19|
|801130.SI|申万纺织服饰|603001.SH|奥康国际|-|8.92|0.00|0.00|-|1068.69|9427.71|4.01|35.77|2.09|18.67|皮革、毛皮、羽毛及其制品和制鞋业|2012-05-07|
