vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万计算机行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|----------|----------|----------|----------|----------
|神州数码|000034|计算机|一级行业|申万行业分类|
|中国长城|000066|计算机|一级行业|申万行业分类|
|常山北明|000158|计算机|一级行业|申万行业分类|
|云鼎科技|000409|计算机|一级行业|申万行业分类|
|国新健康|000503|计算机|一级行业|申万行业分类|
|神州信息|000555|计算机|一级行业|申万行业分类|
|美利云|000815|计算机|一级行业|申万行业分类|
|紫光股份|000938|计算机|一级行业|申万行业分类|
|南天信息|000948|计算机|一级行业|申万行业分类|
|浪潮信息|000977|计算机|一级行业|申万行业分类|
|新大陆|000997|计算机|一级行业|申万行业分类|
|魅视科技|001229|计算机|一级行业|申万行业分类|
|智微智能|001339|计算机|一级行业|申万行业分类|
|远光软件|002063|计算机|一级行业|申万行业分类|
|东华软件|002065|计算机|一级行业|申万行业分类|
|广电运通|002152|计算机|一级行业|申万行业分类|
|石基信息|002153|计算机|一级行业|申万行业分类|
|延华智能|002178|计算机|一级行业|申万行业分类|
|奔图科技|002180|计算机|一级行业|申万行业分类|
|岩山科技|002195|计算机|一级行业|申万行业分类|
|证通电子|002197|计算机|一级行业|申万行业分类|
|天融信|002212|计算机|一级行业|申万行业分类|
|鸿博股份|002229|计算机|一级行业|申万行业分类|
|科大讯飞|002230|计算机|一级行业|申万行业分类|
|启明信息|002232|计算机|一级行业|申万行业分类|
|大华股份|002236|计算机|一级行业|申万行业分类|
|川大智胜|002253|计算机|一级行业|申万行业分类|
|拓维信息|002261|计算机|一级行业|申万行业分类|
|电科网安|002268|计算机|一级行业|申万行业分类|
|中电鑫龙|002298|计算机|一级行业|申万行业分类|
|理工能科|002322|计算机|一级行业|申万行业分类|
|皖通科技|002331|计算机|一级行业|申万行业分类|
|汉王科技|002362|计算机|一级行业|申万行业分类|
|太极股份|002368|计算机|一级行业|申万行业分类|
|千方科技|002373|计算机|一级行业|申万行业分类|
|新北洋|002376|计算机|一级行业|申万行业分类|
|科远智慧|002380|计算机|一级行业|申万行业分类|
|中远海科|002401|计算机|一级行业|申万行业分类|
|四维图新|002405|计算机|一级行业|申万行业分类|
|广联达|002410|计算机|一级行业|申万行业分类|
|海康威视|002415|计算机|一级行业|申万行业分类|
|达实智能|002421|计算机|一级行业|申万行业分类|
|启明星辰|002439|计算机|一级行业|申万行业分类|
|榕基软件|002474|计算机|一级行业|申万行业分类|
|ST达华|002512|计算机|一级行业|申万行业分类|
|*ST英飞|002528|计算机|一级行业|申万行业分类|
|雷柏科技|002577|计算机|一级行业|申万行业分类|
|捷顺科技|002609|计算机|一级行业|申万行业分类|
|荣联科技|002642|计算机|一级行业|申万行业分类|
|博彦科技|002649|计算机|一级行业|申万行业分类|
|中科金财|002657|计算机|一级行业|申万行业分类|
|真视通|002771|计算机|一级行业|申万行业分类|
|久远银海|002777|计算机|一级行业|申万行业分类|
|同为股份|002835|计算机|一级行业|申万行业分类|
|金溢科技|002869|计算机|一级行业|申万行业分类|
|德生科技|002908|计算机|一级行业|申万行业分类|
|中新赛克|002912|计算机|一级行业|申万行业分类|
|德赛西威|002920|计算机|一级行业|申万行业分类|
|锐明技术|002970|计算机|一级行业|申万行业分类|
|京北方|002987|计算机|一级行业|申万行业分类|
|盛视科技|002990|计算机|一级行业|申万行业分类|
|声迅股份|003004|计算机|一级行业|申万行业分类|
|竞业达|003005|计算机|一级行业|申万行业分类|
|直真科技|003007|计算机|一级行业|申万行业分类|
|吉大正元|003029|计算机|一级行业|申万行业分类|
|网宿科技|300017|计算机|一级行业|申万行业分类|
|ST银江|300020|计算机|一级行业|申万行业分类|
|同花顺|300033|计算机|一级行业|申万行业分类|
|超图软件|300036|计算机|一级行业|申万行业分类|
|朗科科技|300042|计算机|一级行业|申万行业分类|
|*ST赛为|300044|计算机|一级行业|申万行业分类|
|天源迪科|300047|计算机|一级行业|申万行业分类|
|华平股份|300074|计算机|一级行业|申万行业分类|
|数字政通|300075|计算机|一级行业|申万行业分类|
|思创智联|300078|计算机|一级行业|申万行业分类|
|数码视讯|300079|计算机|一级行业|申万行业分类|
|银之杰|300085|计算机|一级行业|申万行业分类|
|ST易联众|300096|计算机|一级行业|申万行业分类|
|新国都|300130|计算机|一级行业|申万行业分类|
|安居宝|300155|计算机|一级行业|申万行业分类|
|东方国信|300166|计算机|一级行业|申万行业分类|
|ST迪威迅|300167|计算机|一级行业|申万行业分类|
|万达信息|300168|计算机|一级行业|申万行业分类|
|汉得信息|300170|计算机|一级行业|申万行业分类|
|国投智能|300188|计算机|一级行业|申万行业分类|
|行云科技|300209|计算机|一级行业|申万行业分类|
|*ST易录|300212|计算机|一级行业|申万行业分类|
|上海钢联|300226|计算机|一级行业|申万行业分类|
|拓尔思|300229|计算机|一级行业|申万行业分类|
|银信科技|300231|计算机|一级行业|申万行业分类|
|方直科技|300235|计算机|一级行业|申万行业分类|
|ST天玑|300245|计算机|一级行业|申万行业分类|
|新开普|300248|计算机|一级行业|申万行业分类|
|依米康|300249|计算机|一级行业|申万行业分类|
|初灵信息|300250|计算机|一级行业|申万行业分类|
|卫宁健康|300253|计算机|一级行业|申万行业分类|
|佳创视讯|300264|计算机|一级行业|申万行业分类|
|中威电子|300270|计算机|一级行业|申万行业分类|
|梅安森|300275|计算机|一级行业|申万行业分类|
|汽轮科技|300277|计算机|一级行业|申万行业分类|
|飞利信|300287|计算机|一级行业|申万行业分类|
|朗玛信息|300288|计算机|一级行业|申万行业分类|
|ST荣科|300290|计算机|一级行业|申万行业分类|
|海峡创新|300300|计算机|一级行业|申万行业分类|
|同有科技|300302|计算机|一级行业|申万行业分类|
|任子行|300311|计算机|一级行业|申万行业分类|
|旋极信息|300324|计算机|一级行业|申万行业分类|
|兆日科技|300333|计算机|一级行业|申万行业分类|
|润和软件|300339|计算机|一级行业|申万行业分类|
|长亮科技|300348|计算机|一级行业|申万行业分类|
|ST信源|300352|计算机|一级行业|申万行业分类|
|恒华科技|300365|计算机|一级行业|申万行业分类|
|ST创意|300366|计算机|一级行业|申万行业分类|
|汇金股份|300368|计算机|一级行业|申万行业分类|
|绿盟科技|300369|计算机|一级行业|申万行业分类|
|赢时胜|300377|计算机|一级行业|申万行业分类|
|鼎捷数智|300378|计算机|一级行业|申万行业分类|
|安硕信息|300380|计算机|一级行业|申万行业分类|
|飞天诚信|300386|计算机|一级行业|申万行业分类|
|天利科技|300399|计算机|一级行业|申万行业分类|
|ST浩丰|300419|计算机|一级行业|申万行业分类|
|运达科技|300440|计算机|一级行业|申万行业分类|
|浩云科技|300448|计算机|一级行业|申万行业分类|
|汉邦高科|300449|计算机|一级行业|申万行业分类|
|创业慧康|300451|计算机|一级行业|申万行业分类|
|深信服|300454|计算机|一级行业|申万行业分类|
|航天智装|300455|计算机|一级行业|申万行业分类|
|ST华铭|300462|计算机|一级行业|申万行业分类|
|高伟达|300465|计算机|一级行业|申万行业分类|
|四方精创|300468|计算机|一级行业|申万行业分类|
|信息发展|300469|计算机|一级行业|申万行业分类|
|神思电子|300479|计算机|一级行业|申万行业分类|
|中科创达|300496|计算机|一级行业|申万行业分类|
|维宏股份|300508|计算机|一级行业|申万行业分类|
