vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万轻工制造行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|----------|----------|----------|----------|----------
|ST晨鸣|000488|轻工制造|一级行业|申万行业分类|
|珠海中富|000659|轻工制造|一级行业|申万行业分类|
|陕西金叶|000812|轻工制造|一级行业|申万行业分类|
|大亚圣象|000910|轻工制造|一级行业|申万行业分类|
|双枪科技|001211|轻工制造|一级行业|申万行业分类|
|华瓷股份|001216|轻工制造|一级行业|申万行业分类|
|悍高集团|001221|轻工制造|一级行业|申万行业分类|
|源飞宠物|001222|轻工制造|一级行业|申万行业分类|
|浙江正特|001238|轻工制造|一级行业|申万行业分类|
|强邦新材|001279|轻工制造|一级行业|申万行业分类|
|三柏硕|001300|轻工制造|一级行业|申万行业分类|
|箭牌家居|001322|轻工制造|一级行业|申万行业分类|
|慕思股份|001323|轻工制造|一级行业|申万行业分类|
|富岭股份|001356|轻工制造|一级行业|申万行业分类|
|通达创智|001368|轻工制造|一级行业|申万行业分类|
|马可波罗|001386|轻工制造|一级行业|申万行业分类|
|凯恩股份|002012|轻工制造|一级行业|申万行业分类|
|永新股份|002014|轻工制造|一级行业|申万行业分类|
|景兴纸业|002067|轻工制造|一级行业|申万行业分类|
|太阳纸业|002078|轻工制造|一级行业|申万行业分类|
|海鸥住工|002084|轻工制造|一级行业|申万行业分类|
|广博股份|002103|轻工制造|一级行业|申万行业分类|
|东港股份|002117|轻工制造|一级行业|申万行业分类|
|悦心健康|002162|轻工制造|一级行业|申万行业分类|
|劲嘉股份|002191|轻工制造|一级行业|申万行业分类|
|合兴包装|002228|轻工制造|一级行业|申万行业分类|
|安妮股份|002235|轻工制造|一级行业|申万行业分类|
|齐心集团|002301|轻工制造|一级行业|申万行业分类|
|美盈森|002303|轻工制造|一级行业|申万行业分类|
|高乐股份|002348|轻工制造|一级行业|申万行业分类|
|中锐股份|002374|轻工制造|一级行业|申万行业分类|
|浙江永强|002489|轻工制造|一级行业|申万行业分类|
|齐峰新材|002521|轻工制造|一级行业|申万行业分类|
|顺灏股份|002565|轻工制造|一级行业|申万行业分类|
|德力股份|002571|轻工制造|一级行业|申万行业分类|
|索菲亚|002572|轻工制造|一级行业|申万行业分类|
|盛通股份|002599|轻工制造|一级行业|申万行业分类|
|哈尔斯|002615|轻工制造|一级行业|申万行业分类|
|德尔未来|002631|轻工制造|一级行业|申万行业分类|
|珠江钢琴|002678|轻工制造|一级行业|申万行业分类|
|奥瑞金|002701|轻工制造|一级行业|申万行业分类|
|王子新材|002735|轻工制造|一级行业|申万行业分类|
|昇兴股份|002752|轻工制造|一级行业|申万行业分类|
|华源控股|002787|轻工制造|一级行业|申万行业分类|
|瑞尔特|002790|轻工制造|一级行业|申万行业分类|
|帝欧水华|002798|轻工制造|一级行业|申万行业分类|
|环球印务|002799|轻工制造|一级行业|申万行业分类|
|裕同科技|002831|轻工制造|一级行业|申万行业分类|
|新宏泽|002836|轻工制造|一级行业|申万行业分类|
|英联股份|002846|轻工制造|一级行业|申万行业分类|
|皮阿诺|002853|轻工制造|一级行业|申万行业分类|
|实丰文化|002862|轻工制造|一级行业|申万行业分类|
|英派斯|002899|轻工制造|一级行业|申万行业分类|
|蒙娜丽莎|002918|轻工制造|一级行业|申万行业分类|
|嘉美包装|002969|轻工制造|一级行业|申万行业分类|
|天元股份|003003|轻工制造|一级行业|申万行业分类|
|海象新材|003011|轻工制造|一级行业|申万行业分类|
|东鹏控股|003012|轻工制造|一级行业|申万行业分类|
|金富科技|003018|轻工制造|一级行业|申万行业分类|
|海伦钢琴|300329|轻工制造|一级行业|申万行业分类|
|海顺新材|300501|轻工制造|一级行业|申万行业分类|
|尚品宅配|300616|轻工制造|一级行业|申万行业分类|
|德艺文创|300640|轻工制造|一级行业|申万行业分类|
|金陵体育|300651|轻工制造|一级行业|申万行业分类|
|创源股份|300703|轻工制造|一级行业|申万行业分类|
|乐歌股份|300729|轻工制造|一级行业|申万行业分类|
|顶固集创|300749|轻工制造|一级行业|申万行业分类|
|龙利得|300883|轻工制造|一级行业|申万行业分类|
|玉马科技|300993|轻工制造|一级行业|申万行业分类|
|嘉益股份|301004|轻工制造|一级行业|申万行业分类|
|华立科技|301011|轻工制造|一级行业|申万行业分类|
|张小泉|301055|轻工制造|一级行业|申万行业分类|
|匠心家居|301061|轻工制造|一级行业|申万行业分类|
|上海艾录|301062|轻工制造|一级行业|申万行业分类|
|明月镜片|301101|轻工制造|一级行业|申万行业分类|
|雅艺科技|301113|轻工制造|一级行业|申万行业分类|
|家联科技|301193|轻工制造|一级行业|申万行业分类|
|喜悦智行|301198|轻工制造|一级行业|申万行业分类|
|中荣股份|301223|轻工制造|一级行业|申万行业分类|
|森鹰窗业|301227|轻工制造|一级行业|申万行业分类|
|康力源|301287|轻工制造|一级行业|申万行业分类|
|新巨丰|301296|轻工制造|一级行业|申万行业分类|
|天元宠物|301335|轻工制造|一级行业|申万行业分类|
|趣睡科技|301336|轻工制造|一级行业|申万行业分类|
|南王科技|301355|轻工制造|一级行业|申万行业分类|
|天振股份|301356|轻工制造|一级行业|申万行业分类|
|致欧科技|301376|轻工制造|一级行业|申万行业分类|
|恒达新材|301469|轻工制造|一级行业|申万行业分类|
|恒鑫生活|301501|轻工制造|一级行业|申万行业分类|
|艾芬达|301575|轻工制造|一级行业|申万行业分类|
|美新科技|301588|轻工制造|一级行业|申万行业分类|
|太力科技|301595|轻工制造|一级行业|申万行业分类|
|康欣新材|600076|轻工制造|一级行业|申万行业分类|
|青山纸业|600103|轻工制造|一级行业|申万行业分类|
|紫江企业|600210|轻工制造|一级行业|申万行业分类|
|民丰特纸|600235|轻工制造|一级行业|申万行业分类|
|华泰股份|600308|轻工制造|一级行业|申万行业分类|
|ST美克|600337|轻工制造|一级行业|申万行业分类|
|恒丰纸业|600356|轻工制造|一级行业|申万行业分类|
|冠豪高新|600433|轻工制造|一级行业|申万行业分类|
|山鹰国际|600567|轻工制造|一级行业|申万行业分类|
|宜宾纸业|600793|轻工制造|一级行业|申万行业分类|
|岳阳林纸|600963|轻工制造|一级行业|申万行业分类|
|博汇纸业|600966|轻工制造|一级行业|申万行业分类|
|衢州东峰|601515|轻工制造|一级行业|申万行业分类|
|宝钢包装|601968|轻工制造|一级行业|申万行业分类|
|丰林集团|601996|轻工制造|一级行业|申万行业分类|
|ST喜临门|603008|轻工制造|一级行业|申万行业分类|
|*ST华鹏|603021|轻工制造|一级行业|申万行业分类|
|新通联|603022|轻工制造|一级行业|申万行业分类|
|永吉股份|603058|轻工制造|一级行业|申万行业分类|
|众鑫股份|603091|轻工制造|一级行业|申万行业分类|
|荣晟环保|603165|轻工制造|一级行业|申万行业分类|
|金牌家居|603180|轻工制造|一级行业|申万行业分类|
|公牛集团|603195|轻工制造|一级行业|申万行业分类|
|江山欧派|603208|轻工制造|一级行业|申万行业分类|
|梦天家居|603216|轻工制造|一级行业|申万行业分类|
|爱丽家居|603221|轻工制造|一级行业|申万行业分类|
|菲林格尔|603226|轻工制造|一级行业|申万行业分类|
|*ST联翔|603272|轻工制造|一级行业|申万行业分类|
|林平发展|603284|轻工制造|一级行业|申万行业分类|
|梦百合|603313|轻工制造|一级行业|申万行业分类|
|我乐家居|603326|轻工制造|一级行业|申万行业分类|
|惠达卫浴|603385|轻工制造|一级行业|申万行业分类|
|亚振家居|603389|轻工制造|一级行业|申万行业分类|
|建霖家居|603408|轻工制造|一级行业|申万行业分类|
|*ST集友|603429|轻工制造|一级行业|申万行业分类|
|翔港科技|603499|轻工制造|一级行业|申万行业分类|
|永艺股份|603600|轻工制造|一级行业|申万行业分类|
|京华激光|603607|轻工制造|一级行业|申万行业分类|
|麒盛科技|603610|轻工制造|一级行业|申万行业分类|
|茶花股份|603615|轻工制造|一级行业|申万行业分类|
|恒林股份|603661|轻工制造|一级行业|申万行业分类|
|大胜达|603687|轻工制造|一级行业|申万行业分类|
|中源家居|603709|轻工制造|一级行业|申万行业分类|
|天安新材|603725|轻工制造|一级行业|申万行业分类|
|仙鹤股份|603733|轻工制造|一级行业|申万行业分类|
|志邦家居|603801|轻工制造|一级行业|申万行业分类|
|顾家家居|603816|轻工制造|一级行业|申万行业分类|
|曲美家居|603818|轻工制造|一级行业|申万行业分类|
|欧派家居|603833|轻工制造|一级行业|申万行业分类|
|*ST四通|603838|轻工制造|一级行业|申万行业分类|
|好太太|603848|轻工制造|一级行业|申万行业分类|
|松炀资源|603863|轻工制造|一级行业|申万行业分类|
|好莱客|603898|轻工制造|一级行业|申万行业分类|
|晨光股份|603899|轻工制造|一级行业|申万行业分类|
|松霖科技|603992|轻工制造|一级行业|申万行业分类|
|五洲特纸|605007|轻工制造|一级行业|申万行业分类|
|浙江自然|605080|轻工制造|一级行业|申万行业分类|
|共创草坪|605099|轻工制造|一级行业|申万行业分类|
|西大门|605155|轻工制造|一级行业|申万行业分类|
|王力安防|605268|轻工制造|一级行业|申万行业分类|
|舒华体育|605299|轻工制造|一级行业|申万行业分类|
|华旺科技|605377|轻工制造|一级行业|申万行业分类|
|森林包装|605500|轻工制造|一级行业|申万行业分类|
|英科再生|688087|轻工制造|一级行业|申万行业分类|
|玫瑰岛|873024|轻工制造|一级行业|申万行业分类|
|高义包装|873514|轻工制造|一级行业|申万行业分类|
|久正工学|874036|轻工制造|一级行业|申万行业分类|
|邦泽创科|874249|轻工制造|一级行业|申万行业分类|
|柏星龙|920075|轻工制造|一级行业|申万行业分类|
|江天科技|920121|轻工制造|一级行业|申万行业分类|
|泰鹏智能|920132|轻工制造|一级行业|申万行业分类|
|方大新材|920163|轻工制造|一级行业|申万行业分类|
|沪江材料|920204|轻工制造|一级行业|申万行业分类|
|新天力|920218|轻工制造|一级行业|申万行业分类|
|宏裕包材|920274|轻工制造|一级行业|申万行业分类|
|华大海天|920288|轻工制造|一级行业|申万行业分类|
|佳合科技|920392|轻工制造|一级行业|申万行业分类|
|民士达|920394|轻工制造|一级行业|申万行业分类|
|龙竹科技|920445|轻工制造|一级行业|申万行业分类|
|美之高|920765|轻工制造|一级行业|申万行业分类|",2026-09-13T08:58:38.168530+08:00
