vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万通信行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|801770.SI|申万通信|688668.SH|鼎通科技|-|247.32|-9.23|-3.60|-|504.79|125588.98|1.39|344.44|0.73|180.13|计算机、通信和其他电子设备制造业|2023-09-25|
|801770.SI|申万通信|688635.SH|长进光子|-|275.26|4.66|1.72|-|210.13|57183.16|0.94|257.84|0.18|48.88|计算机、通信和其他电子设备制造业|2026-06-03|
|801770.SI|申万通信|688618.SH|三旺通信|-|28.38|-1.13|-3.83|-|168.71|4800.02|1.10|31.23|0.40|11.28|计算机、通信和其他电子设备制造业|2023-09-25|
|801770.SI|申万通信|688592.SH|司南导航|-|22.25|-0.43|-1.90|-|78.23|1744.75|1.16|25.84|0.55|12.31|计算机、通信和其他电子设备制造业|2024-03-26|
|801770.SI|申万通信|688418.SH|震有科技|-|30.93|-0.55|-1.75|-|297.60|9107.26|1.93|59.56|1.32|40.69|计算机、通信和其他电子设备制造业|2023-09-25|
|801770.SI|申万通信|688387.SH|信科移动|-|12.18|-0.03|-0.25|-|3956.38|47702.78|34.19|416.40|11.16|135.88|计算机、通信和其他电子设备制造业|2023-09-25|
|801770.SI|申万通信|688313.SH|仕佳光子|-|148.50|-1.25|-0.83|-|2076.69|305226.06|4.52|671.20|2.57|381.67|计算机、通信和其他电子设备制造业|2023-09-25|
|801770.SI|申万通信|688283.SH|坤恒顺维|-|26.14|-0.50|-1.88|-|153.17|3987.48|1.22|31.84|0.61|15.99|仪器仪表制造业|2023-09-25|
|801770.SI|申万通信|688205.SH|德科立|-|218.89|-8.36|-3.68|-|1700.89|369085.28|1.59|348.55|1.05|229.96|计算机、通信和其他电子设备制造业|2023-09-25|
|801770.SI|申万通信|688182.SH|灿勤科技|-|27.05|-0.28|-1.02|-|521.49|13982.15|4.00|108.20|1.22|32.97|计算机、通信和其他电子设备制造业|2023-09-25|
|801770.SI|申万通信|688159.SH|有方科技|-|32.24|-0.85|-2.57|-|228.57|7321.70|0.93|29.92|0.57|18.28|计算机、通信和其他电子设备制造业|2023-09-25|
|801770.SI|申万通信|688143.SH|长盈通|-|195.00|26.16|15.49|-|2065.87|371531.56|1.29|251.12|0.92|180.01|计算机、通信和其他电子设备制造业|2023-09-25|
|801770.SI|申万通信|688100.SH|威胜信息|-|24.54|-0.61|-2.43|-|262.18|6446.64|4.92|120.66|1.28|31.33|计算机、通信和其他电子设备制造业|2023-09-25|
|801770.SI|申万通信|688080.SH|映翰通|-|35.99|-0.31|-0.85|-|79.63|2852.65|0.74|26.51|0.53|19.13|计算机、通信和其他电子设备制造业|2023-09-25|
|801770.SI|申万通信|688027.SH|国盾量子|-|347.49|-5.66|-1.60|-|155.83|53661.30|1.03|357.43|0.56|195.94|计算机、通信和其他电子设备制造业|2023-09-25|
|801770.SI|申万通信|603881.SH|数据港|-|23.46|-0.33|-1.39|-|1834.95|42985.31|8.62|202.24|5.03|118.01|软件和信息技术服务业|2023-07-06|
|801770.SI|申万通信|603803.SH|瑞斯康达|-|11.44|0.31|2.79|-|2934.84|33645.56|4.25|48.61|2.18|25.00|计算机、通信和其他电子设备制造业|2017-04-27|
|801770.SI|申万通信|603559.SH|中通国脉|-|9.33|-0.55|-5.57|-|1880.36|17834.87|4.01|37.44|2.87|26.79|电信、广播电视和卫星传输服务|2024-12-27|
|801770.SI|申万通信|603421.SH|鼎信通讯|-|8.02|0.73|10.01|-|11006.63|83189.19|6.52|52.31|3.24|25.97|仪器仪表制造业|2016-10-18|
|801770.SI|申万通信|603322.SH|超讯科技|-|30.23|-0.59|-1.91|-|948.65|28793.01|1.58|47.64|1.25|37.88|软件和信息技术服务业|2016-08-04|
|801770.SI|申万通信|603236.SH|移远通信|-|58.91|-1.71|-2.82|-|1009.29|59379.70|4.05|238.80|3.14|185.06|计算机、通信和其他电子设备制造业|2019-07-23|
|801770.SI|申万通信|603220.SH|中贝通信|-|17.91|-0.40|-2.18|-|1766.80|31707.68|5.36|96.06|4.11|73.61|软件和信息技术服务业|2018-11-22|
|801770.SI|申万通信|603206.SH|嘉环科技|-|13.37|-0.19|-1.40|-|227.17|3033.59|3.05|40.81|0.96|12.88|软件和信息技术服务业|2022-05-13|
|801770.SI|申万通信|603118.SH|共进股份|-|15.95|-0.98|-5.79|-|8525.49|137957.27|7.87|125.57|4.53|72.19|计算机、通信和其他电子设备制造业|2015-03-04|
|801770.SI|申万通信|603083.SH|剑桥科技|-|224.46|-9.97|-4.25|-|3385.85|761283.44|3.68|826.57|2.42|542.41|计算机、通信和其他电子设备制造业|2017-11-17|
|801770.SI|申万通信|603042.SH|华脉科技|-|16.57|-0.23|-1.37|-|7386.86|123496.23|2.09|34.59|1.61|26.64|计算机、通信和其他电子设备制造业|2017-06-09|
|801770.SI|申万通信|601869.SH|长飞光纤|-|473.99|38.25|8.78|-|1877.36|844775.30|8.28|3924.19|1.07|506.86|计算机、通信和其他电子设备制造业|2018-07-27|
|801770.SI|申万通信|601728.SH|中国电信|-|6.29|0.10|1.62|-|14853.13|92924.30|915.07|5755.80|94.61|595.12|电信、广播电视和卫星传输服务|2021-08-27|
|801770.SI|申万通信|600941.SH|中国移动|-|97.72|0.55|0.57|-|886.88|86561.87|216.91|21196.38|7.13|696.57|电信、广播电视和卫星传输服务|2022-01-12|
|801770.SI|申万通信|600776.SH|东方通信|-|14.23|0.55|4.02|-|5852.74|83018.52|12.56|178.73|4.10|58.40|计算机、通信和其他电子设备制造业|2000-01-04|
|801770.SI|申万通信|600775.SH|南京熊猫|-|9.79|0.06|0.62|-|1173.12|11438.87|9.14|89.46|4.00|39.15|计算机、通信和其他电子设备制造业|2001-05-08|
|801770.SI|申万通信|600734.SH|*ST实达|-|2.31|0.19|8.96|-|18452.71|41099.03|21.78|50.32|15.92|36.77|软件和信息技术服务业|2022-02-17|
