vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万非银金融行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|801790.SI|申万非银金融|603300.SH|海南华铁|-|4.71|-0.09|-1.88|-|3505.18|16421.59|19.99|94.16|13.96|65.75|租赁业|2015-06-05|
|801790.SI|申万非银金融|603093.SH|南华期货|-|12.42|-1.15|-8.47|-|3161.87|40276.85|10.38|128.94|2.01|24.98|资本市场服务|2019-09-06|
|801790.SI|申万非银金融|601995.SH|中金公司|-|32.01|-0.50|-1.54|-|2381.94|76062.95|48.27|1545.20|9.37|300.09|资本市场服务|2020-11-09|
|801790.SI|申万非银金融|601990.SH|南京证券|-|6.61|-0.20|-2.94|-|2866.93|19033.66|44.00|290.82|19.73|130.43|资本市场服务|2018-06-21|
|801790.SI|申万非银金融|601901.SH|方正证券|-|6.79|-0.18|-2.58|-|5676.12|38701.32|82.32|558.96|36.29|246.41|资本市场服务|2014-02-21|
|801790.SI|申万非银金融|601881.SH|中国银河|-|11.91|-0.36|-2.93|-|3364.20|40228.13|109.34|1302.29|19.17|228.34|资本市场服务|2017-02-06|
|801790.SI|申万非银金融|601878.SH|浙商证券|-|9.09|-0.26|-2.78|-|3364.87|30749.43|45.35|412.23|22.80|207.28|资本市场服务|2017-07-03|
|801790.SI|申万非银金融|601788.SH|光大证券|-|13.97|-0.43|-2.99|-|2900.99|40709.70|46.11|644.13|16.99|237.31|资本市场服务|2009-08-19|
|801790.SI|申万非银金融|601696.SH|中银证券|-|11.30|-0.44|-3.75|-|4717.05|53386.33|27.78|313.91|12.35|139.59|资本市场服务|2020-03-04|
|801790.SI|申万非银金融|601688.SH|华泰证券|-|18.93|-0.59|-3.02|-|5871.69|111194.26|90.27|1708.79|49.70|940.82|资本市场服务|2014-02-21|
|801790.SI|申万非银金融|601628.SH|中国人寿|-|37.99|-0.29|-0.76|-|2821.41|106816.93|282.65|10737.76|14.67|557.47|保险业|2007-01-10|
|801790.SI|申万非银金融|601601.SH|中国太保|-|32.97|-0.66|-1.96|-|3591.68|118420.45|96.20|3171.83|26.69|880.02|保险业|2007-12-26|
|801790.SI|申万非银金融|601555.SH|东吴证券|-|8.40|-0.13|-1.52|-|5197.90|43490.49|49.69|417.37|30.34|254.83|资本市场服务|2014-02-21|
|801790.SI|申万非银金融|601456.SH|国联民生|-|8.70|-0.15|-1.69|-|2405.10|20889.41|56.81|494.21|18.94|164.80|资本市场服务|2020-08-07|
|801790.SI|申万非银金融|601377.SH|兴业证券|-|5.84|-0.13|-2.18|-|7786.50|45475.94|86.36|504.34|56.08|327.51|资本市场服务|2014-02-21|
|801790.SI|申万非银金融|601375.SH|中原证券|-|3.98|-0.15|-3.63|-|6947.48|27789.48|46.43|184.79|18.29|72.80|资本市场服务|2017-01-10|
|801790.SI|申万非银金融|601336.SH|新华保险|-|58.30|-1.42|-2.38|-|1798.27|104930.14|31.20|1818.70|7.02|409.56|保险业|2014-02-21|
|801790.SI|申万非银金融|601319.SH|中国人保|-|7.83|-0.11|-1.39|-|6922.07|54204.56|442.24|3462.74|29.86|233.77|保险业|2018-11-23|
|801790.SI|申万非银金融|601318.SH|中国平安|-|54.83|-0.69|-1.24|-|6022.46|330299.88|181.08|9928.42|94.40|5175.74|保险业|2007-03-02|
|801790.SI|申万非银金融|601236.SH|红塔证券|-|6.80|-0.26|-3.68|-|2429.16|16612.39|46.93|319.14|9.23|62.74|资本市场服务|2019-07-12|
|801790.SI|申万非银金融|601211.SH|国泰海通|-|17.32|-0.42|-2.37|-|6705.56|116155.54|175.81|3045.04|83.33|1443.30|资本市场服务|2025-03-18|
|801790.SI|申万非银金融|601198.SH|东兴证券|-|13.14|-0.22|-1.65|-|4743.68|62314.26|32.32|424.74|13.46|176.91|资本市场服务|2015-03-05|
|801790.SI|申万非银金融|601162.SH|天风证券|-|3.61|-0.16|-4.24|-|23542.59|85213.43|100.74|363.67|58.98|212.91|资本市场服务|2018-10-26|
|801790.SI|申万非银金融|601136.SH|首创证券|-|14.50|-0.75|-4.92|-|2518.24|36770.52|27.33|396.33|4.80|69.53|资本市场服务|2022-12-29|
