vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万食品饮料行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|----------|----------|----------|----------|----------
|广弘控股|000529|食品饮料|一级行业|申万行业分类|
|泸州老窖|000568|食品饮料|一级行业|申万行业分类|
|古井贡酒|000596|食品饮料|一级行业|申万行业分类|
|ST西王|000639|食品饮料|一级行业|申万行业分类|
|黑芝麻|000716|食品饮料|一级行业|申万行业分类|
|燕京啤酒|000729|食品饮料|一级行业|申万行业分类|
|*ST西发|000752|食品饮料|一级行业|申万行业分类|
|酒鬼酒|000799|食品饮料|一级行业|申万行业分类|
|承德露露|000848|食品饮料|一级行业|申万行业分类|
|五粮液|000858|食品饮料|一级行业|申万行业分类|
|顺鑫农业|000860|食品饮料|一级行业|申万行业分类|
|张裕A|000869|食品饮料|一级行业|申万行业分类|
|双汇发展|000895|食品饮料|一级行业|申万行业分类|
|兰州黄河|000929|食品饮料|一级行业|申万行业分类|
|皇台酒业|000995|食品饮料|一级行业|申万行业分类|
|千味央厨|001215|食品饮料|一级行业|申万行业分类|
|青岛食品|001219|食品饮料|一级行业|申万行业分类|
|阳光乳业|001318|食品饮料|一级行业|申万行业分类|
|三全食品|002216|食品饮料|一级行业|申万行业分类|
|洋河股份|002304|食品饮料|一级行业|申万行业分类|
|皇氏集团|002329|食品饮料|一级行业|申万行业分类|
|得利斯|002330|食品饮料|一级行业|申万行业分类|
|珠江啤酒|002461|食品饮料|一级行业|申万行业分类|
|佳隆股份|002495|食品饮料|一级行业|申万行业分类|
|涪陵榨菜|002507|食品饮料|一级行业|申万行业分类|
|金字火腿|002515|食品饮料|一级行业|申万行业分类|
|洽洽食品|002557|食品饮料|一级行业|申万行业分类|
|百润股份|002568|食品饮料|一级行业|申万行业分类|
|贝因美|002570|食品饮料|一级行业|申万行业分类|
|好想你|002582|食品饮料|一级行业|申万行业分类|
|金达威|002626|食品饮料|一级行业|申万行业分类|
|天佑德酒|002646|食品饮料|一级行业|申万行业分类|
|ST加加|002650|食品饮料|一级行业|申万行业分类|
|克明食品|002661|食品饮料|一级行业|申万行业分类|
|煌上煌|002695|食品饮料|一级行业|申万行业分类|
|海欣食品|002702|食品饮料|一级行业|申万行业分类|
|ST麦趣|002719|食品饮料|一级行业|申万行业分类|
|ST龙大|002726|食品饮料|一级行业|申万行业分类|
|燕塘乳业|002732|食品饮料|一级行业|申万行业分类|
|桂发祥|002820|食品饮料|一级行业|申万行业分类|
|华统股份|002840|食品饮料|一级行业|申万行业分类|
|盐津铺子|002847|食品饮料|一级行业|申万行业分类|
|庄园牧场|002910|食品饮料|一级行业|申万行业分类|
|新乳业|002946|食品饮料|一级行业|申万行业分类|
|西麦食品|002956|食品饮料|一级行业|申万行业分类|
|甘源食品|002991|食品饮料|一级行业|申万行业分类|
|劲仔食品|003000|食品饮料|一级行业|申万行业分类|
|西部牧业|300106|食品饮料|一级行业|申万行业分类|
|汤臣倍健|300146|食品饮料|一级行业|申万行业分类|
|三只松鼠|300783|食品饮料|一级行业|申万行业分类|
|仙乐健康|300791|食品饮料|一级行业|申万行业分类|
|品渥食品|300892|食品饮料|一级行业|申万行业分类|
|熊猫乳品|300898|食品饮料|一级行业|申万行业分类|
|仲景食品|300908|食品饮料|一级行业|申万行业分类|
|海融科技|300915|食品饮料|一级行业|申万行业分类|
|立高食品|300973|食品饮料|一级行业|申万行业分类|
|欢乐家|300997|食品饮料|一级行业|申万行业分类|
|古越龙山|600059|食品饮料|一级行业|申万行业分类|
|光明肉业|600073|食品饮料|一级行业|申万行业分类|
|*ST尼雅|600084|食品饮料|一级行业|申万行业分类|
|重庆啤酒|600132|食品饮料|一级行业|申万行业分类|
|莲花控股|600186|食品饮料|一级行业|申万行业分类|
|泉阳泉|600189|食品饮料|一级行业|申万行业分类|
|伊力特|600197|食品饮料|一级行业|申万行业分类|
|金种子酒|600199|食品饮料|一级行业|申万行业分类|
|ST椰岛|600238|食品饮料|一级行业|申万行业分类|
|安琪酵母|600298|食品饮料|一级行业|申万行业分类|
|维维股份|600300|食品饮料|一级行业|申万行业分类|
|恒顺醋业|600305|食品饮料|一级行业|申万行业分类|
|*ST春天|600381|食品饮料|一级行业|申万行业分类|
|天润乳业|600419|食品饮料|一级行业|申万行业分类|
|三元股份|600429|食品饮料|一级行业|申万行业分类|
|贵州茅台|600519|食品饮料|一级行业|申万行业分类|
|ST交昂|600530|食品饮料|一级行业|申万行业分类|
|*ST莫高|600543|食品饮料|一级行业|申万行业分类|
|老白干酒|600559|食品饮料|一级行业|申万行业分类|
|惠泉啤酒|600573|食品饮料|一级行业|申万行业分类|
|光明乳业|600597|食品饮料|一级行业|申万行业分类|
|青岛啤酒|600600|食品饮料|一级行业|申万行业分类|
|金枫酒业|600616|食品饮料|一级行业|申万行业分类|
|舍得酒业|600702|食品饮料|一级行业|申万行业分类|
|水井坊|600779|食品饮料|一级行业|申万行业分类|
|山西汾酒|600809|食品饮料|一级行业|申万行业分类|
|中炬高新|600872|食品饮料|一级行业|申万行业分类|
|妙可蓝多|600882|食品饮料|一级行业|申万行业分类|
|伊利股份|600887|食品饮料|一级行业|申万行业分类|
|会稽山|601579|食品饮料|一级行业|申万行业分类|
|千禾味业|603027|食品饮料|一级行业|申万行业分类|
|广州酒家|603043|食品饮料|一级行业|申万行业分类|
|紫燕食品|603057|食品饮料|一级行业|申万行业分类|
|百合股份|603102|食品饮料|一级行业|申万行业分类|
|养元饮品|603156|食品饮料|一级行业|申万行业分类|
|宝立食品|603170|食品饮料|一级行业|申万行业分类|
|迎驾贡酒|603198|食品饮料|一级行业|申万行业分类|
|五芳斋|603237|食品饮料|一级行业|申万行业分类|
|技源集团|603262|食品饮料|一级行业|申万行业分类|
|海天味业|603288|食品饮料|一级行业|申万行业分类|
|天味食品|603317|食品饮料|一级行业|申万行业分类|
|安井食品|603345|食品饮料|一级行业|申万行业分类|
|今世缘|603369|食品饮料|一级行业|申万行业分类|
|ST绝味|603517|食品饮料|一级行业|申万行业分类|
