code_qlib,code_gildata,name,sw_l1
SH600000,600000.SH,浦发银行,银行
SH600004,600004.SH,白云机场,交通运输
SH600006,600006.SH,东风股份,汽车
SH600007,600007.SH,中国国贸,房地产
SH600008,600008.SH,首创环保,环保
SH600009,600009.SH,上海机场,交通运输
SH600010,600010.SH,包钢股份,钢铁
SH600011,600011.SH,华能国际,公用事业
SH600012,600012.SH,皖通高速,交通运输
SH600015,600015.SH,华夏银行,银行
SH600016,600016.SH,民生银行,银行
SH600017,600017.SH,日照港,交通运输
SH600018,600018.SH,上港集团,交通运输
SH600019,600019.SH,宝钢股份,钢铁
SH600020,600020.SH,中原高速,交通运输
SH600021,600021.SH,上海电力,公用事业
SH600022,600022.SH,山东钢铁,钢铁
SH600023,600023.SH,浙能电力,公用事业
SH600025,600025.SH,华能水电,公用事业
SH600026,600026.SH,中远海能,交通运输
SH600027,600027.SH,华电国际,公用事业
SH600028,600028.SH,中国石化,石油石化
SH600029,600029.SH,南方航空,交通运输
SH600030,600030.SH,中信证券,非银金融
SH600031,600031.SH,三一重工,机械设备
SH600032,600032.SH,浙江新能,公用事业
SH600033,600033.SH,福建高速,交通运输
SH600035,600035.SH,楚天高速,交通运输
SH600036,600036.SH,招商银行,银行
SH600037,600037.SH,歌华有线,传媒
SH600038,600038.SH,中直股份,国防军工
SH600039,600039.SH,四川路桥,建筑装饰
SH600048,600048.SH,保利发展,房地产
SH600050,600050.SH,中国联通,通信
SH600051,600051.SH,宁波联合,综合
SH600052,600052.SH,东望时代,公用事业
SH600053,600053.SH,*ST九鼎,非银金融
SH600054,600054.SH,黄山旅游,社会服务
SH600055,600055.SH,万东医疗,医药生物
SH600056,600056.SH,中国医药,医药生物
SH600057,600057.SH,厦门象屿,交通运输
SH600058,600058.SH,五矿发展,商贸零售
SH600059,600059.SH,古越龙山,食品饮料
SH600060,600060.SH,海信视像,家用电器
SH600061,600061.SH,国投资本,非银金融
SH600062,600062.SH,华润双鹤,医药生物
SH600063,600063.SH,皖维高新,基础化工
SH600064,600064.SH,南京高科,房地产
SH600066,600066.SH,宇通客车,汽车
SH600067,600067.SH,冠城新材,电力设备
SH600071,600071.SH,凤凰光学,电子
SH600072,600072.SH,中船科技,电力设备
