Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
600085.SH,同仁堂,医药生物,一级行业
600062.SH,华润双鹤,医药生物,一级行业
600104.SH,上汽集团,汽车,一级行业
600127.SH,金健米业,农林牧渔,一级行业
600018.SH,上港集团,交通运输,一级行业
600033.SH,福建高速,交通运输,一级行业
600010.SH,包钢股份,钢铁,一级行业
600099.SH,林海股份,汽车,一级行业
600110.SH,诺德股份,电力设备,一级行业
600076.SH,康欣新材,轻工制造,一级行业
600053.SH,*ST九鼎,非银金融,一级行业
600009.SH,上海机场,交通运输,一级行业
600118.SH,中国卫星,国防军工,一级行业
600133.SH,东湖高新,环保,一级行业
600038.SH,中直股份,国防军工,一级行业
600059.SH,古越龙山,食品饮料,一级行业
600082.SH,ST海泰,房地产,一级行业
600030.SH,中信证券,非银金融,一级行业
600101.SH,明星电力,公用事业,一级行业
600027.SH,华电国际,公用事业,一级行业
600050.SH,中国联通,通信,一级行业
600096.SH,云天化,基础化工,一级行业
600071.SH,凤凰光学,电子,一级行业
600006.SH,东风股份,汽车,一级行业
600079.SH,ST人福,医药生物,一级行业
600115.SH,中国东航,交通运输,一级行业
600016.SH,民生银行,银行,一级行业
600058.SH,五矿发展,商贸零售,一级行业
600039.SH,四川路桥,建筑装饰,一级行业
600064.SH,南京高科,房地产,一级行业
600031.SH,三一重工,机械设备,一级行业
600129.SH,太极集团,医药生物,一级行业
600121.SH,郑州煤电,煤炭,一级行业
600051.SH,宁波联合,综合,一级行业
600078.SH,澄星股份,基础化工,一级行业
600022.SH,山东钢铁,钢铁,一级行业
600116.SH,三峡水利,公用事业,一级行业
600084.SH,*ST尼雅,食品饮料,一级行业
600036.SH,招商银行,银行,一级行业
600067.SH,冠城新材,电力设备,一级行业
600019.SH,宝钢股份,钢铁,一级行业
600011.SH,华能国际,公用事业,一级行业
600107.SH,*ST尔雅,纺织服饰,一级行业
600025.SH,华能水电,公用事业,一级行业
600098.SH,广州发展,公用事业,一级行业
600056.SH,中国医药,医药生物,一级行业
600073.SH,光明肉业,食品饮料,一级行业
600008.SH,首创环保,环保,一级行业
600113.SH,浙江东日,商贸零售,一级行业
600130.SH,波导股份,电子,一级行业
600000.SH,浦发银行,银行,一级行业
600089.SH,特变电工,电力设备,一级行业
600100.SH,同方股份,计算机,一级行业
600066.SH,宇通客车,汽车,一级行业
600037.SH,歌华有线,传媒,一级行业
600108.SH,亚盛集团,农林牧渔,一级行业
600123.SH,兰花科创,煤炭,一级行业
600072.SH,中船科技,电力设备,一级行业
600028.SH,中国石化,石油石化,一级行业
600081.SH,东风科技,汽车,一级行业
600020.SH,中原高速,交通运输,一级行业
600095.SH,湘财股份,非银金融,一级行业
600114.SH,东睦股份,机械设备,一级行业
600017.SH,日照港,交通运输,一级行业
600061.SH,国投资本,非银金融,一级行业
600105.SH,永鼎股份,通信,一级行业
600126.SH,杭钢股份,钢铁,一级行业
600075.SH,新疆天业,基础化工,一级行业
600111.SH,北方稀土,有色金属,一级行业
600054.SH,黄山旅游,社会服务,一级行业
600048.SH,保利发展,房地产,一级行业
600023.SH,浙能电力,公用事业,一级行业
600119.SH,*ST长投,交通运输,一级行业
600132.SH,重庆啤酒,食品饮料,一级行业
600035.SH,楚天高速,交通运输,一级行业
600060.SH,海信视像,家用电器,一级行业
600106.SH,重庆路桥,交通运输,一级行业
600125.SH,铁龙物流,交通运输,一级行业
600012.SH,皖通高速,交通运输,一级行业
600026.SH,中远海能,交通运输,一级行业
600109.SH,国金证券,非银金融,一级行业
600097.SH,开创国际,农林牧渔,一级行业
600055.SH,万东医疗,医药生物,一级行业
600007.SH,中国国贸,房地产,一级行业
600131.SH,国网信通,计算机,一级行业
600063.SH,皖维高新,基础化工,一级行业
600015.SH,华夏银行,银行,一级行业
600088.SH,中视传媒,传媒,一级行业
600057.SH,厦门象屿,交通运输,一级行业
600103.SH,青山纸业,轻工制造,一级行业
600128.SH,苏豪弘业,商贸零售,一级行业
600032.SH,浙江新能,公用事业,一级行业
600120.SH,浙江东方,非银金融,一级行业
600052.SH,东望时代,公用事业,一级行业
600029.SH,南方航空,交通运输,一级行业
600080.SH,ST金花,医药生物,一级行业
600021.SH,上海电力,公用事业,一级行业
600094.SH,大名城,房地产,一级行业
600004.SH,白云机场,交通运输,一级行业
600117.SH,西宁特钢,钢铁,一级行业
