指数成份代码,指数成份简称,Wind代码,证券简称,日期
001314.SZ,亿道信息,801080.SI,电子(申万),2026-09-13
688721.SH,龙图光罩,801080.SI,电子(申万),2026-09-13
603936.SH,博敏电子,801080.SI,电子(申万),2026-09-13
000020.SZ,深华发A,801080.SI,电子(申万),2026-09-13
300672.SZ,国科微,801080.SI,电子(申万),2026-09-13
300655.SZ,晶瑞电材,801080.SI,电子(申万),2026-09-13
301275.SZ,汉朔科技,801080.SI,电子(申万),2026-09-13
002134.SZ,天津普林,801080.SI,电子(申万),2026-09-13
000050.SZ,深天马A,801080.SI,电子(申万),2026-09-13
600707.SH,彩虹股份,801080.SI,电子(申万),2026-09-13
002273.SZ,水晶光电,801080.SI,电子(申万),2026-09-13
301626.SZ,苏州天脉,801080.SI,电子(申万),2026-09-13
000636.SZ,风华高科,801080.SI,电子(申万),2026-09-13
300076.SZ,*ST宁视,801080.SI,电子(申万),2026-09-13
605358.SH,立昂微,801080.SI,电子(申万),2026-09-13
300054.SZ,鼎龙股份,801080.SI,电子(申万),2026-09-13
000727.SZ,冠捷科技,801080.SI,电子(申万),2026-09-13
002635.SZ,安洁科技,801080.SI,电子(申万),2026-09-13
600552.SH,凯盛科技,801080.SI,电子(申万),2026-09-13
300604.SZ,长川科技,801080.SI,电子(申万),2026-09-13
000823.SZ,超声电子,801080.SI,电子(申万),2026-09-13
300576.SZ,容大感光,801080.SI,电子(申万),2026-09-13
600171.SH,上海贝岭,801080.SI,电子(申万),2026-09-13
600183.SH,生益科技,801080.SI,电子(申万),2026-09-13
688797.SH,臻宝科技,801080.SI,电子(申万),2026-09-13
002885.SZ,京泉华,801080.SI,电子(申万),2026-09-13
300373.SZ,扬杰科技,801080.SI,电子(申万),2026-09-13
000536.SZ,华映科技,801080.SI,电子(申万),2026-09-13
600237.SH,铜峰电子,801080.SI,电子(申万),2026-09-13
002388.SZ,新亚制程,801080.SI,电子(申万),2026-09-13
603078.SH,江化微,801080.SI,电子(申万),2026-09-13
600330.SH,天通股份,801080.SI,电子(申万),2026-09-13
000725.SZ,京东方A,801080.SI,电子(申万),2026-09-13
600360.SH,华微电子,801080.SI,电子(申万),2026-09-13
600363.SH,联创光电,801080.SI,电子(申万),2026-09-13
002130.SZ,沃尔核材,801080.SI,电子(申万),2026-09-13
301563.SZ,云汉芯城,801080.SI,电子(申万),2026-09-13
600563.SH,法拉电子,801080.SI,电子(申万),2026-09-13
600460.SH,士兰微,801080.SI,电子(申万),2026-09-13
600584.SH,长电科技,801080.SI,电子(申万),2026-09-13
002156.SZ,通富微电,801080.SI,电子(申万),2026-09-13
301308.SZ,江波龙,801080.SI,电子(申万),2026-09-13
002045.SZ,国光电器,801080.SI,电子(申万),2026-09-13
002049.SZ,紫光国微,801080.SI,电子(申万),2026-09-13
603002.SH,宏昌电子,801080.SI,电子(申万),2026-09-13
