Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
600339.SH,中油工程,石油石化,一级行业
600316.SH,洪都航空,国防军工,一级行业
600360.SH,华微电子,电子,一级行业
600368.SH,五洲交通,交通运输,一级行业
600345.SH,长江通信,通信,一级行业
600383.SH,金地集团,房地产,一级行业
600351.SH,亚宝药业,医药生物,一级行业
600288.SH,大恒科技,计算机,一级行业
600322.SH,津投城开,房地产,一级行业
600319.SH,亚星化学,基础化工,一级行业
600359.SH,新农开发,农林牧渔,一级行业
600280.SH,中央商场,商贸零售,一级行业
600397.SH,江钨装备,机械设备,一级行业
600313.SH,农发种业,农林牧渔,一级行业
600386.SH,北巴传媒,汽车,一级行业
600340.SH,*ST华幸,房地产,一级行业
600365.SH,ST通葡,商贸零售,一级行业
600302.SH,ST标准,机械设备,一级行业
600348.SH,华阳股份,煤炭,一级行业
600371.SH,万向德农,农林牧渔,一级行业
600327.SH,大东方,商贸零售,一级行业
600392.SH,盛和资源,有色金属,一级行业
600354.SH,敦煌种业,农林牧渔,一级行业
600283.SH,钱江水利,环保,一级行业
600379.SH,宝光股份,电力设备,一级行业
600362.SH,江西铜业,有色金属,一级行业
600299.SH,安迪苏,基础化工,一级行业
600308.SH,华泰股份,轻工制造,一级行业
600333.SH,长春燃气,公用事业,一级行业
600381.SH,*ST春天,食品饮料,一级行业
600389.SH,江山股份,基础化工,一级行业
600276.SH,恒瑞医药,医药生物,一级行业
600328.SH,中盐化工,基础化工,一级行业
600353.SH,旭光电子,电子,一级行业
600305.SH,恒顺醋业,食品饮料,一级行业
600320.SH,振华重工,机械设备,一级行业
600282.SH,南钢股份,钢铁,一级行业
600395.SH,盘江股份,煤炭,一级行业
600376.SH,首开股份,房地产,一级行业
600336.SH,澳柯玛,家用电器,一级行业
600279.SH,重庆港,交通运输,一级行业
600367.SH,红星发展,基础化工,一级行业
600271.SH,航天信息,计算机,一级行业
600325.SH,华发股份,房地产,一级行业
600398.SH,海澜之家,纺织服饰,一级行业
600300.SH,维维股份,食品饮料,一级行业
600373.SH,中文传媒,传媒,一级行业
600331.SH,宏达股份,基础化工,一级行业
600285.SH,羚锐制药,医药生物,一级行业
600356.SH,恒丰纸业,轻工制造,一级行业
600390.SH,五矿资本,非银金融,一级行业
600278.SH,东方创业,商贸零售,一级行业
600312.SH,平高电气,电力设备,一级行业
600335.SH,国机汽车,汽车,一级行业
600329.SH,达仁堂,医药生物,一级行业
600293.SH,三峡新材,建筑材料,一级行业
600326.SH,西藏天路,建筑材料,一级行业
600303.SH,曙光股份,汽车,一级行业
600284.SH,浦东建设,建筑装饰,一级行业
600370.SH,*ST三房,基础化工,一级行业
600269.SH,赣粤高速,交通运输,一级行业
600378.SH,昊华科技,基础化工,一级行业
600361.SH,创新新材,有色金属,一级行业
600338.SH,西藏珠峰,有色金属,一级行业
600309.SH,万华化学,基础化工,一级行业
600298.SH,安琪酵母,食品饮料,一级行业
600382.SH,广东明珠,钢铁,一级行业
600369.SH,西南证券,非银金融,一级行业
600273.SH,嘉化能源,基础化工,一级行业
600350.SH,山东高速,交通运输,一级行业
600375.SH,汉马科技,汽车,一级行业
600323.SH,瀚蓝环境,环保,一级行业
600287.SH,苏豪时尚,商贸零售,一级行业
600358.SH,国旅联合,传媒,一级行业
600396.SH,华电辽能,公用事业,一级行业
600337.SH,ST美克,轻工制造,一级行业
600310.SH,广西能源,公用事业,一级行业
600343.SH,航天动力,机械设备,一级行业
600295.SH,鄂尔多斯,钢铁,一级行业
600366.SH,宁波韵升,有色金属,一级行业
600400.SH,红豆股份,纺织服饰,一级行业
600272.SH,开开实业,医药生物,一级行业
600301.SH,华锡有色,有色金属,一级行业
600292.SH,电投水电,公用事业,一级行业
600399.SH,抚顺特钢,钢铁,一级行业
600372.SH,中航机载,国防军工,一级行业
600330.SH,天通股份,电子,一级行业
600391.SH,航发科技,国防军工,一级行业
600363.SH,联创光电,电子,一级行业
600307.SH,酒钢宏兴,钢铁,一级行业
600315.SH,上海家化,美容护理,一级行业
600332.SH,白云山,医药生物,一级行业
600380.SH,健康元,医药生物,一级行业
600388.SH,紫金龙净,环保,一级行业
600289.SH,ST信通,通信,一级行业
600346.SH,恒力石化,石油石化,一级行业
600352.SH,浙江龙盛,基础化工,一级行业
600318.SH,新力金融,非银金融,一级行业
600377.SH,宁沪高速,交通运输,一级行业
600281.SH,华阳新材,有色金属,一级行业
