Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
603351.SH,威尔药业,医药生物,一级行业
603307.SH,扬州金泉,纺织服饰,一级行业
603380.SH,易德龙,电子,一级行业
603345.SH,安井食品,食品饮料,一级行业
603288.SH,海天味业,食品饮料,一级行业
603322.SH,超讯科技,通信,一级行业
603313.SH,梦百合,轻工制造,一级行业
603280.SH,南方路机,机械设备,一级行业
603336.SH,宏辉果蔬,农林牧渔,一级行业
603365.SH,水星家纺,纺织服饰,一级行业
603359.SH,*ST东珠,建筑装饰,一级行业
603407.SH,长裕集团,有色金属,一级行业
603327.SH,福蓉科技,电子,一级行业
603348.SH,文灿股份,汽车,一级行业
603379.SH,三美股份,基础化工,一级行业
603283.SH,赛腾股份,机械设备,一级行业
603360.SH,百傲化学,基础化工,一级行业
603385.SH,惠达卫浴,轻工制造,一级行业
603392.SH,万泰生物,医药生物,一级行业
603297.SH,永新光学,电子,一级行业
603368.SH,柳药集团,医药生物,一级行业
603333.SH,福华尚纬,电力设备,一级行业
603316.SH,诚邦股份,电子,一级行业
603301.SH,振德医疗,医药生物,一级行业
603324.SH,盛剑科技,环保,一级行业
603399.SH,永杉锂业,有色金属,一级行业
603286.SH,日盈电子,汽车,一级行业
603309.SH,维力医疗,医药生物,一级行业
603386.SH,骏亚科技,电子,一级行业
603338.SH,浙江鼎力,机械设备,一级行业
603363.SH,傲农生物,农林牧渔,一级行业
603357.SH,设计总院,建筑装饰,一级行业
603391.SH,力聚热能,机械设备,一级行业
603315.SH,福鞍股份,环保,一级行业
603330.SH,天洋新材,基础化工,一级行业
603352.SH,至信股份,汽车,一级行业
603377.SH,ST东时,社会服务,一级行业
603329.SH,上海雅仕,交通运输,一级行业
603289.SH,泰瑞机器,机械设备,一级行业
603321.SH,梅轮电梯,机械设备,一级行业
603335.SH,迪生力,汽车,一级行业
603281.SH,江瀚新材,基础化工,一级行业
603366.SH,日出东方,家用电器,一级行业
603383.SH,顶点软件,计算机,一级行业
603318.SH,水发燃气,公用事业,一级行业
603406.SH,天富龙,基础化工,一级行业
603310.SH,巍华新材,基础化工,一级行业
603290.SH,斯达半导,电子,一级行业
603326.SH,我乐家居,轻工制造,一级行业
603378.SH,*ST亚士,建筑材料,一级行业
603393.SH,新天然气,公用事业,一级行业
603284.SH,林平发展,轻工制造,一级行业
603341.SH,龙旗科技,电子,一级行业
603303.SH,得邦照明,家用电器,一级行业
603332.SH,苏州龙杰,基础化工,一级行业
603355.SH,莱克电气,家用电器,一级行业
603317.SH,天味食品,食品饮料,一级行业
603370.SH,华新精科,电力设备,一级行业
603298.SH,杭叉集团,机械设备,一级行业
603350.SH,安乃达,电力设备,一级行业
603293.SH,埃泰克,汽车,一级行业
603396.SH,金辰股份,电力设备,一级行业
603369.SH,今世缘,食品饮料,一级行业
603375.SH,盛景微,电子,一级行业
603344.SH,星德胜,电力设备,一级行业
603381.SH,永臻股份,电力设备,一级行业
603306.SH,华懋科技,汽车,一级行业
603323.SH,苏农银行,银行,一级行业
603337.SH,杰克科技,机械设备,一级行业
603389.SH,亚振家居,轻工制造,一级行业
603400.SH,华之杰,机械设备,一级行业
603358.SH,华达科技,汽车,一级行业
603312.SH,西典新能,电力设备,一级行业
603328.SH,依顿电子,电子,一级行业
603353.SH,和顺石油,石油石化,一级行业
603395.SH,红四方,基础化工,一级行业
603376.SH,大明电子,汽车,一级行业
603320.SH,迪贝电气,电力设备,一级行业
603305.SH,旭升集团,汽车,一级行业
603282.SH,亚光股份,环保,一级行业
603382.SH,海阳科技,基础化工,一级行业
603367.SH,辰欣药业,医药生物,一级行业
603319.SH,美湖股份,汽车,一级行业
603296.SH,华勤技术,电子,一级行业
603334.SH,丰倍生物,基础化工,一级行业
603311.SH,金海高科,家用电器,一级行业
603291.SH,联合水务,环保,一级行业
603325.SH,博隆技术,机械设备,一级行业
603398.SH,*ST沐邦,电力设备,一级行业
603373.SH,安邦护卫,社会服务,一级行业
603285.SH,键邦股份,基础化工,一级行业
603308.SH,应流股份,机械设备,一级行业
603300.SH,海南华铁,非银金融,一级行业
603387.SH,基蛋生物,医药生物,一级行业
603390.SH,通达电气,汽车,一级行业
603339.SH,四方科技,机械设备,一级行业
603356.SH,华菱精工,机械设备,一级行业
603331.SH,百达精工,机械设备,一级行业
603402.SH,陕西旅游,社会服务,一级行业
603299.SH,苏盐井神,基础化工,一级行业
