Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
603110.SH,东方材料,基础化工,一级行业
603351.SH,威尔药业,医药生物,一级行业
600085.SH,同仁堂,医药生物,一级行业
603477.SH,巨星农牧,农林牧渔,一级行业
002164.SZ,宁波东力,机械设备,一级行业
920038.BJ,森合高科,基础化工,一级行业
003019.SZ,宸展光电,电子,一级行业
301583.SZ,托伦斯,电子,一级行业
688603.SH,天承科技,电子,一级行业
000785.SZ,居然智家,商贸零售,一级行业
300131.SZ,英唐智控,电子,一级行业
301101.SZ,明月镜片,轻工制造,一级行业
002839.SZ,张家港行,银行,一级行业
002840.SZ,华统股份,食品饮料,一级行业
601616.SH,广电电气,电力设备,一级行业
002049.SZ,紫光国微,电子,一级行业
300806.SZ,斯迪克,基础化工,一级行业
688168.SH,安博通,计算机,一级行业
301571.SZ,国科天成,国防军工,一级行业
603109.SH,神驰机电,汽车,一级行业
000429.SZ,粤高速A,交通运输,一级行业
300486.SZ,东杰智能,机械设备,一级行业
600199.SH,金种子酒,食品饮料,一级行业
002713.SZ,东易日盛,建筑装饰,一级行业
300257.SZ,开山股份,机械设备,一级行业
301227.SZ,森鹰窗业,轻工制造,一级行业
002278.SZ,神开股份,机械设备,一级行业
002291.SZ,遥望科技,传媒,一级行业
600405.SH,动力源,电力设备,一级行业
601169.SH,北京银行,银行,一级行业
920165.BJ,珈凯生物,美容护理,一级行业
601857.SH,中国石油,石油石化,一级行业
000544.SZ,中原环保,环保,一级行业
300921.SZ,南凌科技,通信,一级行业
603912.SH,佳力图,机械设备,一级行业
600887.SH,伊利股份,食品饮料,一级行业
002176.SZ,江特电机,电力设备,一级行业
002966.SZ,苏州银行,银行,一级行业
688295.SH,中复神鹰,基础化工,一级行业
920394.BJ,民士达,轻工制造,一级行业
600520.SH,三佳科技,机械设备,一级行业
300004.SZ,南风股份,机械设备,一级行业
301456.SZ,盘古智能,电力设备,一级行业
301595.SZ,太力科技,轻工制造,一级行业
688066.SH,*ST航图,计算机,一级行业
301329.SZ,信音电子,电子,一级行业
300384.SZ,三联虹普,建筑装饰,一级行业
002827.SZ,高争民爆,基础化工,一级行业
002852.SZ,道道全,农林牧渔,一级行业
920726.BJ,朱老六,食品饮料,一级行业
001400.SZ,江顺科技,机械设备,一级行业
601628.SH,中国人寿,非银金融,一级行业
603007.SH,顺景科技,汽车,一级行业
301203.SZ,国泰环保,环保,一级行业
300143.SZ,盈康生命,医药生物,一级行业
688030.SH,山石网科,计算机,一级行业
688627.SH,精智达,机械设备,一级行业
603338.SH,浙江鼎力,机械设备,一级行业
603363.SH,傲农生物,农林牧渔,一级行业
600622.SH,光大嘉宝,房地产,一级行业
688271.SH,联影医疗,医药生物,一级行业
601398.SH,工商银行,银行,一级行业
301239.SZ,普瑞眼科,医药生物,一级行业
600863.SH,华能蒙电,公用事业,一级行业
000887.SZ,中鼎股份,汽车,一级行业
920177.BJ,恒道科技,机械设备,一级行业
002393.SZ,力生制药,医药生物,一级行业
605303.SH,园林股份,建筑装饰,一级行业
920267.BJ,鑫汇科,电子,一级行业
300118.SZ,东方日升,电力设备,一级行业
301330.SZ,熵基科技,计算机,一级行业
002037.SZ,保利联合,基础化工,一级行业
300016.SZ,北陆药业,医药生物,一级行业
301468.SZ,博盈特焊,机械设备,一级行业
000417.SZ,合百集团,商贸零售,一级行业
003020.SZ,立方制药,医药生物,一级行业
002623.SZ,亚玛顿,电力设备,一级行业
301366.SZ,一博科技,电子,一级行业
002725.SZ,跃岭股份,汽车,一级行业
300474.SZ,景嘉微,国防军工,一级行业
600073.SH,光明肉业,食品饮料,一级行业
688820.SH,盛合晶微,电子,一级行业
300245.SZ,ST天玑,计算机,一级行业
603236.SH,移远通信,通信,一级行业
688729.SH,屹唐股份,电子,一级行业
600990.SH,四创电子,国防军工,一级行业
600761.SH,安徽合力,机械设备,一级行业
301697.SZ,贝特利,电力设备,一级行业
002266.SZ,浙富控股,环保,一级行业
601718.SH,ST际华,纺织服饰,一级行业
000519.SZ,中兵红箭,国防军工,一级行业
000683.SZ,博源化工,基础化工,一级行业
300933.SZ,中辰股份,电力设备,一级行业
688639.SH,华恒生物,基础化工,一级行业
000990.SZ,诚志股份,基础化工,一级行业
300957.SZ,贝泰妮,美容护理,一级行业
605507.SH,国邦医药,医药生物,一级行业
600610.SH,中毅达,基础化工,一级行业
000875.SZ,电投绿能,公用事业,一级行业
300831.SZ,ST派瑞,电子,一级行业
