Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别,所属申万一级行业时间
600421.SH,退市华嵘(退市),机械设备,一级行业,2026-06-25
002898.SZ,赛隆退(退市),计算机,一级行业,2026-07-16
300445.SZ,康斯特,机械设备,一级行业,2026-09-11
600599.SH,退市熊猫(退市),非银金融,一级行业,2026-06-25
300271.SZ,华宇软件,计算机,一级行业,2026-09-11
002231.SZ,*ST奥维(退市),国防军工,一级行业,2026-03-26
002279.SZ,久其软件,计算机,一级行业,2026-09-11
000004.SZ,国华退(退市),计算机,一级行业,2026-07-13
000638.SZ,*ST万方(退市),国防军工,一级行业,2026-06-02
600608.SH,退市沪科(退市),商贸零售,一级行业,2026-07-02
002181.SZ,粤传媒,传媒,一级行业,2026-09-11
605081.SH,退市太和(退市),环保,一级行业,2026-07-02
002808.SZ,恒久退(退市),电子,一级行业,2026-07-13
603388.SH,*ST元成(退市),建筑装饰,一级行业,2025-12-04
300370.SZ,安控科技,机械设备,一级行业,2026-09-11
300477.SZ,ST合纵,电力设备,一级行业,2026-09-11
300150.SZ,世纪瑞尔,计算机,一级行业,2026-09-11
300391.SZ,长药退(退市),医药生物,一级行业,2026-04-10
600355.SH,*ST精伦(退市),通信,一级行业,2026-04-24
600636.SH,退市国化(退市),社会服务,一级行业,2026-06-26
300444.SZ,双杰电气,电力设备,一级行业,2026-09-11
600193.SH,退市创兴(退市),建筑装饰,一级行业,2026-07-03
600200.SH,退市苏吴(退市),医药生物,一级行业,2025-12-30
688287.SH,退市观典(退市),国防军工,一级行业,2026-06-09
600696.SH,退市岩石(退市),食品饮料,一级行业,2026-06-26
300344.SZ,立方退(退市),计算机,一级行业,2026-04-21
000851.SZ,*ST高鸿(退市),通信,一级行业,2025-11-10
300029.SZ,天龙退(退市),建筑装饰,一级行业,2026-07-09
603056.SH,德邦股份(退市),交通运输,一级行业,2026-03-30
300379.SZ,东通退(退市),计算机,一级行业,2026-01-21
