Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002120.SZ,韵达股份,交通运输,一级行业
002125.SZ,湘潭电化,电力设备,一级行业
002122.SZ,ST汇洲,机械设备,一级行业
002127.SZ,南极电商,商贸零售,一级行业
002128.SZ,电投能源,煤炭,一级行业
002121.SZ,科陆电子,电力设备,一级行业
002126.SZ,银轮股份,汽车,一级行业
002123.SZ,梦网科技,通信,一级行业
002124.SZ,天邦食品,农林牧渔,一级行业
002129.SZ,TCL中环,电力设备,一级行业
002137.SZ,实益达,电子,一级行业
002136.SZ,安纳达,基础化工,一级行业
002138.SZ,顺络电子,电子,一级行业
002139.SZ,拓邦股份,电子,一级行业
002134.SZ,天津普林,电子,一级行业
002135.SZ,东南网架,建筑装饰,一级行业
002130.SZ,沃尔核材,电子,一级行业
002133.SZ,广宇集团,房地产,一级行业
002131.SZ,利欧股份,机械设备,一级行业
002132.SZ,恒星科技,机械设备,一级行业
