Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002144.SZ,宏达高科,纺织服饰,一级行业
002145.SZ,钛能化学,基础化工,一级行业
002149.SZ,西部材料,有色金属,一级行业
002161.SZ,远望谷,电子,一级行业
002148.SZ,北纬科技,通信,一级行业
002146.SZ,荣盛发展,房地产,一级行业
002160.SZ,常铝股份,有色金属,一级行业
002142.SZ,宁波银行,银行,一级行业
002140.SZ,东华科技,建筑装饰,一级行业
002141.SZ,贤丰控股,电子,一级行业
002154.SZ,报喜鸟,纺织服饰,一级行业
002157.SZ,正邦科技,农林牧渔,一级行业
002155.SZ,湖南黄金,有色金属,一级行业
002156.SZ,通富微电,电子,一级行业
002158.SZ,汉钟精机,机械设备,一级行业
002159.SZ,三特索道,社会服务,一级行业
002150.SZ,正泰电源,电力设备,一级行业
002152.SZ,广电运通,计算机,一级行业
002153.SZ,石基信息,计算机,一级行业
002151.SZ,北斗星通,国防军工,一级行业
