Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002275.SZ,桂林三金,医药生物,一级行业
002276.SZ,万马股份,电力设备,一级行业
002277.SZ,友阿股份,商贸零售,一级行业
002270.SZ,华明装备,电力设备,一级行业
002278.SZ,神开股份,机械设备,一级行业
002271.SZ,东方雨虹,建筑材料,一级行业
002274.SZ,华昌化工,基础化工,一级行业
002272.SZ,川润股份,机械设备,一级行业
002273.SZ,水晶光电,电子,一级行业
002286.SZ,保龄宝,农林牧渔,一级行业
002289.SZ,宇顺电子,电子,一级行业
002287.SZ,奇正藏药,医药生物,一级行业
002269.SZ,美邦服饰,纺织服饰,一级行业
002282.SZ,博深股份,机械设备,一级行业
002268.SZ,电科网安,计算机,一级行业
002267.SZ,陕天然气,公用事业,一级行业
002284.SZ,亚太股份,汽车,一级行业
002285.SZ,世联行,房地产,一级行业
002283.SZ,天润工业,汽车,一级行业
002281.SZ,光迅科技,通信,一级行业
