Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002299.SZ,圣农发展,农林牧渔,一级行业
002309.SZ,中利集团,电力设备,一级行业
002310.SZ,东方新能,公用事业,一级行业
002298.SZ,中电鑫龙,计算机,一级行业
002297.SZ,博云新材,国防军工,一级行业
002305.SZ,*ST南置,房地产,一级行业
002306.SZ,ST云网,社会服务,一级行业
002307.SZ,北新路桥,建筑装饰,一级行业
002294.SZ,信立泰,医药生物,一级行业
002293.SZ,罗莱生活,纺织服饰,一级行业
002295.SZ,精艺股份,有色金属,一级行业
002296.SZ,辉煌科技,通信,一级行业
002291.SZ,遥望科技,传媒,一级行业
002292.SZ,奥飞娱乐,传媒,一级行业
002290.SZ,禾盛新材,家用电器,一级行业
002300.SZ,太阳电缆,电力设备,一级行业
002301.SZ,齐心集团,轻工制造,一级行业
002302.SZ,西部建设,建筑材料,一级行业
002304.SZ,洋河股份,食品饮料,一级行业
002303.SZ,美盈森,轻工制造,一级行业
