Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
002383.SZ,合众思壮,国防军工,一级行业
002384.SZ,东山精密,电子,一级行业
002382.SZ,蓝帆医疗,医药生物,一级行业
002381.SZ,双箭股份,基础化工,一级行业
002389.SZ,航天彩虹,国防军工,一级行业
002380.SZ,科远智慧,计算机,一级行业
002386.SZ,天原股份,基础化工,一级行业
002385.SZ,大北农,农林牧渔,一级行业
002387.SZ,维信诺,电子,一级行业
002388.SZ,新亚制程,电子,一级行业
002377.SZ,国创高新,石油石化,一级行业
002390.SZ,信邦制药,医药生物,一级行业
002376.SZ,新北洋,计算机,一级行业
002391.SZ,长青股份,基础化工,一级行业
002375.SZ,亚厦股份,建筑装饰,一级行业
002392.SZ,北京利尔,建筑材料,一级行业
002393.SZ,力生制药,医药生物,一级行业
002378.SZ,章源钨业,有色金属,一级行业
002394.SZ,联发股份,纺织服饰,一级行业
002379.SZ,宏桥控股,有色金属,一级行业
