Wind代码,证券简称,申万一级行业,申万一级行业.行业级别
002418.SZ,康盛股份,家用电器,一级行业
002416.SZ,爱施德,商贸零售,一级行业
002420.SZ,毅昌科技,综合,一级行业
002419.SZ,天虹股份,商贸零售,一级行业
002437.SZ,誉衡药业,医药生物,一级行业
002438.SZ,江苏神通,机械设备,一级行业
002424.SZ,ST百灵,医药生物,一级行业
002425.SZ,凯撒文化,传媒,一级行业
002422.SZ,科伦药业,医药生物,一级行业
002423.SZ,中粮资本,非银金融,一级行业
002421.SZ,达实智能,计算机,一级行业
002429.SZ,兆驰股份,家用电器,一级行业
002430.SZ,杭氧股份,基础化工,一级行业
002432.SZ,九安医疗,医药生物,一级行业
002431.SZ,ST棕榈,建筑装饰,一级行业
002426.SZ,胜利精密,电子,一级行业
002427.SZ,尤夫股份,基础化工,一级行业
002434.SZ,万里扬,汽车,一级行业
002428.SZ,云南锗业,有色金属,一级行业
002436.SZ,兴森科技,电子,一级行业
