Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
002442.SZ,龙星科技,基础化工,一级行业
002443.SZ,金洲管道,钢铁,一级行业
002441.SZ,众业达,电力设备,一级行业
002440.SZ,闰土股份,基础化工,一级行业
002445.SZ,中南文化,机械设备,一级行业
002444.SZ,巨星科技,机械设备,一级行业
002439.SZ,启明星辰,计算机,一级行业
002446.SZ,盛路通信,国防军工,一级行业
002459.SZ,晶澳科技,电力设备,一级行业
002460.SZ,赣锋锂业,有色金属,一级行业
002454.SZ,松芝股份,汽车,一级行业
002457.SZ,青龙管业,建筑材料,一级行业
002451.SZ,摩恩电气,电力设备,一级行业
002452.SZ,长高电气,电力设备,一级行业
002458.SZ,益生股份,农林牧渔,一级行业
002449.SZ,国星光电,电子,一级行业
002453.SZ,华软科技,基础化工,一级行业
002456.SZ,欧菲光,电子,一级行业
002455.SZ,百川股份,基础化工,一级行业
002448.SZ,中原内配,汽车,一级行业
