Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
002765.SZ,蓝黛科技,汽车,一级行业
002766.SZ,索菱股份,汽车,一级行业
002763.SZ,汇洁股份,纺织服饰,一级行业
002759.SZ,ST天际,电力设备,一级行业
002758.SZ,浙农股份,基础化工,一级行业
002756.SZ,永兴材料,有色金属,一级行业
002757.SZ,南兴股份,机械设备,一级行业
002753.SZ,永东股份,基础化工,一级行业
002752.SZ,昇兴股份,轻工制造,一级行业
002755.SZ,奥赛康,医药生物,一级行业
002747.SZ,埃斯顿,机械设备,一级行业
002760.SZ,凤形股份,机械设备,一级行业
002748.SZ,世龙实业,基础化工,一级行业
002761.SZ,浙江建投,建筑装饰,一级行业
002746.SZ,仙坛股份,农林牧渔,一级行业
002762.SZ,金发拉比,纺织服饰,一级行业
002768.SZ,国恩股份,基础化工,一级行业
002749.SZ,国光股份,基础化工,一级行业
002767.SZ,先锋电子,机械设备,一级行业
002769.SZ,普路通,交通运输,一级行业
