Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
002800.SZ,天顺股份,交通运输,一级行业
002801.SZ,微光股份,电力设备,一级行业
002796.SZ,世嘉科技,通信,一级行业
002817.SZ,黄山胶囊,医药生物,一级行业
002798.SZ,帝欧水华,轻工制造,一级行业
002799.SZ,环球印务,轻工制造,一级行业
002810.SZ,山东赫达,基础化工,一级行业
002797.SZ,第一创业,非银金融,一级行业
002795.SZ,永和智控,机械设备,一级行业
002812.SZ,恩捷股份,电力设备,一级行业
002811.SZ,郑中设计,建筑装饰,一级行业
002813.SZ,路畅科技,汽车,一级行业
002815.SZ,崇达技术,电子,一级行业
002809.SZ,红墙股份,基础化工,一级行业
002816.SZ,*ST和科,机械设备,一级行业
002806.SZ,华锋股份,汽车,一级行业
002807.SZ,江阴银行,银行,一级行业
002805.SZ,丰元股份,电力设备,一级行业
002803.SZ,吉宏股份,商贸零售,一级行业
002802.SZ,洪汇新材,基础化工,一级行业
