Wind代码,证券简称,所属申万一级行业,所属申万一级行业.行业级别
300957.SZ,贝泰妮,美容护理,一级行业
300947.SZ,德必集团,商贸零售,一级行业
300905.SZ,宝丽迪,基础化工,一级行业
300928.SZ,华安鑫创,汽车,一级行业
300909.SZ,汇创达,电子,一级行业
300940.SZ,南极光,电子,一级行业
300919.SZ,中伟新材,电力设备,一级行业
300920.SZ,润阳科技,基础化工,一级行业
300938.SZ,信测标准,社会服务,一级行业
300911.SZ,亿田智能,家用电器,一级行业
300930.SZ,屹通新材,有色金属,一级行业
300953.SZ,震裕科技,电力设备,一级行业
300915.SZ,海融科技,食品饮料,一级行业
300910.SZ,瑞丰新材,基础化工,一级行业
300956.SZ,英力股份,电子,一级行业
300929.SZ,华骐环保,环保,一级行业
300908.SZ,仲景食品,食品饮料,一级行业
300925.SZ,法本信息,计算机,一级行业
300941.SZ,创识科技,计算机,一级行业
300921.SZ,南凌科技,通信,一级行业
300945.SZ,曼卡龙,纺织服饰,一级行业
300939.SZ,秋田微,电子,一级行业
300935.SZ,盈建科,计算机,一级行业
300918.SZ,南山智尚,纺织服饰,一级行业
300931.SZ,通用电梯,机械设备,一级行业
300952.SZ,恒辉安防,纺织服饰,一级行业
300955.SZ,嘉亨家化,美容护理,一级行业
300959.SZ,线上线下,通信,一级行业
300926.SZ,博俊科技,汽车,一级行业
300949.SZ,奥雅股份,建筑装饰,一级行业
300922.SZ,天秦装备,国防军工,一级行业
300907.SZ,康平科技,电力设备,一级行业
300942.SZ,易瑞生物,医药生物,一级行业
300946.SZ,恒而达,机械设备,一级行业
300951.SZ,博硕科技,电子,一级行业
300913.SZ,兆龙互连,通信,一级行业
300936.SZ,中英科技,电子,一级行业
300917.SZ,特发服务,房地产,一级行业
300932.SZ,三友联众,电力设备,一级行业
300958.SZ,建工修复,环保,一级行业
300948.SZ,冠中生态,建筑装饰,一级行业
300923.SZ,研奥股份,机械设备,一级行业
300906.SZ,日月明,机械设备,一级行业
300927.SZ,江天化学,基础化工,一级行业
300943.SZ,春晖智控,机械设备,一级行业
300937.SZ,药易购,医药生物,一级行业
300912.SZ,凯龙高科,汽车,一级行业
300916.SZ,朗特智能,电子,一级行业
300933.SZ,中辰股份,电力设备,一级行业
300950.SZ,德固特,机械设备,一级行业
